# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov 20 13:33:40 2019
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like '%CANDIDATE%'
# CONSTRAINT:  and koi_prad_str < 25
# CONSTRAINT:  and koi_gmag < 14)
# CONSTRAINT:  order by koi_insol desc, koi_disposition desc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_vet_stat:   Vetting Status
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
# COLUMN koi_gmag:       g'-band [mag]
# COLUMN koi_jmag:       J-band [mag]
# COLUMN koi_kmag:       K-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_jmag,koi_kmag
7755741,K06913.02,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,1.751736470,3.7630000e-05,-3.7630000e-05,132.2995000,2.100000e-02,-2.100000e-02,0.6637,0.2752,-0.4477,5.12200,0.67500,-0.67500,6.8400e+01,8.200e+00,-8.200e+00,3.86,5.300e-01,-1.360e+00,4900.0,,,136315.31,57819.63,-88097.08,10.20,3,q1_q17_dr24_tce,10894.00,261.00,-461.00,3.667,0.303,-0.303,4.3780,0.6050,-1.5390,3.2490,0.2220,-0.6720,292.787020,43.416039,13.752,13.402,14.222,14.468
11282568,K07430.01,,CANDIDATE,Done,CANDIDATE,1.0000,0,0,0,0,1.320499473,5.7820000e-06,-5.7820000e-06,132.6148800,3.920000e-03,-3.920000e-03,0.1500,0.2960,-0.1500,1.18400,0.13900,-0.13900,2.0400e+02,2.230e+01,-2.230e+01,18.94,3.990e+00,-9.980e+00,4477.0,,,95168.65,56930.15,-78336.29,12.00,1,q1_q17_dr25_tce,5172.00,113.00,-296.00,2.693,0.252,-0.147,13.4540,2.8350,-7.0880,3.2570,0.2220,-1.9990,282.939940,49.050289,11.466,12.164,9.914,9.323
5617259,K07733.01,,CANDIDATE,Done,CANDIDATE,0.1390,0,0,0,0,1.048130894,,,132.3528023,,,0.2160,,,5.67070,,,1.9180e+02,,,4.52,4.200e-01,-2.350e+00,3871.0,,,52952.95,18406.17,-42641.33,5.20,1,q1_q17_dr25_tce,7673.00,239.00,-319.00,3.679,0.493,-0.058,3.2140,0.2950,-1.6700,1.7990,0.1560,-0.4680,290.960940,40.896198,11.860,11.946,11.100,10.942
7051984,K02879.01,,CANDIDATE,Done,CANDIDATE,0.0000,0,0,0,0,0.339069751,4.2300000e-07,-4.2300000e-07,131.8695700,1.050000e-03,-1.050000e-03,0.9580,0.0010,-0.6780,1.15160,0.03220,-0.03220,5.3200e+01,1.800e+00,-1.800e+00,2.09,4.800e-01,-1.110e+00,3653.0,,,41863.05,29068.87,-33587.02,38.20,1,q1_q17_dr25_tce,5653.00,169.00,-152.00,3.846,0.560,-0.140,2.1830,0.4960,-1.1580,1.2160,0.1310,-0.2830,296.701900,42.508652,12.771,13.344,11.553,11.099
9518710,K03207.01,,CANDIDATE,Done,CANDIDATE,0.0000,0,0,0,0,0.954388314,3.9670000e-06,-3.9670000e-06,132.4453700,3.260000e-03,-3.260000e-03,0.7370,0.2170,-0.6870,6.26000,1.90000,-1.90000,5.7200e+01,6.700e+00,-6.700e+00,2.27,3.800e-01,-7.100e-01,3406.0,,,31694.26,15870.19,-18758.80,56.30,1,q1_q17_dr25_tce,7056.00,169.00,-253.00,3.813,0.259,-0.111,2.7850,0.4690,-0.8710,1.8360,0.1910,-0.3540,288.238620,46.118061,11.872,12.045,11.055,10.865
9541295,K03132.01,,CANDIDATE,Done,CANDIDATE,0.0000,0,0,0,0,0.536650319,2.2280000e-06,-2.2280000e-06,131.7110600,4.320000e-03,-4.320000e-03,0.6100,0.0240,-0.5070,2.38300,0.12900,-0.12900,4.1900e+01,1.800e+00,-1.800e+00,1.35,2.400e-01,-4.500e-01,3195.0,,,24688.55,13963.80,-14922.46,31.00,1,q1_q17_dr25_tce,6020.00,183.00,-183.00,3.922,0.285,-0.095,2.0000,0.3570,-0.6620,1.2200,0.1980,-0.1980,297.329710,46.136089,12.649,13.072,11.593,11.244
8741367,K05566.01,,CANDIDATE,Done,CANDIDATE,1.0000,0,0,0,0,0.988668400,2.9130000e-04,-2.9130000e-04,131.9935400,5.070000e-03,-5.070000e-03,0.3720,0.0770,-0.3720,2.02300,0.23800,-0.23800,1.2660e+02,1.810e+01,-1.810e+01,3.18,5.500e-01,-1.650e+00,3183.0,,,24258.04,13028.49,-19374.23,8.70,1,q1_q17_dr25_tce,6456.00,182.00,-228.00,3.725,0.527,-0.093,2.7730,0.4790,-1.4360,1.4900,0.2110,-0.3930,286.291290,44.920082,12.551,12.860,11.548,11.290
9654875,K02272.01,,CANDIDATE,Done,CANDIDATE,0.0360,0,0,0,0,1.341452550,1.3090000e-05,-1.3090000e-05,132.6910600,8.210000e-03,-8.210000e-03,0.6800,0.2360,-0.4400,7.50200,0.22700,-0.22700,2.6600e+01,1.100e+00,-1.100e+00,1.31,2.800e-01,-4.600e-01,3015.0,,,19568.74,13259.64,-12680.97,31.20,1,q1_q17_dr25_tce,7495.00,235.00,-314.00,3.926,0.266,-0.123,2.3890,0.5200,-0.8450,1.7540,0.1950,-0.3910,294.153660,46.309681,12.783,12.928,12.001,11.841
9072639,K04198.01,,CANDIDATE,Done,CANDIDATE,0.0890,0,0,0,0,1.182862515,7.2620000e-06,-7.2620000e-06,131.9713700,4.970000e-03,-4.970000e-03,0.2840,0.1780,-0.2840,2.92800,0.13600,-0.13600,2.2300e+01,1.600e+00,-1.600e+00,1.26,1.700e-01,-4.300e-01,2800.0,,,14544.87,5755.74,-8677.73,16.50,1,q1_q17_dr25_tce,6017.00,120.00,-120.00,3.699,0.248,-0.078,2.6390,0.3580,-0.8940,1.2690,0.1110,-0.2400,283.852910,45.485260,12.638,13.047,11.648,11.356
4764969,K06450.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,0.602277579,8.6830000e-06,-8.6830000e-06,131.5303000,1.120000e-02,-1.120000e-02,0.7502,0.0469,-0.5325,2.38000,0.54800,-0.54800,3.4600e+01,6.000e+00,-6.000e+00,0.78,2.900e-01,-1.400e-01,2699.0,,,12545.82,13176.69,-5080.38,26.70,1,q1_q17_dr24_tce,6510.00,162.00,-196.00,4.256,0.162,-0.162,1.2280,0.4460,-0.2210,0.9920,0.1530,-0.1060,296.322020,39.856049,12.361,12.646,11.399,11.132
