toi,tic,cps_name,tic_jump,toi_jump,evol,source,disp,photo_vetting,spec_vetting,ao_vetting,ra,dec,tmag,tmag_err,vmag,jmag,nobs,last_observed,rms,errvel,template,nobs_goal,tottime,remaining_nobs,remaining_time,n_comments,last_comment,rs,rs_err,r_s,m_s,teff,teff_err,t_eff,logg,logg_err,feh,ast_det_c,current_sectors,ast_det_t,total_sectors,color,spectral_type,vsini,prot,sval,logrhk,jitter,activity,ruwe,rp,rp_err,mp,k,kerr,ksig,epoch,epoch_err,period,period_err,duration,duration_err,b_est,circ_dur,circ_dur_err,max_circ_dur,a_to_R,depth,depth_err,teq,sinc,SNR,dist,prv,ra_J2000,dec_J2000,tks_comments,toi_comments,comment_list,npl,in_other_programs,in_SC1A,in_SC1B,in_SC1C,in_SC1D,in_SC1E,in_SC2A,in_SC2Bi,in_SC2Bii,in_SC2C,in_SC3,in_SC4,in_TOA,in_TOB,SC3_bin_rank,TSM,priority
103.01,336732616,-,-1,-1,MS,spoc,KP,-,-,-,312.4574,-24.4288,11.464,0.018000000000000002,12.433,10.98,0,-1,,,False,60,29.41,60,29.405767912521746,0,-1,1.4,0.0,1.28,1.27,6351.0,0.0,6371,4.229,0.0,,0.0504,1,0.0504,1,,-,,,,,,,1.04,14.58,0.2,35477.24,12021.65,0.32,38142.76,1327.2526,0.0006,3.547854,0.000149,3.49,0.05,-1.4636,2.8,0.74,3.26,8.31,10424.37,123.36,1504.858953,1212.0043759999999,0.800299,411.21,False,20 49 49.8,-24 25 43,-,HATS-3,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
123.01,290131778,-,-1,-1,MS,spoc,P,-,-,-,319.6994,-26.6161,8.802999999999997,0.018000000000000002,8.324,7.232,0,-1,,,False,60,5.15,60,5.15,0,-1,1.32,1.32,2.62,1.26,6188.0,194.0,6356,4.272,2.006,,0.11800000000000001,1,0.11800000000000001,1,,-,,,,,,,1.01,7.72,7.72,46.17,16.96,0.35,48.74,1325.3757,0.0005,3.308754,0.000101,5.63,0.03,0.5069,5.63,1.49,6.56,3.85,3177.13,28.13,1461.728795,1078.917433,0.920341,161.5,False,21 18 47.9,-26 36 57,-,,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
143.01,25375553,-,-1,-1,MS,spoc,KP,-,-,-,328.7677,-22.6126,9.772,0.019,10.251,9.356,0,-1,,,False,60,9.65,60,17.304908370375074,0,-1,1.98,0.4,1.95,1.34,6371.0,197.0,6510,3.948,0.44,,0.0579,1,0.0579,1,,-,,,,,,,1.07,17.63,3.52,44000.85,16477.26,0.42,39633.33,1325.5825,0.0003,2.310894,5.5e-05,3.42,0.03,0.5927,3.65,0.96,4.26,4.15,6939.35,46.41,2055.414257,4218.115431,0.873101,298.11,False,21 55 04.2,-22 36 45,-,,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
172.01,29857954,-,-1,-1,SG,qlp,P,-,-,-,316.6319,-26.6926,10.710999999999999,0.019,11.299000000000001,10.135,0,-1,,,False,60,15.59,60,20.78840537774873,0,-1,1.7,0.14,1.79,1.03,5801.8,235.6,5759,4.32,2.0,,0.05,1,0.05,1,,-,,,,,,,1.08,12.19,1.07,317.83,94.06,0.51,183.98,1326.9197,0.0053,9.475719999999999,0.00316,4.71,0.38,0.7251,5.83,1.54,6.8,10.65,4225.94,5.58,1031.0,187.637,11.0,342.83,False,21 06 31.7,-26 41 33,-,Star to NW checked. Transit likely on the target.,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
197.01,441462736,-,-1,-1,SG,spoc,P,-,-,-,353.0336,-21.8014,7.303,0.017,8.15,6.568,0,-1,,,False,60,5.15,60,5.15,0,-1,3.09,0.41,2.9,,5105.0,181.0,5083,3.392,0.29100000000000004,,1.0,1,1.0,1,,-,,,,,,,0.93,10.27,1.43,74.87,12.89,0.46,28.3,1357.0131,0.0042,14.279001000000001,0.006368,9.21,0.29,0.4514,8.86,2.34,10.33,10.56,831.8,45.16,-1.0,-1.0,14.385106,95.55,False,23 32 08.1,-21 48 05,-,evolved star,-,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,49.0
198.01,12421862,-,-1,-1,MS,spoc,PPC,-,-,-,2.2682,-27.1221,9.853,0.04,11.687999999999999,8.655,0,-1,,,False,60,18.07,60,20.56769686660635,0,-1,0.44,0.02,0.45,0.44,3763.0,65.0,3782,4.837,0.11900000000000001,,0.05,1,0.05,1,,-,,,,,,,0.96,1.56,1.1,3.06,1.23,0.28,4.34,1356.3754,0.0023,20.427265,0.003312,2.18,0.58,0.6672,2.49,0.66,2.91,53.64,1207.67,111.83,325.269941,2.645433,11.134932000000001,23.73,False,00 09 04.4,-27 07 19,-,,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
223.01,326453034,-,-1,-1,SG,spoc,PPC,-,-,-,339.6777,-25.6317,10.206,0.018000000000000002,11.119000000000002,9.51,0,-1,,,False,60,14.57,60,20.891418669945356,0,-1,0.87,0.87,2.75,,5063.0,181.0,5276,4.484,2.004,,0.1133,1,0.1133,1,,-,,,,,,,0.9,3.29,4.04,10.85,1.9,0.31,6.15,1355.9575,0.0026,14.445917999999999,0.003833,1.53,0.54,0.9967,8.5,2.25,9.91,11.13,1273.81,161.53,629.495047,37.109942,7.679152999999999,365.05,False,22 38 42.6,-25 37 54,-,Low significance; not enough information from centroid plot to determine if object is on target. Gaia indicates R*=2.7. Transit duration seems short for a giant. Period is similar to the spacecraft period but transit events are not near known scattered light events so they could be real.,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
225.01,47525799,-,-1,-1,MS,spoc,STPC,-,-,-,343.8797,-24.4096,10.948,0.018000000000000002,12.061,10.173,0,-1,,,False,60,21.46,60,21.455481142157904,0,-1,0.77,0.16,0.71,0.8,4658.0,177.0,4880,4.5310000000000015,0.42200000000000004,,0.05,1,0.05,1,,-,,,,,,,0.89,8.3,,52.17,,0.35,,1355.1185,0.0042,,,3.75,,,,,,,9680.0,,484.94285999999994,13.070231,22.171879,115.74,False,22 55 31.1,-24 24 34,-,single transit (no period); centroid information is hard to interpret,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
231.01,204376737,-,-1,-1,MS,spoc,KP,-,-,-,348.1572,-22.674,11.409,0.019,11.907,10.769,0,-1,,,False,60,19.67,60,20.444584594351383,0,-1,0.86,0.0,0.82,0.93,5375.0,0.0,5380,4.494,0.0,,0.05,1,0.05,1,,-,,,,,,,1.05,13.44,0.1,317.83,142.33,0.3,477.86,1357.3945,0.0003,3.361021,6.3e-05,2.58,0.02,-5.9717,1.95,0.52,2.28,11.28,24221.4,165.62,1080.107715,321.654235,156.59406,197.12,False,23 12 37.7,-22 40 26,-,WASP-6,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
238.01,9006668,T000238,9006668,238,MS,spoc,CPC,passed,passed,-,349.2314,-18.6066,9.897,0.018000000000000002,10.748,9.214,26,123,6.67,1.5,True,60,12.71,34,11.444251974864727,6,180,0.79,0.11,0.77,0.84,5024.0,181.0,5029,4.5680000000000005,0.302,-0.04,0.0501,1,0.0501,1,0.904,,1.17,10.45,0.28800000000000003,-4.753,2.64,465.55,1.03,1.68,2.05,3.45,2.29,0.4,5.77,1354.6692,0.0025,1.272419,0.000206,1.4,0.31,0.4719,1.37,0.36,1.6,6.09,438.02,49.08,1336.13395,753.218535,7.6223300000000025,80.54,False,23 16 55.5,-18 36 23,"Transit looks good low but SNR of ~ 7, large Rp/Rs uncertainty, sval = 0.32, dV=3.1 sep=34"" NE",centroid offset not significant.,"Plan from July 2019 meeting: Get template and jitter test, reassess for high cadence, Plan from July 2019 meeting: Get template and jitter test, reassess for high cadence, Looking at the preliminary radvel fit, there looks like there are some correlated residuals, perhaps include a ~20 day planet., Looking at the preliminary radvel fit, there looks like there are some correlated residuals, perhaps include a ~20 day planet., Radius Planet = 1.8 R⊕
Period = 1.3 days, Radius Planet = 1.8 R⊕
Period = 1.3 days",1,6,1,1,1,0,1,0,0,1,0,1,0,0,0,5.0,58.19736608559389,32.0
239.01,9725627,-,-1,-1,MS,spoc,KP,-,-,-,358.4085,-10.1181,10.972999999999999,0.019,11.915,10.508,0,-1,,,False,60,19.73,60,20.44010282946115,0,-1,0.9,0.17,1.39,1.27,6362.5,83.0,6362,4.59,0.16,,0.0509,1,0.0509,1,,-,,,,,,,1.05,6.37,1.24,33.33,11.3,0.45,25.35,1356.9623,0.001,4.15701,0.000336,3.96,0.09,-1.0062,3.21,0.85,3.74,8.49,4851.51,104.13,1155.548184,421.379341,32.183025,353.54,False,23 53 38.1,-10 07 05,-,,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
260.01,37749396,HIP1532,37749396,260,MS,spoc,CPC,passed,passed,-,4.7732,-9.9648,8.429,0.017,9.9,7.376,74,109,4.43,1.4,True,100,7.54,26,5.438217279956305,8,201,0.63,0.13,0.62,0.63,4111.0,171.0,4049,4.646,0.439,-0.43,0.0501,1,0.0501,1,1.318,M0V,3.32,13.24,0.895,-4.853,2.6,505.1,0.87,1.64,1.53,3.32,1.21,0.42,2.92,1392.2944,0.0026,13.470018,0.0032359999999999997,2.0,0.34,0.7656,2.67,0.7,3.11,33.05,686.54,64.6,465.937745,11.13865,8.303118,20.19,False,00 19 05.6,-09 57 53,"29 HIRES obs (hip1532); only 2 transits, looks good, large Rp uncertainty. Public HARPS spectra available. PFS and ESPRESSO GTO following.  Molly performed a quick fit, and there's a 2 sigma ""detection"" phase folded RVs look promising. clear field",only two transits,"TOI-260 / TIC 37749396.

TESS candidate planet at 13.5 d, TOI-260 / TIC 37749396.

TESS candidate planet at 13.5 d, Fit to archival data (Butler et al. 2017, which includes CPS data) gives K = 2.2 +- 0.9 m/s., Fit to archival data (Butler et al. 2017, which includes CPS data) gives K = 2.2 +- 0.9 m/s., TKS July 2019 meeting assessment: Observe at high cadence. Get new template., TKS July 2019 meeting assessment: Observe at high cadence. Get new template., Corey Beard + Irvine group to lead TKS paper on this system., Corey Beard + Irvine group to lead TKS paper on this system.",1,6,1,1,0,0,1,0,0,1,0,1,0,0,1,,,7.0
261.01,63898957,5976,63898957,261,MS,spoc,PC,passed,,-,15.2176,-24.4239,9.02,0.02,9.56,8.507,1,314,,,False,60,6.05,59,9.937098904394196,0,-1,1.31,0.14,1.28,1.07,5890.3,57.0,5890,3.92,0.08,-0.1,0.0561,1,0.0561,1,0.555,F8/G0V,3.36,,0.096,-6.532,1.47,26.13,1.16,2.75,2.41,7.98,3.26,0.52,6.29,1387.2856,0.003,3.3613910000000002,0.000985,3.15,0.65,0.3825,2.92,0.77,3.4,7.55,422.24,41.64,1583.076324,1484.322998,8.706955,114.5,False,01 00 52.2,-24 25 26,,ambiguous period,,2,5,0,1,1,0,1,0,0,1,0,1,0,0,0,,,26.0
261.02,63898957,5976,63898957,261,MS,spoc,PC,passed,,-,15.2176,-24.4239,9.02,0.02,9.56,8.507,1,314,,,False,60,6.05,59,9.937098904394196,0,-1,1.31,0.14,1.28,1.07,5890.3,57.0,5890,3.92,0.08,-0.1,0.0561,1,0.0561,1,0.555,F8/G0V,3.36,,0.096,-6.532,1.47,26.13,1.16,3.35,1.27,11.17,2.9,0.48,6.09,1389.7272,0.003,13.039359,0.0043159999999999995,4.92,0.53,0.3965,4.58,1.21,5.35,18.63,625.6,58.03,1007.525683,243.52609500000003,10.275119,114.5,False,01 00 52.2,-24 25 26,,ambiguous period; many transits; need photometry to constrain period,,2,5,0,1,1,0,1,0,0,1,0,1,0,0,0,,,26.0
