tic,toi,priority,programs
130181866,1726,1,"['SC2A', 'SC2Bi', 'SC2C', 'SC2Bii', 'SC1A', 'SC1B', 'SC1E', 'TOB']"
406672232,1263,2,"['SC2A', 'SC1C', 'SC1E', 'SC2Bi', 'SC1A', 'SC1B', 'TOB', 'SC2Bii']"
142381532,1823,3,"['SC2A', 'SC1D']"
317548889,480,4,"['SC2Bii', 'SC1B', 'TOB', 'SC4', 'SC1E']"
335499997,680,5,"['TOB', 'SC4', 'SC1E', 'SC1C', 'SC2Bii']"
142276270,1136,6,"['SC2A', 'TOB', 'SC2Bi', 'SC3', 'SC2Bii', 'SC2C', 'SC1E']"
237222864,1255,7,['SC2Bi']
417948359,1272,8,['SC2Bi']
63898957,261,9,"['TOB', 'SC2Bii', 'SC2C', 'SC1B', 'SC1C', 'SC1E']"
177722855,971,10,"['SC1E', 'SC1B', 'SC4', 'SC2Bii', 'SC1C']"
285048486,1728,11,['SC3']
69747919,1407,12,['SC1B']
188768068,1462,13,['SC4']
459978312,1487,14,['SC4']
37749396,260,15,"['SC2Bii', 'SC1E', 'SC1B', 'TOB', 'SC1A']"
264678534,1611,16,"['SC2Bi', 'SC2A', 'TOB', 'SC2Bii', 'SC1E']"
153949511,1277,17,"['SC2A', 'SC2Bii', 'SC1E', 'SC1B']"
428679607,1669,18,"['TOB', 'SC2Bi', 'SC1C', 'SC2A', 'SC1B', 'SC1E', 'SC2Bii']"
164767175,266,19,"['SC1E', 'SC1B', 'SC2Bii', 'SC1A', 'SC2C', 'TOB']"
377064495,561,20,"['SC1A', 'SC1C', 'SC2C', 'SC2Bi', 'SC3', 'SC1E', 'TOB', 'SC2A', 'SC2Bii', 'SC1B']"
306263608,1471,21,"['SC2Bi', 'SC1E', 'SC2A', 'TOB', 'SC2Bii']"
283474780,1490,22,"['SC4', 'SC2Bii']"
288631580,1659,23,"['SC2Bii', 'SC1A', 'TOB', 'SC1E']"
15863518,1713,24,"['SC1C', 'SC3']"
237232044,1443,25,"['SC1A', 'SC2A']"
230127302,1246,26,['SC2C']
445805961,1710,27,"['SC2Bi', 'SC2Bii', 'TOB', 'SC2A', 'SC1E']"
199444169,1410,28,"['SC2A', 'SC3', 'SC2Bii', 'SC2Bi', 'SC1E']"
444415148,1585,29,['SC4']
417931607,1451,30,"['SC2Bi', 'SC1E', 'SC2A', 'SC1B', 'SC2Bii', 'TOB']"
71431780,1723,31,['SC2A']
142387023,1824,32,['SC2A']
85293053,1772,33,['SC2A']
313761775,1526,34,"['SC1C', 'SC2Bii', 'SC1E']"
233951353,1441,35,['SC2A']
441462736,197,36,['SC4']
268334473,1691,37,['SC2A']
241225337,1727,38,"['SC1E', 'SC2A', 'SC2Bii', 'SC1C']"
159418353,1739,39,"['SC1A', 'SC2A']"
326919774,1552,40,['SC4']
368435330,1797,41,['SC1B']
365733349,1288,42,['SC1C']
9006668,238,43,"['SC1C', 'SC1E', 'SC1A']"
47384844,1022,44,['SC1B']
367607434,1542,45,['SC4']
407966340,554,46,['SC1B']
286916251,1794,47,['SC2A']
376353509,1648,48,['SC2A']
249945230,1563,49,['SC2A']
343019899,1386,50,['SC2A']
153976959,1435,51,['SC2A']
287080092,1751,52,['SC1B']
233087860,1184,53,['SC1A']
408636441,1759,54,['SC1D']
408618999,1736,55,['TOB']
85031598,1684,56,['SC4']
229650439,1438,57,['SC2C']
365673804,1735,58,['SC2Bii']
354600221,1534,59,['SC1C']
