tic,toi,priority,in_SC1A,in_SC1B,in_SC1C,in_SC1D,in_SC1E,in_SC2A,in_SC2Bi,in_SC2Bii,in_SC2C,in_SC3,in_SC4,in_TOA,in_TOB,total_programs
283722336,1469,1,X,X,-,-,X,-,X,X,X,-,-,-,X,7
352413427,1473,2,-,X,-,-,X,-,X,X,-,X,-,-,X,6
332064670,1773,3,X,-,X,-,X,-,X,X,-,-,-,-,X,6
298647682,1643,4,-,-,-,X,X,-,X,X,-,-,-,-,X,5
98796344,455,5,X,X,-,X,X,-,X,X,-,X,-,-,X,8
31374837,431,6,X,X,X,-,X,-,X,X,X,-,-,-,X,8
453211454,509,7,-,X,-,-,X,-,X,X,-,X,-,-,X,6
264678534,1611,8,-,X,-,-,X,-,X,X,-,-,-,-,X,5
408636441,1759,9,-,X,-,X,-,-,-,-,-,X,-,-,X,4
142276270,1136,10,-,X,-,-,X,-,X,X,X,X,-,-,X,7
317548889,480,11,-,-,-,-,X,-,X,X,-,-,X,-,X,5
177722855,971,12,-,X,X,-,X,-,X,X,-,-,X,-,X,7
188768068,1462,13,-,X,X,-,X,-,X,X,-,-,X,-,X,7
417676622,1290,14,-,-,-,-,-,X,-,-,-,-,-,-,-,1
311121985,1660,15,-,-,X,-,X,-,X,X,-,-,-,-,X,5
269701147,1339,16,X,X,-,-,X,-,X,X,X,X,-,-,X,8
229510866,1181,17,-,-,-,-,-,-,-,-,-,-,X,-,-,1
268334473,1691,18,-,-,-,-,-,X,X,-,-,X,-,-,X,4
243185500,1468,19,X,-,-,X,-,-,-,-,X,X,-,-,-,4
285048486,1728,20,-,-,-,-,-,-,-,-,-,X,-,-,-,1
130181866,1726,21,-,X,-,-,X,-,X,X,X,-,-,-,X,6
21535395,1776,22,X,X,-,-,X,-,X,X,-,-,-,-,X,6
164767175,266,23,X,X,-,-,X,-,X,X,X,-,-,-,X,7
428679607,1669,24,-,X,X,-,X,X,X,X,-,-,-,-,X,7
377064495,561,25,X,X,X,-,X,X,X,X,X,X,-,-,X,10
153949511,1277,26,-,X,-,-,X,X,X,X,X,-,-,-,X,7
229650439,1438,27,-,-,-,-,-,X,-,-,X,-,-,-,X,3
37749396,260,28,X,X,-,-,X,-,X,X,-,-,-,-,X,6
158025009,1416,29,X,X,X,-,X,-,X,X,-,X,-,-,X,8
408618999,1736,30,-,X,-,-,X,-,X,X,-,X,X,-,X,7
233684293,1791,31,-,-,-,-,X,-,X,X,-,-,X,-,X,5
288631580,1659,32,X,X,-,-,-,-,X,-,-,-,-,-,X,4
198390247,1453,33,X,X,-,-,X,X,X,X,X,-,-,-,X,8
230127302,1246,34,-,X,-,-,-,-,-,-,X,-,-,-,X,3
287080092,1751,35,-,X,-,-,X,-,X,X,-,-,-,-,X,5
8767448,1767,36,-,-,-,-,-,-,-,-,-,-,X,-,-,1
15863518,1713,37,-,-,X,-,-,-,-,-,-,X,-,-,-,2
219852882,1346,38,X,X,-,-,-,-,-,-,X,-,-,-,X,4
313761775,1526,39,-,-,X,-,-,-,-,-,-,-,-,-,X,2
467179528,1266,40,X,X,-,X,-,-,-,-,X,-,-,-,-,4
268403451,1612,41,-,-,-,-,-,-,-,-,-,-,X,-,-,1
318022259,1730,42,X,-,-,-,-,-,-,-,X,X,-,-,-,3
241225337,1727,43,-,X,X,-,X,X,X,X,-,X,-,-,X,8
232982558,1439,44,-,-,-,-,-,-,-,-,-,-,X,-,-,1
365733349,1288,45,-,-,X,-,-,-,X,-,-,X,-,-,X,4
407966340,554,46,-,X,-,-,X,-,X,X,-,X,-,-,X,6
199444169,1410,47,-,X,-,-,X,X,X,X,-,X,-,-,X,7
468828873,1672,48,-,-,X,-,X,-,X,X,-,-,X,-,X,6
293954617,1430,49,-,X,-,-,X,-,X,X,-,X,-,-,X,6
68152139,1597,50,-,-,X,-,-,-,-,-,-,-,X,-,X,3
355867695,1260,51,-,X,-,-,-,-,-,-,X,-,-,-,-,2
219015370,1294,52,-,-,-,-,-,-,-,-,-,-,X,-,-,1
116483514,1411,53,X,-,-,-,-,X,-,-,-,-,-,-,-,2
153951307,1238,54,X,-,-,-,-,-,-,-,X,-,-,-,-,2
376353509,1648,55,-,-,-,-,-,X,-,-,-,-,-,-,-,1
219854185,1296,56,-,-,-,-,-,-,-,-,-,-,X,-,-,1
326114850,1504,57,-,X,X,-,-,-,-,-,-,-,-,-,X,3
232967440,1173,58,-,-,-,-,-,-,-,-,-,X,-,-,-,1
198186769,1291,59,-,-,X,-,-,-,-,-,-,-,X,-,-,2
159418353,1739,60,X,-,-,-,-,X,-,-,-,-,-,-,-,2
417931607,1451,61,-,X,-,-,X,-,X,X,-,-,-,-,X,5
284475976,1628,62,-,-,-,-,-,-,-,-,-,-,X,-,-,1
9006668,238,63,X,-,X,-,-,-,-,-,-,-,-,-,X,3
153976959,1435,64,-,-,X,-,-,X,-,-,-,-,-,-,-,2
306263608,1471,65,-,X,-,-,X,-,X,X,-,X,-,-,X,6
33692729,469,66,-,-,-,-,X,-,X,X,-,X,-,-,X,5
321041369,1681,67,-,X,X,-,-,X,X,-,-,X,-,-,X,6
237222864,1255,68,-,X,-,-,X,-,X,X,-,X,-,-,X,6
198206613,1741,69,X,X,-,-,-,-,-,-,-,-,-,-,-,2
154383539,1436,70,X,-,X,-,-,-,-,-,-,X,-,-,-,3
147950620,1194,71,-,-,-,-,-,-,-,-,-,X,-,-,-,1
416195870,1264,72,-,-,-,-,-,-,-,-,-,X,-,-,-,1
258514800,1444,73,X,-,X,-,-,X,-,-,-,-,-,-,X,4
310003988,1629,74,-,-,-,-,-,-,-,-,-,-,X,-,-,1
148914726,1179,75,-,-,X,-,-,X,-,-,-,-,-,-,-,2
94986319,421,76,-,-,-,-,X,-,X,X,-,X,-,-,X,5
232612416,1248,77,-,-,-,-,-,-,-,-,-,X,-,-,-,1
39699648,1778,78,-,X,-,-,X,-,X,X,-,X,-,-,X,6
9348006,1775,79,-,-,-,-,-,-,-,-,-,X,-,-,-,1
409520860,1547,80,-,-,X,-,-,-,-,-,-,-,-,-,-,1
396740648,1694,81,-,-,-,-,-,-,-,-,-,X,-,-,-,1
229747848,1347,82,X,-,X,-,-,X,-,-,-,-,-,-,-,3
233541860,1486,83,X,-,X,-,-,X,-,-,-,-,-,-,-,3
124573851,669,84,-,-,-,-,-,-,-,-,-,X,-,-,-,1
202504234,1293,85,-,-,X,-,-,-,-,-,-,-,-,-,-,1
236714379,1254,86,-,-,X,-,-,-,-,-,-,-,-,-,-,1
85242435,1722,87,-,-,-,-,-,-,X,-,-,X,-,-,X,3
229455001,1744,88,-,-,-,-,X,-,X,X,-,X,-,-,X,5
413248763,562,89,-,X,-,-,-,-,-,-,-,-,-,-,-,1
417948359,1272,90,-,-,-,-,-,-,-,-,-,X,-,-,-,1
33595516,849,91,-,-,X,-,-,-,-,-,-,-,-,-,-,1
306955329,1472,92,-,-,-,-,-,-,-,-,-,X,-,-,-,1
232540264,1247,93,-,-,-,-,X,-,X,-,-,X,-,-,X,4
230377505,1706,94,X,-,-,-,-,-,-,-,-,-,-,-,-,1
103633434,1235,95,X,-,-,-,-,-,-,-,-,-,-,-,-,1
71431780,1723,96,-,-,-,-,-,-,-,-,-,X,-,-,X,2
198212955,1242,97,-,-,X,-,-,-,-,-,-,-,-,-,-,1
14336130,1716,98,-,-,-,-,-,-,-,-,-,X,-,-,-,1
