,program,program_priority,overall_priority,pick,tic,SC1A,SC1B,SC1C,SC1D,SC1E,SC2A,SC2Bi,SC2Bii,SC2C,SC3,SC4,TOA,TOB,total_time
0,,,,,,47.619,47.619,47.619,23.81,47.619,47.619,47.619,47.619,47.619,47.619,40.0,0.0,47.619,540.0
1,SC3,1.0,1.0,1247.01,232540264.0,47.619,47.619,47.619,23.81,47.619,47.619,47.619,47.619,47.619,40.994,40.0,0.0,47.619,533.375
2,SC4,1.0,2.0,480.01,317548889.0,47.619,47.619,47.619,23.81,47.619,47.619,47.619,47.619,47.619,40.994,35.6,0.0,47.619,528.975
3,TOB,1.0,2.0,480.01,317548889.0,47.619,47.619,47.619,23.81,47.619,47.619,47.619,47.619,47.619,40.994,37.196,0.0,42.69,525.641
4,SC2A,1.0,3.0,1469.01,283722336.0,47.619,47.619,47.619,23.81,47.619,47.617,47.619,47.619,47.619,40.994,37.196,0.0,42.69,525.639
5,SC1E,1.0,3.0,1469.01,283722336.0,47.619,47.619,47.619,23.81,47.471,47.617,47.619,47.619,47.619,40.994,37.196,0.0,42.69,525.491
6,SC1E,2.0,4.0,1573.01,302773669.0,47.619,47.619,47.619,23.81,47.321,47.617,47.619,47.619,47.619,40.994,37.196,0.0,42.69,525.341
7,SC4,2.0,5.0,1462.01,188768068.0,47.619,47.619,47.619,23.81,47.321,47.617,47.619,47.619,47.619,40.994,33.546,0.0,42.69,521.691
8,SC1A,1.0,3.0,1469.02,283722336.0,47.545,47.619,47.619,23.81,47.395,47.618,47.619,47.619,47.619,40.994,33.546,0.0,42.69,521.691
9,SC1C,1.0,5.0,1462.01,188768068.0,47.545,47.619,45.794,23.81,47.395,47.618,47.619,47.619,47.619,40.994,35.371,0.0,42.69,521.691
10,SC4,3.0,6.0,1487.01,459978312.0,47.545,47.619,45.794,23.81,47.395,47.618,47.619,47.619,47.619,40.994,30.554,0.0,42.69,516.875
11,SC1B,1.0,3.0,1469.01,283722336.0,47.569,47.569,45.794,23.81,47.419,47.618,47.619,47.619,47.619,40.994,30.554,0.0,42.69,516.875
12,SC1D,1.0,7.0,1643.01,298647682.0,47.569,47.569,45.794,14.068,47.419,47.618,47.619,47.619,47.619,40.994,30.554,0.0,42.69,507.133
13,SC2Bii,1.0,3.0,1469.01,283722336.0,47.582,47.582,45.794,14.068,47.432,47.618,47.619,47.582,47.619,40.994,30.554,0.0,42.69,507.133
14,SC2Bi,1.0,8.0,1255.01,237222864.0,47.582,47.582,45.794,14.068,47.432,47.618,34.336,47.582,47.619,40.994,30.554,0.0,42.69,493.85
15,SC1A,2.0,9.0,1821.01,82308728.0,47.432,47.582,45.794,14.068,47.432,47.618,34.336,47.582,47.619,40.994,30.554,0.0,42.69,493.7
16,SC1A,3.0,10.0,260.01,37749396.0,46.904,47.582,45.794,14.068,47.432,47.618,34.336,47.582,47.619,40.994,30.554,0.0,42.69,493.173
17,SC2A,2.0,9.0,1821.01,82308728.0,46.92,47.582,45.794,14.068,47.432,47.603,34.336,47.582,47.619,40.994,30.554,0.0,42.69,493.173
18,SC1A,4.0,11.0,431.02,31374837.0,42.734,47.582,45.794,14.068,47.432,47.603,34.336,47.582,47.619,40.994,30.554,0.0,42.69,488.987
19,SC3,2.0,12.0,554.01,407966340.0,42.734,47.582,45.794,14.068,47.432,47.603,34.336,47.582,47.619,39.01,30.554,0.0,42.69,487.003
20,SC2Bi,2.0,13.0,1272.01,417948359.0,42.734,47.582,45.794,14.068,47.432,47.603,15.117,47.582,47.619,39.01,30.554,0.0,42.69,467.785
21,SC2Bii,2.0,9.0,1821.01,82308728.0,42.797,47.582,45.794,14.068,47.432,47.61,15.117,47.511,47.619,39.01,30.554,0.0,42.69,467.785
22,SC2A,3.0,14.0,509.01,453211454.0,42.797,47.582,45.794,14.068,47.432,47.573,15.117,47.511,47.619,39.01,30.554,0.0,42.69,467.747
23,SC1C,2.0,11.0,431.02,31374837.0,44.89,47.582,43.701,14.068,47.432,47.573,15.117,47.511,47.619,39.01,30.554,0.0,42.69,467.747
24,SC1C,3.0,15.0,1773.01,332064670.0,44.89,47.582,38.634,14.068,47.432,47.573,15.117,47.511,47.619,39.01,30.554,0.0,42.69,462.681
25,SC2Bii,3.0,4.0,1573.01,302773669.0,44.89,47.582,38.634,14.068,47.507,47.573,15.117,47.436,47.619,39.01,30.554,0.0,42.69,462.681
26,SC1C,4.0,16.0,561.02,377064495.0,44.89,47.582,32.928,14.068,47.507,47.573,15.117,47.436,47.619,39.01,30.554,0.0,42.69,456.974
27,SC2C,1.0,17.0,1339.01,269701147.0,44.89,47.582,32.928,14.068,47.507,47.573,15.117,47.436,37.892,39.01,30.554,0.0,42.69,447.247
28,SC1E,3.0,9.0,1821.01,82308728.0,44.913,47.582,32.928,14.068,47.459,47.575,15.117,47.459,37.892,39.01,30.554,0.0,42.69,447.247
29,SC1C,5.0,18.0,1263.01,406672232.0,44.913,47.582,24.344,14.068,47.459,47.575,15.117,47.459,37.892,39.01,30.554,0.0,42.69,438.663
30,SC2Bii,4.0,10.0,260.01,37749396.0,45.177,47.582,24.344,14.068,47.459,47.575,15.117,47.195,37.892,39.01,30.554,0.0,42.69,438.663
31,SC1E,4.0,10.0,260.01,37749396.0,45.265,47.582,24.344,14.068,47.283,47.575,15.117,47.283,37.892,39.01,30.554,0.0,42.69,438.663
32,SC1C,6.0,19.0,680.01,335499997.0,45.265,47.582,14.624,14.068,47.283,47.575,15.117,47.283,37.892,39.01,30.554,0.0,42.69,428.943
33,SC2A,4.0,20.0,1290.01,417676622.0,45.265,47.582,14.624,14.068,47.283,47.426,15.117,47.283,37.892,39.01,30.554,0.0,42.69,428.794
34,SC1B,2.0,9.0,1821.01,82308728.0,45.276,47.545,14.624,14.068,47.294,47.428,15.117,47.294,37.892,39.01,30.554,0.0,42.69,428.794
35,SC4,4.0,21.0,1490.01,283474780.0,45.276,47.545,14.624,14.068,47.294,47.428,15.117,47.294,37.892,39.01,22.574,0.0,42.69,420.814
36,SC2C,2.0,16.0,561.01,377064495.0,45.276,47.545,16.073,14.068,47.294,47.428,15.117,47.294,25.383,39.01,22.574,0.0,42.69,409.755
37,SC1A,5.0,15.0,1773.01,332064670.0,42.743,47.545,18.607,14.068,47.294,47.428,15.117,47.294,25.383,39.01,22.574,0.0,42.69,409.755
38,SC2Bii,5.0,22.0,1144.01,28230919.0,42.743,47.545,18.607,14.068,47.294,47.428,15.117,46.943,25.383,39.01,22.574,0.0,42.69,409.403
39,TOB,2.0,5.0,1462.01,188768068.0,42.743,47.545,18.647,14.068,47.294,47.428,15.117,46.943,25.383,39.01,22.615,0.0,39.276,406.07
40,SC1C,7.0,23.0,261.01,63898957.0,42.743,47.545,8.71,14.068,47.294,47.428,15.117,46.943,25.383,39.01,22.615,0.0,39.276,396.133
41,SC2A,5.0,16.0,561.01,377064495.0,42.743,47.545,8.743,14.068,47.294,47.298,15.117,46.943,25.48,39.01,22.615,0.0,39.276,396.133
42,SC1A,6.0,16.0,561.02,377064495.0,39.369,47.545,9.593,14.068,47.294,47.324,15.117,46.943,27.978,39.01,22.615,0.0,39.276,396.133
43,SC3,3.0,24.0,669.01,124573851.0,39.369,47.545,9.593,14.068,47.294,47.324,15.117,46.943,27.978,23.905,22.615,0.0,39.276,381.027
44,SC3,4.0,25.0,1473.01,352413427.0,39.369,47.545,9.593,14.068,47.294,47.324,15.117,46.943,27.978,19.413,22.615,0.0,39.276,376.535
45,TOB,3.0,12.0,554.01,407966340.0,39.369,47.545,9.593,14.068,47.294,47.324,15.117,46.943,27.978,19.952,22.615,0.0,35.404,373.202
46,SC1B,3.0,10.0,260.01,37749396.0,39.413,47.413,9.593,14.068,47.338,47.324,15.117,46.987,27.978,19.952,22.615,0.0,35.404,373.202
47,SC4,5.0,26.0,971.01,177722855.0,39.413,47.413,9.593,14.068,47.338,47.324,15.117,46.987,27.978,19.952,7.076,0.0,35.404,357.663
48,SC1E,5.0,22.0,1144.01,28230919.0,39.413,47.413,9.593,14.068,47.163,47.324,15.117,47.163,27.978,19.952,7.076,0.0,35.404,357.663
49,SC2C,3.0,27.0,1136.01,142276270.0,39.413,47.413,9.593,14.068,47.163,47.324,15.117,47.163,13.94,19.952,7.076,0.0,35.404,343.625
50,SC4,6.0,19.0,680.01,335499997.0,39.413,47.413,14.453,14.068,47.163,47.324,15.117,47.163,13.94,19.952,2.216,0.0,35.404,343.625
51,TOB,4.0,10.0,260.01,37749396.0,39.155,47.156,14.453,14.068,46.905,47.324,15.117,46.905,13.94,19.952,2.216,0.0,30.997,338.187
52,TOB,5.0,11.0,431.01,31374837.0,39.085,47.156,14.383,14.068,46.905,47.324,15.117,46.905,13.94,19.952,2.216,0.0,26.374,333.425
53,SC1A,7.0,17.0,1339.03,269701147.0,35.61,47.156,14.383,14.068,46.905,47.324,15.117,46.905,17.416,19.952,2.216,0.0,26.374,333.425
