Target,RA,Dec,V mag,J mag,H mag,K mag
1003831,130.295154,-16.036327,11.097000000000001,10.044,9.71,9.604
1103432,130.581439,-17.189424,13.4,12.267000000000001,12.005,11.963
1133072,131.086145,-28.07677,15.34,11.172,10.475999999999999,10.282
2760710,356.527357,-16.691464,18.44,12.126,11.504000000000001,11.25
5109298,107.59808999999998,-5.432679,10.584000000000001,10.502,10.513,10.469000000000001
11111899,303.824831,36.651807,9.846,9.347999999999999,9.202,9.187000000000001
13349647,131.58039,-8.026985,12.835999999999999,11.609000000000002,11.353,11.294
13499636,320.20190499999995,28.055829,11.234000000000002,9.921,9.553001,9.484
13684720,305.538257,36.064784,15.6,10.805,10.217,9.949
14165625,78.037215,-37.708481,12.512,10.325,9.773,9.612001
14661418,174.00986899999998,-29.543364,13.397,11.556,11.005999999999998,10.942
15247229,306.73085299999997,38.93227,10.02,9.662,9.645000999999999,9.631
15445551,185.324682,-52.840816000000004,10.727,9.832,9.593,9.552
15565627,307.01664700000003,39.87713,10.73,9.804,9.586,9.575
16288184,253.768848,-28.710584000000004,11.602,10.508,10.267999999999999,10.217
16740101,307.8599,39.938916,7.55,7.457999999999999,7.492000000000001,7.482
20318757,167.133275,-29.653135,11.308,9.187999999999999,8.548,8.432
22221375,149.123515,-24.099186,7.93,6.8389999999999995,6.577000000000001,6.462999999999999
23434737,168.22673600000002,-34.406937,8.59,7.4110000000000005,7.102,6.997000000000001
26880783,293.44357,53.464527000000004,9.24,9.024,9.005,8.982000000000001
28230919,297.710176,48.081864,9.46,7.608,7.131,7.0089999999999995
29781292,65.23830699999999,-68.102688,9.42,8.476,8.256,8.175
30037565,73.54191800000001,-70.379109,10.048,9.126,8.85,8.786
30122649,133.74855,-44.28863,10.729000000000001,9.337,8.917,8.806000000000001
30329585,289.23868799999997,31.323574,10.645,9.61,9.396,9.314
30828562,134.71834099999998,-43.452796,8.29,7.88,7.819,7.79
30853470,75.915921,-66.654923,12.322000000000001,10.325999999999999,9.771,9.602
31553893,288.91177200000004,-31.790813,10.09,8.706,8.398,8.312000000000001
31858843,289.479212,-32.860124,11.03,9.799,9.457,9.362001
32497972,84.10933399999999,-24.244444,13.175,10.334000000000001,9.687999999999999,9.508
33091633,104.87593000000001,-4.812169,10.562999999999999,9.692,9.553001,9.44
33153766,144.77363,-45.426185,9.12,7.922000000000001,7.6160000000000005,7.524
33831980,63.416059,-76.098013,13.267999999999999,10.853,10.193999999999999,10.048
33878688,66.221959,-73.333516,12.408,10.414000000000001,9.954001,9.855
34068865,146.121464,-45.779016,10.152999999999999,6.632000000000001,6.045,5.78
