# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jul 24 14:57:31 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_vjerr:       V-band (Johnson) Unc. [mag]
# COLUMN st_vjlim:       V-band (Johnson) Limit Flag
# COLUMN st_j:           J-band (2MASS) [mag]
# COLUMN st_jerr:        J-band (2MASS) Unc. [mag]
# COLUMN st_jlim:        J-band (2MASS) Limit Flag
#
pl_name,st_vj,st_vjerr,st_vjlim,st_j,st_jerr,st_jlim
11 Com b,4.740,,0,2.943,0.334,0
11 UMi b,5.016,0.009,0,2.876,0.230,0
14 And b,5.227,0.009,0,3.019,0.180,0
14 Her b,6.610,0.020,0,5.158,0.029,0
16 Cyg B b,6.250,,0,4.993,0.037,0
18 Del b,5.506,0.009,0,4.032,0.236,0
1RXS J160929.1-210524 b,,,,9.820,0.027,0
24 Boo b,5.580,,0,3.845,0.240,0
24 Sex b,6.441,0.010,0,5.292,0.338,0
24 Sex c,6.441,0.010,0,5.292,0.338,0
2MASS J01225093-2439505 b,14.240,0.070,0,10.084,0.026,0
2MASS J02192210-3925225 b,,,,11.381,0.023,0
2MASS J04414489+2301513 b,,,,14.419,0.025,0
2MASS J12073346-3932539 b,20.150,0.190,0,12.995,0.026,0
2MASS J19383260+4603591 b,,,,12.757,0.022,0
2MASS J21402931+1625183 A b,,,,12.940,0.033,0
2MASS J22362452+4751425 b,12.510,0.030,0,9.975,0.018,0
30 Ari B b,6.962,0.011,0,6.080,0.020,0
4 UMa b,4.610,,0,2.619,0.290,0
42 Dra b,4.820,,0,2.949,0.234,0
47 UMa b,5.050,,0,3.960,0.296,0
47 UMa c,5.050,,0,3.960,0.296,0
47 UMa d,5.050,,0,3.960,0.296,0
51 Eri b,5.230,,0,4.744,0.037,0
51 Peg b,5.500,,0,4.655,0.296,0
55 Cnc b,5.960,0.010,0,4.768,0.244,0
55 Cnc c,5.960,0.010,0,4.768,0.244,0
55 Cnc d,5.960,0.010,0,4.768,0.244,0
55 Cnc e,5.960,0.010,0,4.768,0.244,0
55 Cnc f,5.960,0.010,0,4.768,0.244,0
6 Lyn b,5.860,,0,4.272,0.254,0
61 Vir b,4.740,,0,3.334,0.200,0
61 Vir c,4.740,,0,3.334,0.200,0
61 Vir d,4.740,,0,3.334,0.200,0
7 CMa b,3.920,,0,2.173,0.244,0
7 CMa c,3.920,,0,2.173,0.244,0
70 Vir b,4.970,,0,3.798,0.286,0
75 Cet b,5.350,,0,3.931,0.262,0
8 UMi b,6.830,,0,5.069,0.027,0
81 Cet b,5.650,,0,3.940,0.266,0
91 Aqr b,4.250,,0,2.263,0.246,0
AB Pic b,9.128,0.019,0,7.576,0.024,0
AU Mic b,8.810,,0,5.436,0.017,0
BD+03 2562 b,9.580,0.010,0,6.960,0.013,0
BD+14 4559 b,9.630,0.012,0,7.882,0.029,0
BD+15 2375 b,10.310,0.023,0,8.372,0.013,0
BD+15 2940 b,9.046,0.021,0,7.154,0.020,0
BD+20 2457 b,9.750,,0,7.299,0.023,0
BD+20 2457 c,9.750,,0,7.299,0.023,0
BD+20 274 b,9.360,,0,7.003,0.019,0
BD+20 594 b,11.038,0.047,0,9.770,0.022,0
BD+48 738 b,9.140,,0,6.704,0.021,0
BD+48 740 b,8.699,0.015,0,6.385,0.018,0
BD+49 828 b,9.380,0.020,0,7.246,0.009,0
BD-06 1339 b,9.700,0.009,0,7.128,0.018,0
BD-06 1339 c,9.700,0.009,0,7.128,0.018,0
BD-08 2823 b,9.880,0.043,0,7.960,0.020,0
BD-08 2823 c,9.880,0.043,0,7.960,0.020,0
BD-10 3166 b,10.080,,0,8.611,0.032,0
BD-11 4672 b,9.990,,0,7.651,0.023,0
BD-11 4672 c,9.990,,0,7.651,0.023,0
BD-13 2130 b,9.450,,0,7.940,0.025,0
BD-17 63 b,9.566,0.024,0,7.574,0.019,0
CFBDSIR J145829+101343 b,,,,,,
CHXR 73 b,,,,12.674,0.026,0
CI Tau b,12.939,0.031,0,9.480,0.020,0
CT Cha b,,,,9.715,0.024,0
CoRoT-1 b,13.600,,0,12.462,0.029,0
CoRoT-10 b,15.220,0.050,0,12.527,0.025,0
CoRoT-11 b,12.939,0.019,0,11.589,0.021,0
CoRoT-12 b,15.515,0.052,0,14.024,0.032,0
CoRoT-13 b,15.039,0.041,0,13.710,0.024,0
CoRoT-14 b,16.033,0.070,0,14.321,0.036,0
CoRoT-16 b,15.630,,0,13.496,0.029,0
CoRoT-17 b,15.460,,0,13.174,0.038,0
CoRoT-18 b,15.000,0.100,0,13.441,0.024,0
CoRoT-19 b,14.007,,0,12.324,0.024,0
CoRoT-2 b,12.570,,0,10.783,0.028,0
CoRoT-20 b,14.660,,0,12.991,0.026,0
CoRoT-20 c,14.660,,0,12.991,0.026,0
CoRoT-21 b,16.000,,0,14.340,0.039,0
CoRoT-22 b,13.944,0.083,0,12.414,0.024,0
CoRoT-23 b,15.630,0.070,0,12.944,0.026,0
CoRoT-24 b,,,,13.595,0.021,0
CoRoT-24 c,,,,13.595,0.021,0
CoRoT-25 b,,,,13.300,0.021,0
CoRoT-26 b,,,,13.813,0.025,0
CoRoT-27 b,15.540,,0,13.571,0.024,0
CoRoT-28 b,,,,11.601,0.020,0
CoRoT-29 b,,,,13.565,0.017,0
CoRoT-3 b,13.292,0.020,0,11.936,0.030,0
CoRoT-30 b,15.650,,0,14.019,0.026,0
CoRoT-31 b,,,,13.908,0.023,0
CoRoT-4 b,,,,12.619,0.026,0
CoRoT-5 b,,,,12.871,0.021,0
CoRoT-6 b,13.912,0.021,0,12.518,0.021,0
CoRoT-7 b,11.668,0.008,0,10.301,0.021,0
CoRoT-7 c,11.668,0.008,0,10.301,0.021,0
CoRoT-8 b,14.800,,0,12.154,0.023,0
CoRoT-9 b,13.690,,0,12.175,0.028,0
CoRoTID 223977153 b,,,,12.519,0.024,0
DE CVn b,,,,9.392,0.019,0
DENIS-P J082303.1-491201 b,,,,13.547,0.023,0
DH Tau b,,,,9.767,0.021,0
DMPP-1 b,7.981,0.012,0,7.001,0.024,0
DMPP-1 c,7.981,0.012,0,7.001,0.024,0
DMPP-1 d,7.981,0.012,0,7.001,0.024,0
DMPP-1 e,7.981,0.012,0,7.001,0.024,0
DMPP-2 b,8.567,0.014,0,7.703,0.027,0
DMPP-3 A b,9.066,0.019,0,7.588,0.021,0
DP Leo b,,,,,,
DS Tuc A b,8.469,0.012,0,7.122,0.024,0
EPIC 201238110 b,,,,12.759,0.023,0
EPIC 201497682 b,14.102,0.060,0,12.086,0.023,0
EPIC 201615463 c,12.074,0.010,0,10.952,0.024,0
EPIC 201754305 d,14.670,0.040,0,12.764,0.026,0
EPIC 201833600 c,14.717,0.050,0,12.410,0.027,0
EPIC 201841433 b,14.867,0.010,0,13.060,0.023,0
EPIC 205950854 c,12.291,0.010,0,10.957,0.026,0
EPIC 206024342 b,13.116,0.030,0,11.846,0.022,0
EPIC 206032309 b,,,,13.429,0.024,0
EPIC 206042996 b,16.743,0.089,0,13.964,0.025,0
EPIC 206215704 b,,,,13.561,0.030,0
EPIC 206317286 b,14.051,0.036,0,12.258,0.026,0
EPIC 211822797 b,15.256,0.010,0,12.277,0.025,0
EPIC 211945201 b,10.154,0.056,0,9.144,0.023,0
EPIC 212297394 b,14.423,0.030,0,12.735,0.026,0
EPIC 212424622 b,13.354,0.040,0,12.101,0.021,0
EPIC 212499991 b,13.552,0.020,0,11.877,0.026,0
EPIC 212587672 b,12.487,0.268,0,11.181,0.023,0
EPIC 212737443 b,14.836,0.013,0,12.824,0.026,0
EPIC 212737443 c,14.836,0.013,0,12.824,0.026,0
EPIC 220554210 c,14.042,0.036,0,12.437,0.024,0
EPIC 220674823 b,12.102,0.212,0,10.770,0.023,0
EPIC 220674823 c,12.102,0.212,0,10.770,0.023,0
EPIC 246851721 b,11.439,0.053,0,10.199,0.042,0
EPIC 248847494 b,12.416,0.020,0,10.765,0.023,0
EPIC 249893012 b,11.428,0.121,0,10.216,0.026,0
EPIC 249893012 c,11.428,0.121,0,10.216,0.026,0
EPIC 249893012 d,11.428,0.121,0,10.216,0.026,0
FU Tau b,,,,15.037,0.115,0
G 9-40 b,13.823,0.040,0,10.058,0.022,0
GJ 1061 b,13.060,0.070,0,7.523,0.020,0
GJ 1061 c,13.060,0.070,0,7.523,0.020,0
GJ 1061 d,13.060,0.070,0,7.523,0.020,0
GJ 1132 b,13.490,0.030,0,9.245,0.026,0
GJ 1132 c,13.490,0.030,0,9.245,0.026,0
GJ 1148 b,11.920,0.020,0,7.608,0.018,0
GJ 1148 c,11.920,0.020,0,7.608,0.018,0
GJ 1214 b,15.100,0.600,0,9.750,0.024,0
GJ 1252 b,12.193,0.056,0,8.697,0.019,0
GJ 1265 b,13.570,0.020,0,8.955,0.029,0
GJ 143 b,7.870,,0,6.081,0.020,0
GJ 15 A b,8.080,,0,5.252,0.264,0
GJ 15 A c,8.080,,0,5.252,0.264,0
GJ 160.2 b,9.680,0.009,0,7.439,0.021,0
GJ 163 b,11.810,0.014,0,7.948,0.025,0
GJ 163 c,11.810,0.014,0,7.948,0.025,0
GJ 163 d,11.810,0.014,0,7.948,0.025,0
GJ 179 b,12.000,0.025,0,7.814,0.024,0
GJ 180 b,10.910,0.011,0,7.413,0.020,0
GJ 180 c,10.910,0.011,0,7.413,0.020,0
GJ 180 d,10.910,0.011,0,7.413,0.020,0
GJ 229 A c,8.140,,0,5.104,0.037,0
GJ 229 b,8.140,,0,5.104,0.037,0
GJ 27.1 b,11.420,0.014,0,8.225,0.027,0
GJ 273 b,9.872,,0,5.714,0.032,0
GJ 273 c,9.872,,0,5.714,0.032,0
GJ 3021 b,6.590,0.000,0,5.366,0.021,0
GJ 3082 b,11.077,0.015,0,7.805,0.023,0
GJ 3138 b,10.980,,0,8.076,0.019,0
GJ 3138 c,10.980,,0,8.076,0.019,0
GJ 3138 d,10.980,,0,8.076,0.019,0
GJ 317 b,11.970,0.014,0,7.934,0.027,0
GJ 317 c,11.970,0.014,0,7.934,0.027,0
GJ 328 b,9.970,0.009,0,7.191,0.027,0
GJ 3293 b,11.962,,0,8.362,0.024,0
GJ 3293 c,11.962,,0,8.362,0.024,0
GJ 3293 d,11.962,,0,8.362,0.024,0
GJ 3293 e,11.962,,0,8.362,0.024,0
GJ 3323 b,12.220,,0,7.617,0.032,0
GJ 3323 c,12.220,,0,7.617,0.032,0
GJ 3341 b,12.080,,0,8.592,0.020,0
GJ 338 B b,7.700,0.010,0,4.779,0.174,0
GJ 3470 b,12.330,0.012,0,8.794,0.025,0
GJ 3512 b,15.050,0.020,0,9.615,0.022,0
GJ 357 b,10.920,0.030,0,7.337,0.034,0
GJ 357 c,10.920,0.030,0,7.337,0.034,0
GJ 357 d,10.920,0.030,0,7.337,0.034,0
GJ 3634 b,11.930,0.010,0,8.361,0.023,0
GJ 3779 b,12.960,0.020,0,8.728,0.021,0
GJ 3942 b,10.250,0.040,0,7.185,0.020,0
GJ 3998 b,10.830,,0,7.634,0.021,0
GJ 3998 c,10.830,,0,7.634,0.021,0
GJ 411 b,7.490,0.010,0,4.320,0.282,0
GJ 422 b,11.550,0.014,0,7.811,0.020,0
GJ 4276 b,,,,8.745,0.027,0
GJ 433 b,9.806,0.015,0,6.471,0.018,0
GJ 433 c,9.806,0.015,0,6.471,0.018,0
GJ 433 d,9.806,0.015,0,6.471,0.018,0
GJ 436 b,10.670,0.010,0,6.900,0.024,0
GJ 504 b,5.220,,0,4.392,0.284,0
GJ 536 b,9.720,0.009,0,6.516,0.018,0
GJ 581 b,10.560,0.011,0,6.706,0.025,0
GJ 581 c,10.560,0.011,0,6.706,0.025,0
GJ 581 e,10.560,0.011,0,6.706,0.025,0
GJ 625 b,10.100,0.010,0,6.608,0.020,0
GJ 649 b,9.690,0.020,0,6.448,0.021,0
GJ 667 C b,10.220,0.100,0,6.848,0.021,0
GJ 667 C c,10.220,0.100,0,6.848,0.021,0
GJ 667 C e,10.220,0.100,0,6.848,0.021,0
GJ 667 C f,10.220,0.100,0,6.848,0.021,0
GJ 667 C g,10.220,0.100,0,6.848,0.021,0
GJ 674 b,9.370,,0,5.711,0.019,0
GJ 676 A b,9.580,0.009,0,6.711,0.020,0
GJ 676 A c,9.580,0.009,0,6.711,0.020,0
GJ 676 A d,9.580,0.009,0,6.711,0.020,0
GJ 676 A e,9.580,0.009,0,6.711,0.020,0
GJ 682 b,10.970,0.011,0,6.544,0.023,0
GJ 682 c,10.970,0.011,0,6.544,0.023,0
GJ 685 b,9.970,,0,6.884,0.032,0
GJ 687 b,9.150,,0,5.335,0.021,0
GJ 832 b,8.660,,0,5.349,0.032,0
GJ 832 c,8.660,,0,5.349,0.032,0
GJ 849 b,10.370,0.011,0,6.510,0.024,0
GJ 86 b,6.120,,0,4.785,0.248,0
GJ 876 b,10.191,0.015,0,5.934,0.019,0
GJ 876 c,10.191,0.015,0,5.934,0.019,0
GJ 876 d,10.191,0.015,0,5.934,0.019,0
GJ 876 e,10.191,0.015,0,5.934,0.019,0
GJ 887 b,7.335,,0,4.338,0.258,0
GJ 887 c,7.335,,0,4.338,0.258,0
GJ 96 b,9.345,,0,6.377,0.019,0
GJ 9827 b,10.250,0.138,0,7.984,0.020,0
GJ 9827 c,10.250,0.138,0,7.984,0.020,0
GJ 9827 d,10.250,0.138,0,7.984,0.020,0
GQ Lup b,12.430,,0,8.605,0.021,0
GSC 06214-00210 b,12.375,0.031,0,9.998,0.027,0
GU Psc b,13.550,,0,10.211,0.019,0
Gl 378 b,10.190,,0,6.949,0.020,0
Gl 49 b,9.560,0.020,0,6.230,0.021,0
Gl 686 b,9.577,,0,6.360,0.023,0
HAT-P-1 b,10.340,,0,9.156,0.023,0
HAT-P-11 b,,,,7.608,0.029,0
HAT-P-11 c,,,,7.608,0.029,0
HAT-P-12 b,12.840,,0,10.794,0.023,0
HAT-P-13 b,10.622,,0,9.328,0.018,0
HAT-P-13 c,10.622,,0,9.328,0.018,0
HAT-P-14 b,9.980,0.058,0,9.094,0.021,0
HAT-P-15 b,12.160,,0,10.194,0.022,0
HAT-P-16 b,10.812,,0,9.850,0.022,0
HAT-P-17 b,10.540,,0,9.017,0.022,0
HAT-P-17 c,10.540,,0,9.017,0.022,0
HAT-P-18 b,12.759,,0,10.822,0.020,0
HAT-P-19 b,12.901,,0,11.095,0.020,0
HAT-P-2 b,8.720,,0,7.796,0.027,0
HAT-P-20 b,11.339,,0,9.276,0.022,0
HAT-P-21 b,11.685,,0,10.503,0.022,0
HAT-P-22 b,9.732,,0,8.293,0.023,0
HAT-P-23 b,12.432,,0,11.103,0.022,0
HAT-P-24 b,11.818,,0,10.797,0.022,0
HAT-P-25 b,13.190,,0,11.319,0.018,0
HAT-P-26 b,11.744,,0,10.080,0.022,0
HAT-P-27 b,,,,10.626,0.026,0
HAT-P-28 b,13.030,,0,11.561,0.020,0
HAT-P-29 b,11.900,,0,10.648,0.023,0
HAT-P-3 b,11.577,0.034,0,9.936,0.022,0
HAT-P-30 b,10.419,,0,9.442,0.026,0
HAT-P-31 b,11.660,,0,10.423,0.022,0
HAT-P-32 b,11.289,,0,10.251,0.022,0
HAT-P-33 b,11.188,,0,10.263,0.021,0
HAT-P-34 b,10.162,0.073,0,9.460,0.022,0
HAT-P-35 b,12.460,0.110,0,11.358,0.024,0
HAT-P-36 b,12.262,0.068,0,11.046,0.027,0
HAT-P-37 b,13.230,0.320,0,12.092,0.027,0
HAT-P-38 b,12.557,0.094,0,10.989,0.018,0
HAT-P-39 b,12.422,,0,11.424,0.020,0
HAT-P-4 b,11.118,0.072,0,10.100,0.022,0
HAT-P-40 b,11.699,,0,10.367,0.023,0
HAT-P-41 b,11.087,,0,10.006,0.027,0
HAT-P-42 b,12.168,0.030,0,10.960,0.019,0
HAT-P-43 b,13.356,0.030,0,12.146,0.017,0
HAT-P-44 b,,,,11.729,0.018,0
HAT-P-44 c,,,,11.729,0.018,0
HAT-P-45 b,,,,10.730,0.025,0
HAT-P-46 b,,,,10.330,0.021,0
HAT-P-49 b,10.326,0.010,0,9.550,0.016,0
HAT-P-5 b,12.000,,0,10.844,0.021,0
HAT-P-50 b,11.762,0.030,0,10.816,0.018,0
HAT-P-51 b,13.440,0.040,0,12.039,0.019,0
HAT-P-52 b,14.068,0.020,0,12.195,0.018,0
HAT-P-53 b,13.730,0.180,0,12.468,0.019,0
HAT-P-54 b,,,,11.145,0.027,0
HAT-P-55 b,13.207,0.039,0,12.020,0.018,0
HAT-P-56 b,10.908,0.036,0,10.068,0.021,0
HAT-P-57 b,10.465,0.029,0,9.670,0.025,0
HAT-P-6 b,10.440,0.036,0,9.558,0.023,0
HAT-P-65 b,13.145,0.029,0,11.892,0.023,0
HAT-P-66 b,12.993,0.052,0,12.001,0.018,0
HAT-P-67 b,10.069,0.016,0,9.145,0.017,0
HAT-P-69 b,,,,9.373,0.021,0
HAT-P-7 b,,,,9.555,0.030,0
HAT-P-70 b,,,,9.068,0.018,0
HAT-P-8 b,10.300,0.070,0,9.214,0.022,0
HAT-P-9 b,12.297,0.063,0,11.274,0.022,0
HATS-1 b,12.053,0.017,0,10.924,0.024,0
HATS-10 b,13.113,0.010,0,11.866,0.021,0
HATS-11 b,14.018,0.081,0,12.647,0.023,0
HATS-12 b,12.756,0.021,0,11.725,0.023,0
HATS-13 b,13.887,0.010,0,12.439,0.017,0
HATS-14 b,13.790,0.100,0,12.518,0.023,0
HATS-15 b,14.774,0.010,0,13.261,0.025,0
HATS-16 b,13.834,0.020,0,12.652,0.021,0
HATS-17 b,12.390,0.100,0,11.082,0.019,0
HATS-18 b,14.067,0.040,0,12.736,0.023,0
HATS-2 b,13.562,0.016,0,11.906,0.021,0
HATS-22 b,13.455,0.040,0,11.556,0.019,0
HATS-23 b,13.901,0.010,0,12.636,0.022,0
HATS-24 b,12.830,0.010,0,11.678,0.019,0
HATS-25 b,13.097,0.030,0,11.788,0.018,0
HATS-26 b,12.955,0.030,0,11.839,0.021,0
HATS-27 b,12.766,0.040,0,11.831,0.019,0
HATS-28 b,13.934,0.080,0,12.522,0.023,0
HATS-29 b,12.612,0.010,0,11.286,0.023,0
HATS-3 b,12.440,0.200,0,10.980,0.017,0
HATS-30 b,12.192,0.010,0,11.129,0.021,0
HATS-31 b,13.105,0.030,0,11.912,0.017,0
HATS-32 b,14.384,0.010,0,13.090,0.018,0
HATS-33 b,11.911,0.070,0,10.659,0.021,0
