# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 23 17:54:33 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN st_j:           J-band (2MASS) [mag]
# COLUMN st_jerr:        J-band (2MASS) Unc. [mag]
# COLUMN st_jlim:        J-band (2MASS) Limit Flag
#
pl_name,st_j,st_jerr,st_jlim
11 Com b,2.943,0.334,0
11 UMi b,2.876,0.230,0
14 And b,3.019,0.180,0
14 Her b,5.158,0.029,0
16 Cyg B b,4.993,0.037,0
18 Del b,4.032,0.236,0
1RXS J160929.1-210524 b,9.820,0.027,0
24 Boo b,3.845,0.240,0
24 Sex b,5.292,0.338,0
24 Sex c,5.292,0.338,0
2MASS J01225093-2439505 b,10.084,0.026,0
2MASS J02192210-3925225 b,11.381,0.023,0
2MASS J04414489+2301513 b,14.419,0.025,0
2MASS J12073346-3932539 b,12.995,0.026,0
2MASS J19383260+4603591 b,12.757,0.022,0
2MASS J21402931+1625183 A b,12.940,0.033,0
2MASS J22362452+4751425 b,9.975,0.018,0
30 Ari B b,6.080,0.020,0
4 UMa b,2.619,0.290,0
42 Dra b,2.949,0.234,0
47 UMa b,3.960,0.296,0
47 UMa c,3.960,0.296,0
47 UMa d,3.960,0.296,0
51 Eri b,4.744,0.037,0
51 Peg b,4.655,0.296,0
55 Cnc b,4.768,0.244,0
55 Cnc c,4.768,0.244,0
55 Cnc d,4.768,0.244,0
55 Cnc e,4.768,0.244,0
55 Cnc f,4.768,0.244,0
6 Lyn b,4.272,0.254,0
61 Vir b,3.334,0.200,0
61 Vir c,3.334,0.200,0
61 Vir d,3.334,0.200,0
7 CMa b,2.173,0.244,0
7 CMa c,2.173,0.244,0
70 Vir b,3.798,0.286,0
75 Cet b,3.931,0.262,0
8 UMi b,5.069,0.027,0
81 Cet b,3.940,0.266,0
91 Aqr b,2.263,0.246,0
AB Pic b,7.576,0.024,0
BD+03 2562 b,6.960,0.013,0
BD+14 4559 b,7.882,0.029,0
BD+15 2375 b,8.372,0.013,0
BD+15 2940 b,7.154,0.020,0
BD+20 2457 b,7.299,0.023,0
BD+20 2457 c,7.299,0.023,0
BD+20 274 b,7.003,0.019,0
BD+20 594 b,9.770,0.022,0
BD+48 738 b,6.704,0.021,0
