Planet Radius Value,Stellar Mass,Orbital Period Value,Star Radius Value,Effective Temperature Value,J mag,TIC Declination,Effective Stellar Flux Value,pl_masses,mass_flag,Ars,K_amp,TSM,Full TOI ID
1.91,0.91,0.736539,0.94,5196.0,4.768,28.330818,2415.735460167629,8.08,1.0,3.5392583982285166,6.103360655604157,267.24007675925776,55 Cnc e
2.5780000000000003,1.67,41.6855,1.08,5766.0,9.77,20.599232,14.8466140386626,22.2481,1.0,55.59480873623347,2.92014304351358,5.057330840887482,BD+20 594 b
16.7,0.95,1.5089557,1.11,5950.0,12.462,-3.102147,2163.059436847295,327.35,1.0,4.904541102151925,189.1856953445319,81.1879787978506,CoRoT-1 b
10.87,0.89,13.2406,0.79,5075.0,12.527000000000001,0.746143,33.46574517017997,874.0,1.0,28.686034533973178,255.77969005986512,5.666392418249323,CoRoT-10 b
16.03,1.27,2.99433,1.37,6440.0,11.589,5.937688,1494.3589555067413,740.51,1.0,6.912624130305968,280.6375263715756,28.397214597462938,CoRoT-11 b
16.14,1.08,2.828042,1.12,5675.0,14.024000000000001,-1.296439,724.060553509696,291.438,1.0,7.711572773704735,125.41579622527868,29.957501907231418,CoRoT-12 b
9.92,1.09,4.03519,1.01,5945.0,13.71,-5.086444999999999,438.75245149190744,415.704,1.0,10.87157868485231,157.92918434046814,6.113592115144614,CoRoT-13 b
12.22,1.13,1.51214,1.21,6035.0,14.321,-5.536037,2416.4467532856015,2415.4,1.0,4.773804258494148,1242.5769206281075,1.5844612714022563,CoRoT-14 b
13.11,1.1,5.35227,1.19,5650.0,13.495999999999999,-6.0025949999999995,338.88129277460826,170.032,1.0,11.173050756046617,58.43504538736843,25.711587596521408,CoRoT-16 b
11.43,1.04,3.7681,1.59,5740.0,13.174000000000001,-6.612234,1068.2233209982571,772.29,1.0,6.495183585621664,309.7190337748333,3.2476038726961285,CoRoT-17 b
14.68,0.95,1.9000693,1.0,5440.0,13.440999999999999,-0.031586,902.1795185349729,1102.82,1.0,6.348191091406867,590.2231870485746,10.325956228248572,CoRoT-18 b
14.46,1.21,3.89713,1.65,6090.0,12.324000000000002,-0.170681,1259.870703989967,352.78,1.0,6.732405563514573,126.4685662542111,20.60383363868661,CoRoT-19 b
16.432000000000002,0.96,1.7429935,0.91,5625.0,10.783,1.3837139999999999,951.4881908266129,1102.82,1.0,6.609095477765609,603.2200099945397,60.272362779603455,CoRoT-2 b
9.416,1.14,9.24285,1.37,4947.5,12.991,0.226919,124.46452738867357,1366.669,1.0,14.13668178454249,382.27449627312177,0.8783948402252949,CoRoT-20 b
14.572000000000001,1.29,2.72474,1.95,6200.0,14.34,-0.29913,2918.872378793446,718.2958,1.0,4.584315503638833,278.0048343914257,3.6151158592758152,CoRoT-21 b
4.88,1.1,9.75598,1.14,5939.0,12.414000000000001,6.219136,170.52145697880766,12.2,1.0,17.403468311037486,3.432350187573914,27.916964677071885,CoRoT-22 b
11.77,1.14,3.6313,1.61,5900.0,12.944,4.357806,1208.1274377277712,889.9,1.0,6.452772042800031,339.8608295509834,3.4411065663654625,CoRoT-23 b
5.0,0.91,11.759,0.86,4950.0,13.595,-3.719301,41.428760412566994,28.0,1.0,24.527772082899816,8.399578440006552,9.369449389716737,CoRoT-24 c
12.11,1.09,4.86069,1.19,6040.0,13.3,6.513829,506.3286119518677,85.81,1.0,10.446151404033854,30.638778419979126,48.58947736539486,CoRoT-25 b
14.12,1.09,4.20474,1.79,5590.0,13.812999999999999,6.969786999999999,1019.7392190086836,165.26,1.0,6.304893109379343,61.92807087193645,16.625934534680407,CoRoT-26 b
11.287,1.05,3.57532,1.08,5900.0,13.571,5.538462,586.2936042140761,3302.11,1.0,9.26286039433674,1339.0934365226037,1.1364722156829254,CoRoT-27 b
10.705,1.01,5.20851,1.78,5150.0,11.600999999999999,5.57373,574.5251233381634,153.82972,1.0,7.129492547217631,56.472717062707204,18.886023363730025,CoRoT-28 b
10.088,0.97,2.85057,0.9,5260.0,13.565,6.4796510000000005,366.7838868780209,270.1555,1.0,9.308185672316881,124.55828056649693,12.736569097559958,CoRoT-29 b
11.32,1.37,4.2568,1.56,6740.0,11.936,0.12182,1382.620843267312,6883.91,1.0,7.87167068410913,2205.8581138614636,0.6935282891772974,CoRoT-3 b
11.31,0.98,9.06005,0.91,5650.0,14.019,6.835951,106.09398339130198,921.707,1.0,19.96871834593421,287.06648239539567,3.06174021795478,CoRoT-30 b
16.365,1.25,4.62941,2.15,5700.0,13.908,-4.422276,1276.8537689562058,266.9772,1.0,5.858383575867362,88.43200408011897,11.245162393566684,CoRoT-31 b
13.34,1.16,9.20205,1.17,6190.0,12.619000000000002,-0.672774,221.16780000444246,228.83,1.0,16.60041795855511,63.36215730325886,28.0283017786232,CoRoT-4 b
15.558,1.0,4.0378962,1.19,6100.0,12.870999999999999,0.815239,714.4065343607,148.42,1.0,8.969859376720864,59.706905195195475,79.10333826616301,CoRoT-5 b
13.068,1.05,8.886593,1.02,6090.0,12.517999999999999,6.663194,176.32015157406673,940.74,1.0,17.996261020565836,281.632107340763,8.347691999278485,CoRoT-6 b
1.681,0.82,0.85359163,0.83,5275.0,10.300999999999998,-1.063033,1761.606745580432,3.1783,1.0,4.271585653494741,2.4499249889342396,42.94726572493022,CoRoT-7 b
6.39,0.88,6.21229,0.77,5080.0,12.154000000000002,1.426452,88.21001840658332,69.92,1.0,17.70382637891698,26.53258606332688,22.915676800818293,CoRoT-8 b
11.949000000000002,0.96,95.272656,0.96,5625.0,12.175,6.204172,5.104655177144684,266.9772,1.0,90.23198717187593,38.47876383890891,12.263181377371362,CoRoT-9 b
