fpl_name,rp,teff,sinc,mp,period,TSM
55 Cnc e,1.91,5196.0,2415.735460167629,8.08,0.736539,267.24007675925776
BD+20 594 b,2.5780000000000003,5766.0,14.8466140386626,22.2481,41.6855,5.057330840887482
CoRoT-1 b,16.7,5950.0,2163.059436847295,327.35,1.5089557,81.1879787978506
CoRoT-10 b,10.87,5075.0,33.46574517017997,874.0,13.2406,5.666392418249323
CoRoT-11 b,16.03,6440.0,1494.3589555067413,740.51,2.99433,28.397214597462938
CoRoT-12 b,16.14,5675.0,724.060553509696,291.438,2.828042,29.957501907231418
CoRoT-13 b,9.92,5945.0,438.75245149190744,415.704,4.03519,6.113592115144614
CoRoT-14 b,12.22,6035.0,2416.4467532856015,2415.4,1.51214,1.5844612714022563
CoRoT-16 b,13.11,5650.0,338.88129277460826,170.032,5.35227,25.711587596521408
CoRoT-17 b,11.43,5740.0,1068.2233209982571,772.29,3.7681,3.2476038726961285
CoRoT-18 b,14.68,5440.0,902.1795185349729,1102.82,1.9000693,10.325956228248572
CoRoT-19 b,14.46,6090.0,1259.870703989967,352.78,3.89713,20.60383363868661
CoRoT-2 b,16.432000000000002,5625.0,951.4881908266129,1102.82,1.7429935,60.272362779603455
CoRoT-20 b,9.416,4947.5,124.46452738867357,1366.669,9.24285,0.8783948402252949
CoRoT-21 b,14.572000000000001,6200.0,2918.872378793446,718.2958,2.72474,3.6151158592758152
CoRoT-22 b,4.88,5939.0,170.52145697880766,12.2,9.75598,27.916964677071885
CoRoT-23 b,11.77,5900.0,1208.1274377277712,889.9,3.6313,3.4411065663654625
CoRoT-24 c,5.0,4950.0,41.428760412566994,28.0,11.759,9.369449389716737
CoRoT-25 b,12.11,6040.0,506.3286119518677,85.81,4.86069,48.58947736539486
CoRoT-26 b,14.12,5590.0,1019.7392190086836,165.26,4.20474,16.625934534680407
CoRoT-27 b,11.287,5900.0,586.2936042140761,3302.11,3.57532,1.1364722156829254
CoRoT-28 b,10.705,5150.0,574.5251233381634,153.82972,5.20851,18.886023363730025
CoRoT-29 b,10.088,5260.0,366.7838868780209,270.1555,2.85057,12.736569097559958
CoRoT-3 b,11.32,6740.0,1382.620843267312,6883.91,4.2568,0.6935282891772974
CoRoT-30 b,11.31,5650.0,106.09398339130198,921.707,9.06005,3.06174021795478
CoRoT-31 b,16.365,5700.0,1276.8537689562058,266.9772,4.62941,11.245162393566684
CoRoT-4 b,13.34,6190.0,221.16780000444246,228.83,9.20205,28.0283017786232
CoRoT-5 b,15.558,6100.0,714.4065343607,148.42,4.0378962,79.10333826616301
CoRoT-6 b,13.068,6090.0,176.32015157406673,940.74,8.886593,8.347691999278485
CoRoT-7 b,1.681,5275.0,1761.606745580432,3.1783,0.85359163,42.94726572493022
CoRoT-8 b,6.39,5080.0,88.21001840658332,69.92,6.21229,22.915676800818293
CoRoT-9 b,11.949000000000002,5625.0,5.104655177144684,266.9772,95.272656,12.263181377371362
CoRoTID 223977153 b,6.388999999999999,5970.0,132.26,47.6745,6.71837,30.233554393564727
EPIC 211945201 b,5.76,6069.0,105.43023064854296,27.0,19.49221,55.77619457624317
EPIC 220674823 b,1.82,5617.0,4293.0,7.72,0.571331,16.681890059826763
EPIC 220674823 c,2.73,5617.0,64.0,5.8,13.339079,26.21977658585429
EPIC 246851721 b,11.780999999999999,6202.0,642.0,953.49,6.180235,9.980922359142783
EPIC 249893012 b,1.95,5430.0,1037.0,8.75,3.5951,5.238101018933781
EPIC 249893012 c,3.67,5430.0,160.0,14.67,15.624,12.965576750767736
EPIC 249893012 d,3.94,5430.0,53.0,10.18,35.747,17.54481765494335
GJ 1132 b,1.13,3270.0,19.33377684980784,1.66,1.628931,30.971133104985086
GJ 1214 b,2.847,3026.0,18.293980326363666,6.26125,1.58040456,630.0553186459699
GJ 1252 b,1.193,3458.0,233.31549696250207,2.09,0.5182349,20.133579487090888
GJ 143 b,2.61,4640.0,5.442813445448768,22.7,35.61253,53.61169720608127
GJ 3470 b,4.57,3600.0,36.00237046326799,13.9,3.3366496,310.40213575289005
GJ 357 b,1.217,3505.0,12.6,1.84,3.93072,29.320883886830114
GJ 436 b,4.17,3479.0,32.86125607969404,22.1,2.64388312,495.798003425021
GJ 9827 b,1.577,4340.0,315.0,4.91,1.2089819,83.54539226882837
GJ 9827 d,2.022,4340.0,35.6,4.04,6.2014698,124.10217469897373
HAT-P-1 b,14.785,5980.0,508.1392749754556,166.86075,4.46529976,317.4441063564233
HAT-P-11 b,4.36,4780.0,100.77,26.69772,4.88780244,192.60432348577746
HAT-P-12 b,10.749,4650.0,139.62823972511472,67.059,3.2130598,288.75389906583246
HAT-P-13 b,14.258,5653.0,1223.9526167848019,270.462,2.91625,113.70905132391322
HAT-P-14 b,15.917,6600.0,997.1116320093636,1093.3352,4.62767,30.423347200857005
HAT-P-15 b,11.882,5568.0,107.15451122969354,616.5902,10.8635,22.399616945678137
HAT-P-16 b,14.448,6158.0,1162.92124820752,1332.605,2.77596,29.505261788429255
HAT-P-17 b,11.769,5246.0,60.03290789186147,184.3414,10.33852,163.82800875280236
HAT-P-18 b,11.152999999999999,4803.0,85.82037724573335,62.61,5.508023,263.05101783147666
HAT-P-19 b,12.689,4990.0,172.27941070682766,92.802,4.008778,229.50333540165016
HAT-P-2 b,10.66,6380.0,618.6488671020212,2765.121,5.6335158,9.99591223337617
HAT-P-20 b,9.718,4595.0,146.03464397806306,2302.899,2.875317,13.01083266290242
HAT-P-21 b,12.442,5588.0,438.08860844018403,1547.8321,4.12448,9.880979473409152
HAT-P-22 b,12.89,5302.0,443.6268968108295,785.0401,3.21222,71.45110117802714
HAT-P-23 b,12.218,5905.0,2918.224200299596,425.8922,1.21288,65.83720409423992
HAT-P-24 b,14.572000000000001,6373.0,1187.8484551831702,238.3725,3.35524,88.81103444781218
HAT-P-25 b,12.722000000000001,5519.0,325.0,180.84527,3.65281514,99.66510765425409
HAT-P-26 b,7.062,5079.0,159.71269805493864,22.2481,4.23452,229.57261111799855
HAT-P-27 b,11.43,5300.0,354.398127195823,197.05,3.039577,97.47283402628213
HAT-P-28 b,13.585,5680.0,603.0996178728232,198.953,3.257215,80.57008740072675
HAT-P-29 b,13.115,6087.0,433.0,279.6904,5.72319,51.18505069364799
HAT-P-3 b,10.536,5185.0,298.1475438916759,206.5895,2.8997,102.54673817508791
HAT-P-30 b,16.141,6304.0,1195.253187927889,263.7989,2.8106,226.242517300957
HAT-P-31 b,12.218,6065.0,597.4803328341545,721.4741,5.00542,17.055498835160954
HAT-P-32 b,22.194000000000003,6001.0,1841.0,216.1244,2.1500082,507.40436924670354
HAT-P-33 b,20.737,6446.0,1652.1162743152438,292.4036,3.47447,172.22360030722226
HAT-P-34 b,13.417,6442.0,790.1647397695485,1058.3739,5.452654,21.23279630820109
HAT-P-35 b,14.93,6096.0,1035.5276860364838,335.62847999999997,3.646706,46.496425534910216
HAT-P-36 b,14.314,5620.0,1821.0,587.41341,1.32734683,58.64883730797324
HAT-P-37 b,13.204,5500.0,442.0651512403937,371.528,2.797436,44.85023559677943
