radius_bin,insol_bin,st_Teff_bin,Effective Stellar Flux Value,Effective Temperature Value,Full TOI ID,K_amp,Orbital Period Value,Planet Equilibrium Temperature (K) Value,Planet Radius Value,Source Pipeline,TSM,TSM_Vmag_priority,V mag,X,X_priority,mass_flag,t_HIRES
1.0,1.0,1.0,0.258,2559.0,TRAPPIST-1 g,2.000039379990636,12.35294,,1.127,,15.211928663404152,1.0,,,1.0,1.0,
1.0,2.0,1.0,4.85,3412.0,L 98-59 d,1.6540398208375175,7.4512,,1.57,,231.8597710918184,3.0,,,,1.0,
1.0,2.0,1.0,5.9621850887989885,3337.0,LTT 1445 A b,1.976975297453957,5.35882,,1.38,,43.816647477623704,,,,,1.0,
1.0,2.0,1.0,4.25,2559.0,TRAPPIST-1 b,2.555840069790413,1.51087081,,1.086,,43.22837206908054,,,,,1.0,
1.0,2.0,1.0,6.16,3216.0,LHS 1140 c,2.3352286741476003,3.7779309999999997,,1.2819999999999998,,26.025546783527805,,,,,1.0,
1.0,3.0,1.0,19.33377684980784,3270.0,GJ 1132 b,2.834932388233609,1.628931,,1.16,,33.503928401707675,3.0,,,,1.0,
1.0,3.0,1.0,12.6,3505.0,GJ 357 b,1.533174871481262,3.9307199999999995,,1.217,,29.320883886830114,,,,,1.0,
1.0,3.0,1.0,12.4,3412.0,L 98-59 c,2.190115102684904,3.6904,,1.35,,26.817915236319283,,,,,1.0,
1.0,3.0,2.0,62.1,4699.0,HD 219134 c,1.6995477910743408,6.7645800000000005,,1.511,,205.21871411488715,3.0,,,3.0,1.0,
1.0,4.0,1.0,233.3154969625021,3458.0,GJ 1252 b,3.1771095249404753,0.5182349,,1.193,,20.133579487090884,3.0,,,4.0,1.0,
1.0,4.0,2.0,315.0,4340.0,GJ 9827 b,4.10492776887484,1.2089819,,1.577,,83.54539226882838,3.0,,,,1.0,
1.0,5.0,2.0,3319.125844761676,4599.0,K2-141 b,6.247721995313027,0.28032440000000003,,1.51,,59.485544934330655,3.0,,,,1.0,
2.0,1.0,1.0,0.503,3216.0,LHS 1140 b,4.813660976950953,24.736959,,1.727,,58.48198884895911,1.0,,,1.0,1.0,
2.0,3.0,2.0,49.48884798862418,5175.0,HD 97658 b,3.11796227427149,9.4909,,2.354,,133.65119308950756,2.0,,,,1.0,
2.0,3.0,2.0,35.6,4340.0,GJ 9827 d,1.958455830257024,6.2014698,,2.022,,124.10217469897371,3.0,,,,1.0,
2.0,3.0,2.0,28.931622056161576,5125.0,HD 15337 c,2.1599753487382225,17.1784,,2.39,,57.17752499413977,,,,,1.0,
2.0,4.0,2.0,176.2,4699.0,HD 219134 b,2.398367164714751,3.092926,,1.602,,292.01804410921267,3.0,,,,1.0,
2.0,4.0,3.0,309.0,6037.0,pi Men c,1.5811480510926652,6.2679,,2.042,,227.9545087805416,3.0,,,,1.0,
2.0,5.0,2.0,2415.7354601676293,5196.0,55 Cnc e,6.103360655604157,0.736539,,1.91,,267.24007675925776,3.0,,,5.0,1.0,
2.0,5.0,3.0,1625.0,5528.0,HD 3167 b,3.3975717076311143,0.959624,,1.7,,91.73142906211069,,,,,1.0,
2.0,5.0,3.0,3423.928619492173,5978.0,HD 213885 b,5.392582918935554,1.008035,,1.745,,58.12695943225385,,,,,1.0,
2.0,5.0,3.0,1761.606745580432,5275.0,CoRoT-7 b,2.44992498893424,0.85359163,,1.681,,42.94726572493022,,,,,1.0,
2.0,5.0,3.0,5625.492666489043,5838.0,HD 80653 b,3.585025530752592,0.7195729999999999,,1.6130000000000002,,33.253837102070854,,,,,1.0,
2.0,5.0,3.0,4228.009025914707,5245.0,K2-131 b,6.318410722476647,0.36930999999999997,,1.7,,30.18032240176074,,,,,1.0,
3.0,2.0,2.0,5.442813445448768,4640.0,GJ 143 b,5.4516360937197375,35.61253,,2.61,,53.611697206081274,3.0,,,,1.0,
3.0,3.0,1.0,18.293980326363663,3026.0,GJ 1214 b,12.197232372804232,1.58040456,,2.847,,630.0553186459698,3.0,,,,1.0,
3.0,3.0,2.0,90.0,4916.0,K2-36 c,3.344946957761764,5.340888,,3.2,,87.35206585731756,,,,,1.0,
3.0,4.0,2.0,879.5,4285.0,K2-266 b,10.625119456424818,0.658524,,3.3,,150.56384316155246,3.0,,,,1.0,
4.0,2.0,2.0,8.952290005861336,4826.33,HD 23472 c,4.308704543749124,29.625,,4.31,,129.53286522975594,2.0,,,2.0,1.0,
4.0,2.0,3.0,5.244,5384.0,Kepler-396 c,2.625829096970698,88.505,,5.3,,23.210502344773275,1.0,,,1.0,1.0,
4.0,2.0,3.0,8.035,5529.0,Kepler-82 c,2.547942274016,51.54,,5.34,,12.860909669439375,2.0,,,2.0,1.0,
