,Planet Radius Value,Stellar Mass,Orbital Period Value,Star Radius Value,Effective Temperature Value,J mag,V mag,TIC Declination,Effective Stellar Flux Value,mass_flag,pl_masses,Ars,K_amp,TSM,Full TOI ID
0,1.602,0.81,3.092926,0.78,4699,3.981,5.57,57.168354,177.1860738,1,4.74,10.67929505,2.398367165,292.0180441,HD 219134 b
1,1.511,0.81,6.76458,0.78,4699,3.981,5.57,57.168354,62.41196282,1,4.36,17.99382355,1.699547791,205.2187141,HD 219134 c
2,1.91,0.91,0.736539,0.94,5196,4.768,5.96,28.330818,2411.820614,1,8.08,3.539258398,6.103360656,267.2400768,55 Cnc e
3,2.042,1.09,6.2679,1.1,6037,4.869,5.67,-80.469124,307.1314671,1,4.82,13.38833844,1.581148051,227.9545088,pi Men c
4,2.085,1.15,3.58599,1.31,6201,5.473,6.4,-30.81452,985.0996744,0,5.0077,7.887327294,1.90935743,166.8743667,HR 858 b
5,1.939,1.15,5.97293,1.31,6201,5.473,6.4,-30.81452,498.9331662,0,4.4263,11.0827813,1.423738822,128.0981587,HR 858 c
6,2.164,1.15,11.23,1.31,6201,5.473,6.4,-30.81452,215.0069999,0,5.3345,16.88276793,1.390227124,119.7101326,HR 858 d
7,2.61,0.73,35.61253,0.69,4640,6.081,7.87,-63.4991,5.433993034,1,22.7,59.45972691,5.451636094,53.61169721,GJ 143 b
8,0.892,0.73,7.78993,0.69,4640,6.081,7.87,-63.4991,41.22982024,1,3.7,21.58622643,1.474775167,3.285964575,HD 21749 c
9,12.666,0.79,2.21857567,0.75,5052,6.073,7.67,22.710854,346.5986153,1,359.1479,8.825915393,206.4180665,848.5723907,HD 189733 b
10,2.354,0.89,9.4909,0.74,5175,6.203,7.71,25.710384,49.40864829,1,9.5349,24.52820175,3.117962274,133.6511931,HD 97658 b
11,11.5,1.32,11.53533,2.34,5521,6.442,7.781,-66.35891,379.4151802,1,131.8994,10.0745262,31.07663893,153.3229832,HD 1397 b
12,9.17,1.21,14.2767,2.94,5080,6.568,8.146,-21.801424,342.3656116,1,60.5,8.979018045,14.06931761,98.73931368,HD 221416 b
13,4.17,0.47,2.64388312,0.46,3479,6.9,10.67,26.70657,32.8080038,1,22.1,13.60396329,16.93675225,495.798009,GJ 436 b
14,15.132,1.44,4.7361,2.69,5375,6.616,8.04,-9.399025,1392.890381,1,54.3489,4.983620405,16.25770828,819.5633193,KELT-11 b
