radius_bin,insol_bin,st_Teff_bin,Effective Stellar Flux Value,Effective Temperature Value,Full TOI ID,K_amp,Orbital Period Value,Planet Equilibrium Temperature (K) Value,Planet Radius Value,Source Pipeline,TSM,TSM_Vmag_priority,V mag,X,X_priority,mass_flag,t_HIRES
1.0,1.0,1.0,0.272431833,2559.0,TRAPPIST-1 g,2.00003938,12.35294,,1.127,,15.21192866,1.0,18.8,1.512971125836236e-06,1.0,1.0,10054341.685861452
1.0,2.0,1.0,5.952523004,3337.0,LTT 1445 A b,1.9769752969999999,5.35882,,1.38,,43.81664748,1.0,11.22,0.004583644183218608,2.0,1.0,9559.347481730618
1.0,2.0,1.0,4.487266411,2559.0,TRAPPIST-1 b,2.55584007,1.51087081,,1.0859999999999999,,43.22837207,,18.8,7.021105458317844e-06,,1.0,6156918.212756328
1.0,2.0,1.0,5.882343325,3216.0,LHS 1140 c,2.335228674,3.7779309999999997,,1.2819999999999998,,26.02554678,,14.18,0.00024867261308801213,4.0,1.0,104657.87308387207
1.0,3.0,1.0,13.50400174,3505.0,GJ 357 b,1.533174871,3.9307199999999995,,1.217,,29.32088389,1.0,10.92,0.002431810387739307,1.0,1.0,12057.224542600003
1.0,3.0,2.0,62.41196282,4699.0,HD 219134 c,1.6995477909999999,6.7645800000000005,,1.511,,205.21871409999997,1.0,5.57,2.8870412618999817,1.0,1.0,71.08270907252088
1.0,4.0,2.0,322.4901454,4340.0,GJ 9827 b,4.104927769,1.2089819,,1.577,,83.54539227,1.0,10.25,0.09206674899172827,1.0,1.0,907.443709970753
1.0,5.0,2.0,3313.746999,4599.0,K2-141 b,6.247721995,0.28032440000000003,,1.51,,59.48554493,1.0,11.389000000000001,0.05318927902213529,1.0,1.0,1118.3747180563296
2.0,1.0,1.0,0.480205709,3216.0,LHS 1140 b,4.813660977,24.736959,,1.7269999999999999,,58.48198885,2.0,14.18,0.0023743372152873247,1.0,1.0,24630.86897406986
2.0,3.0,2.0,49.40864829,5175.0,HD 97658 b,3.117962274,9.4909,,2.354,,133.6511931,1.0,7.71,0.8816248407714156,1.0,1.0,151.59644660540206
2.0,3.0,2.0,36.45440402,4340.0,GJ 9827 d,1.95845583,6.2014698,,2.022,,124.10217469999999,3.0,10.25,0.031129792106170638,5.0,1.0,3986.604673643166
2.0,3.0,2.0,28.884736600000004,5125.0,HD 15337 c,2.159975349,17.1784,,2.39,,57.17752499,,9.088,0.050873569196647796,4.0,1.0,1123.914163934218
2.0,4.0,2.0,177.1860738,4699.0,HD 219134 b,2.398367165,3.092926,,1.6019999999999999,,292.0180441,1.0,5.57,8.181073483298896,1.0,1.0,35.69434313188055
2.0,4.0,3.0,307.1314671,6037.0,pi Men c,1.581148051,6.2679,,2.042,,227.95450879999999,1.0,5.67,2.5314102073620917,1.0,1.0,90.05040279012887
2.0,5.0,2.0,2411.820614,5196.0,55 Cnc e,6.103360656,0.736539,,1.91,,267.2400768,1.0,5.96,33.853916726341765,1.0,1.0,7.893919009733376
3.0,2.0,2.0,5.433993033999999,4640.0,GJ 143 b,5.4516360939999995,35.61253,,2.61,,53.61169721,1.0,7.87,0.9330019226928488,1.0,1.0,57.46150774830651
3.0,3.0,1.0,18.26433382,3026.0,GJ 1214 b,12.19732978,1.58040456,,2.847,,630.0502872999999,1.0,15.1,0.07038401094087587,2.0,1.0,8951.611010478731
3.0,3.0,2.0,88.76555082,4916.0,K2-36 c,3.344946958,5.340888,,3.2,,87.35206586,2.0,11.8,0.015332780461165395,,1.0,5697.079279341658
3.0,3.0,2.0,13.74557938,4285.0,K2-266 d,2.980791267,14.697000000000001,,2.93,,47.38918774,,11.808,0.006557097801537628,,1.0,7227.158900830686
3.0,3.0,2.0,73.67211883,4975.0,K2-285 c,5.906787663999999,7.1380479999999995,,3.53,,37.711290399999996,,12.03,0.016701034680646855,,1.0,2258.021201746249
4.0,2.0,3.0,1.047698031,5527.0,Kepler-453 b,1.717559396,240.503,,6.204,,23.81265559,1.0,,,4.0,1.0,
4.0,3.0,1.0,35.94402643,3600.0,GJ 3470 b,8.985990264,3.3366496,,4.57,,310.4021358,1.0,12.33,0.24133808063107162,1.0,1.0,1286.1713948678705
4.0,3.0,2.0,78.33500197,4780.0,HAT-P-11 b,7.623797635,4.88780244,,4.36,,292.9936012,3.0,,,5.0,1.0,
4.0,3.0,3.0,52.35281122,5625.0,K2-24 b,4.224452003,20.889770000000002,,5.4,,62.81397835,,11.07,0.034448183583124195,,1.0,1823.4336855070612
4.0,4.0,2.0,146.87164919999998,4910.0,WASP-156 b,18.69976633,3.8361690000000004,,5.7170000000000005,,92.64394777,,11.6,0.6110245763272726,2.0,1.0,151.62065710492587
5.0,1.0,2.0,0.354694726,4450.0,Kepler-16 b,14.19608996,228.77599999999998,,8.449,,36.32799185,1.0,,,1.0,1.0,
5.0,3.0,1.0,42.83546579,3724.0,HATS-6 b,63.29614093,3.3252725,,11.187000000000001,,135.82070349999998,,15.16,0.3866247986779895,4.0,1.0,351.2984784328896
5.0,3.0,2.0,39.65004635,4599.0,K2-141 c,3.0100297769999997,7.7485,,7.0,,1228.047311,1.0,11.389000000000001,0.25487424275388404,,1.0,4818.2480023524695
5.0,3.0,2.0,49.10878346,4430.0,WASP-107 b,17.49407065,5.72149,,10.536,,795.3580360000001,2.0,11.470999999999998,5.170275577133813,3.0,1.0,153.8328129969648
5.0,3.0,3.0,20.41092667,5625.0,K2-24 c,2.7056285860000004,42.3391,,7.5,,164.0674281,2.0,11.07,0.036908635850050914,,1.0,4445.2314294832895
5.0,3.0,3.0,67.68630669,5314.0,WASP-84 b,77.6953747,8.5234865,,10.559000000000001,,117.88106409999999,,10.83,27.277442229849704,1.0,1.0,4.321558565011009
5.0,4.0,2.0,139.4019636,4650.0,HAT-P-12 b,35.90757534,3.2130598,,10.749,,288.7538991,2.0,12.84,2.241141533760627,,1.0,128.8423309060147
5.0,4.0,2.0,159.45387390000002,5079.0,HAT-P-26 b,8.168269041,4.23452,,7.062,,229.57261110000002,1.0,11.744000000000002,0.25301682845916024,,1.0,907.3412725077123
5.0,4.0,2.0,149.0992335,4800.0,WASP-29 b,35.34407488,3.9227300000000005,,8.631,,212.61059100000003,,,,,1.0,
