radius_bin,insol_bin,st_Teff_bin,Effective Stellar Flux Value,Effective Temperature Value,Full TOI ID,K_amp,Orbital Period Value,Planet Equilibrium Temperature (K) Value,Planet Radius Value,Source Pipeline,TSM,TSM_Vmag_priority,V mag,X,X_priority,mass_flag,t_HIRES
1.0,1.0,1.0,0.2724318332652806,2559.0,TRAPPIST-1 g,2.000039379990636,12.35294,,1.127,,24.761917944790948,1.0,18.8,2.4628084779911163e-06,1.0,1.0,10054341.6859556
1.0,2.0,1.0,4.333919473688327,3367.0,L 98-59 d,2.212580427360916,7.4508600000000005,,1.57,,250.91094316015548,1.0,10.598,0.05830247637352218,1.0,1.0,4303.606960923286
1.0,2.0,1.0,4.487266411365477,2559.0,TRAPPIST-1 b,2.555840069790413,1.51087081,,1.086,,70.36697487522437,3.0,18.8,1.1428927985090426e-05,,1.0,6156918.213766103
1.0,2.0,1.0,5.952523004359193,3337.0,LTT 1445 A b,1.976975297453957,5.35882,,1.38,,63.276018671095095,,11.22,0.006619282207397987,3.0,1.0,9559.347477340545
1.0,2.0,1.0,7.4810433547269115,3157.0,Kepler-445 b,4.354615787578439,2.9841509999999998,,1.58,,50.0438741956649,,16.715999999999998,0.0001608495592987031,,1.0,311122.23380563775
1.0,2.0,1.0,5.882343324791919,3216.0,LHS 1140 c,2.3352286741476003,3.7779309999999997,,1.2819999999999998,,37.46276798082395,,14.18,0.0003579546084940717,,1.0,104657.87307064212
1.0,2.0,1.0,2.392002842100972,2559.0,TRAPPIST-1 c,3.5455922912818885,2.4218233,,1.056,,34.049125181995976,,18.8,1.0642724333730285e-05,,1.0,3199286.584364788
1.0,3.0,1.0,70.9581149411182,3036.0,LHS 3844 b,6.5998494048817005,0.46292913,,1.3030000000000002,,62.052517215427024,3.0,15.26,0.0017514458787343918,4.0,1.0,35429.30898913454
1.0,3.0,1.0,19.30244528567811,3270.0,GJ 1132 b,2.834932388233609,1.628931,,1.16,,51.2502197515912,1.0,13.49,0.0013625436037371758,5.0,1.0,37613.63644511811
1.0,3.0,1.0,13.504001738062446,3505.0,GJ 357 b,1.533174871481262,3.9307199999999995,,1.217,,43.6090933989513,,10.92,0.0036168434345940463,2.0,1.0,12057.224535030497
1.0,3.0,1.0,25.892754937908414,3359.0,Kepler-446 b,4.329710121995327,1.565409,,1.5,,40.289272410013744,,16.31,0.0001860699892175426,,1.0,216527.51515404123
1.0,3.0,1.0,11.05834437451328,3367.0,L 98-59 c,2.1629217407231884,3.6906209999999997,,1.35,,39.30681943321286,,10.598,0.008728081277500145,1.0,1.0,4503.489161419786
1.0,3.0,1.0,20.666478340015352,2960.0,LP 791-18 b,3.5311362327857663,0.9480049999999999,,1.12,,27.943792516171456,,16.9,4.985211181659374e-05,,1.0,560533.776763096
1.0,3.0,1.0,24.703502434055476,3687.0,Kepler-974 b,1.898075521479736,4.19449651,,1.57,,24.114174835277247,,14.413,0.00012281987419318624,,1.0,196337.72623270645
1.0,3.0,1.0,16.249631192469227,3386.0,TOI-270 b,1.6465449950485898,3.3600800000000004,,1.247,,15.284882954932918,,12.62,0.000305477051362795,,1.0,50036.10872484188
1.0,3.0,1.0,11.759322208280757,3568.0,Kepler-249 c,1.7731404729262892,7.113702,,1.51,,13.596539863443065,,15.23,2.8476325751144073e-05,,1.0,477468.1952392263
1.0,3.0,1.0,45.15217220530415,3622.0,K2-91 b,1.7823334438964058,1.419549,,1.1,,13.076046218153095,,15.572,2.0194059231047096e-05,,1.0,647519.4545358913
1.0,3.0,1.0,52.945381193310595,3900.0,Kepler-32 e,1.84812653270231,2.8960000000000004,,1.5,,10.20287634773068,,16.452,7.532780170096693e-06,,1.0,1354463.573520122
1.0,3.0,2.0,62.41196282246517,4699.0,HD 219134 c,1.6995477910743408,6.7645800000000005,,1.511,,285.90184766084235,2.0,5.57,4.022101175043394,1.0,1.0,71.08270906630233
1.0,4.0,1.0,232.93739497486,3458.0,GJ 1252 b,3.1771095249404753,0.5182349,,1.193,,28.861639224608652,1.0,12.193,0.0031823990266244087,2.0,1.0,9069.145315577343
1.0,4.0,2.0,322.49014540587,4340.0,GJ 9827 b,4.10492776887484,1.2089819,,1.577,,120.26036080882618,2.0,10.25,0.13252652421313132,2.0,1.0,907.4437100260889
1.0,4.0,3.0,485.2617631346092,5378.0,K2-138 b,1.5619466185788649,2.35322,,1.57,,24.250455288807512,2.0,12.21,0.0006362408319294634,2.0,1.0,38115.2137238121
1.0,5.0,2.0,3313.7469989692754,4599.0,K2-141 b,6.247721995313027,0.28032440000000003,,1.51,,81.54764890085401,2.0,11.389,0.0729162127795152,1.0,1.0,1118.3747179442607
2.0,1.0,1.0,0.4802057086372434,3216.0,LHS 1140 b,4.813660976950953,24.736959,,1.727,,84.18256098628291,2.0,14.18,0.0034177665868463914,1.0,1.0,24630.868974571793
2.0,1.0,1.0,0.6310235732930262,3341.0,K2-288 B b,1.8157498787850432,31.393463,,1.9,,55.74766357023837,1.0,13.868,0.00042924770742068774,2.0,1.0,129872.94423823776
2.0,2.0,1.0,2.257100414822788,2960.0,LP 791-18 c,8.272745879101803,4.9899629999999995,,2.31,,229.3459919021188,2.0,16.9,0.0022457416250301894,,1.0,102124.83455171995
2.0,2.0,1.0,8.107186439016969,3386.0,TOI-270 c,4.264026031888948,5.660172,,2.42,,202.06583081832818,1.0,12.62,0.027083316300189852,1.0,1.0,7460.8969071085185
2.0,2.0,1.0,6.263440698691231,3348.0,G 9-40 b,3.8857073396184285,5.746007,,2.025,,146.43007611580168,,13.823,0.005381950878843,4.0,1.0,27207.620324338764
2.0,2.0,1.0,3.194818511853844,3386.0,TOI-270 d,2.7174261335729137,11.380139999999999,,2.13,,135.71745552933882,,12.62,0.007387890847838679,2.0,1.0,18370.257266191587
2.0,2.0,1.0,3.8922898118154943,3157.0,Kepler-445 c,8.119823137052656,4.8712290000000005,,2.51,,77.61141459341269,,16.715999999999998,0.000867337262224947,,1.0,89482.39395863048
2.0,2.0,1.0,1.0509290166604577,3457.0,K2-18 b,3.522417495606457,32.939623,,2.37,,52.40685759158248,,13.496,0.002139139192169854,,1.0,24499.040447397507
2.0,2.0,2.0,3.035555707101389,4044.0,K2-152 b,1.5982179952811792,32.6479,,2.29,,24.4225504930984,2.0,13.728,0.00016574190071799063,2.0,1.0,147352.90465054638
2.0,2.0,2.0,9.474743004506113,4320.0,K2-17 b,1.7209576589819635,17.96753,,2.23,,24.303166047639646,1.0,13.519,0.0002318315245438964,1.0,1.0,104831.15312058406
2.0,3.0,1.0,17.368837437562114,3214.0,K2-28 b,7.177333926113505,2.260455,,2.32,,126.02773395145262,2.0,16.061,0.0020116929698383817,,1.0,62647.59873450153
2.0,3.0,1.0,19.148787147658183,3385.0,K2-146 b,5.5971082428054615,2.6446,,2.05,,53.5889825531508,,16.248,0.00043789722131708805,,1.0,122377.99178530571
2.0,3.0,1.0,18.81177042584057,3810.0,K2-240 b,2.3576681114486564,6.034,,2.0,,52.723747509285886,,13.392,0.0010610622818465053,,1.0,49689.58788878425
2.0,3.0,1.0,10.94726427675198,3896.0,K2-3 b,3.379465523633032,10.05449,,2.18,,50.53789071217289,,12.17,0.006439948859376055,3.0,1.0,7847.560875983313
2.0,3.0,1.0,11.0108486807309,3385.0,K2-146 c,6.326879907063631,4.004980000000001,,2.19,,43.82885740879799,,16.248,0.0004576237938426266,,1.0,95774.86572708761
2.0,3.0,2.0,36.45440402494437,4340.0,GJ 9827 d,1.958455830257024,6.2014698,,2.022,,178.64028046495957,3.0,10.25,0.04481013171255773,,1.0,3986.604672596775
2.0,3.0,2.0,49.408648293215066,5175.0,HD 97658 b,3.11796227427149,9.4909,,2.354,,165.8719078841584,1.0,7.71,1.094167519274383,1.0,1.0,151.59644657900222
2.0,3.0,2.0,64.68641563287385,4716.0,Wolf 503 b,2.1579107018136394,6.001180000000001,,2.03,,109.68509374464985,,10.26,0.03309663303017636,,1.0,3314.0861683616818
2.0,3.0,2.0,28.884736598712074,5125.0,HD 15337 c,2.1599753487382225,17.1784,,2.39,,72.2811997302005,,9.088,0.06431202847347589,5.0,1.0,1123.9141642066434
2.0,3.0,2.0,49.11504784265932,5089.0,HIP 116454 b,4.485826799648388,9.1205,,2.466,,52.425827106490786,,10.19,0.07291209204593851,3.0,1.0,719.0278818698511
2.0,3.0,3.0,79.5627307367551,5212.9,K2-198 d,2.481527086616063,7.450017699999999,,2.438,,57.581907435979296,3.0,10.970999999999998,0.011936949408612708,,1.0,4823.837771686708
2.0,3.0,3.0,97.79809917827758,6058.0,K2-222 b,1.622578894344186,15.387063000000001,,2.39,,48.20200066205585,,9.543,0.015916441439269305,5.0,1.0,3028.4408010405573
2.0,3.0,3.0,67.78072716032274,5358.0,K2-180 b,2.2923635991702502,8.867208999999999,,2.31,,29.47900633190381,,12.601,0.001162115018390186,,1.0,25366.68562526578
2.0,4.0,1.0,132.87897296810416,3778.0,K2-117 b,4.2400719713977315,1.2916,,2.03,,61.159824989903754,,14.655,0.0012438899443441443,5.0,1.0,49168.19632475684
2.0,4.0,2.0,177.18607382272282,4699.0,HD 219134 b,2.398367164714751,3.092926,,1.602,,406.8269247335313,1.0,5.57,11.397518176301737,1.0,1.0,35.69434314037114
2.0,4.0,2.0,160.40947885422375,4812.0,K2-275 b,2.850234207792941,3.280961,,2.24,,52.364829919357916,,12.063,0.005238055064405981,,1.0,9996.998747720558
2.0,4.0,2.0,130.65761798094078,4648.0,K2-199 b,2.2246935545662283,3.2253380000000003,,1.87,,47.965574554548596,,12.289,0.002373773680862279,,1.0,20206.464896487094
2.0,4.0,3.0,307.1314671477727,6037.0,pi Men c,1.5811480510926652,6.2679,,2.042,,304.40248021481017,1.0,5.67,3.380356676026528,1.0,1.0,90.05040277957382
2.0,4.0,3.0,985.0996743563536,6201.0,HR 858 b,1.906421540910605,3.5859900000000002,,2.085,,194.0251060729787,2.0,6.4,1.5990611379400732,2.0,1.0,121.33689042241612
2.0,5.0,2.0,2411.820613571505,5196.0,55 Cnc e,6.103360655604157,0.736539,,1.91,,378.0085193361033,1.0,5.96,47.886039725132434,1.0,1.0,7.893919010757323
2.0,5.0,3.0,1820.2257623139167,5528.0,HD 3167 b,3.3975717076311143,0.959624,,1.7,,114.52970954770912,3.0,8.94,0.2889513238387053,4.0,1.0,396.36333215638916
2.0,5.0,3.0,3418.3799344136896,5978.0,HD 213885 b,5.392582918935554,1.008035,,1.745,,69.4668499886359,,7.996,1.0532719915685356,2.0,1.0,65.95338197988696
3.0,2.0,1.0,8.6911623355756,3180.0,K2-25 b,11.187357705314248,3.484552,,3.43,,206.49976819344056,2.0,15.880999999999998,0.009452439003757487,1.0,1.0,21846.18891604101
3.0,2.0,2.0,5.433993034422149,4640.0,GJ 143 b,5.4516360937197375,35.61253,,2.61,,74.20950864780635,1.0,7.87,1.2914646960749716,1.0,1.0,57.46150775421457
3.0,3.0,1.0,18.264333815894645,3026.0,GJ 1214 b,12.197329775338655,1.58040456,,2.847,,983.9549478658746,1.0,15.1,0.10991931463085258,2.0,1.0,8951.611017320647
3.0,3.0,2.0,72.3860788101446,4250.0,TOI-1130 b,6.6951564362757985,4.066498999999999,,3.65,,176.0460123897984,,11.368,0.1842964274191136,4.0,1.0,955.2329085004307
3.0,3.0,2.0,88.76555082446414,4916.0,K2-36 c,3.344946957761764,5.340888,,3.2,,114.09672544100347,,11.8,0.020027231469023143,,1.0,5697.07928015318
3.0,3.0,2.0,11.397205347348859,4499.0,K2-136 c,2.6638123759411347,17.307137,,2.91,,89.33666685207314,,10.855,0.023746864583021287,,1.0,3762.0405228548675
3.0,3.0,2.0,13.745579381184696,4285.0,K2-266 d,2.9807912673401646,14.697000000000001,,2.93,,65.83839950220036,,11.808,0.009109859132841226,,1.0,7227.158899181175
3.0,3.0,2.0,43.02710947188089,4140.0,K2-284 b,4.2129160578529845,4.795069,,2.78,,63.019416800698885,,13.322,0.004319259108454557,,1.0,14590.330243755025
3.0,3.0,2.0,12.632088382056208,4950.0,K2-233 d,1.9127876176787892,24.3662,,2.64,,63.01741814695871,,10.726,0.009726651946484819,,1.0,6478.839635022923
3.0,3.0,2.0,43.375354887114256,4648.0,K2-199 c,3.3083507791970184,7.374694,,2.78,,62.02852325096354,,12.289,0.0067886561152331595,,1.0,9137.084306240948
3.0,3.0,2.0,10.363457350745868,4258.0,K2-155 c,2.584398215114616,13.85,,2.6,,57.10683818867142,,12.806,0.0023690610168695956,,1.0,24105.26271042636
3.0,3.0,2.0,73.67211883344251,4975.0,K2-285 c,5.906787664018826,7.1380479999999995,,3.53,,47.60706340399068,,12.03,0.02108353250513196,,1.0,2258.0212017318545
3.0,3.0,2.0,20.51006652603547,4272.0,K2-212 b,2.6979923999490985,9.79551,,2.52,,43.832868134697435,,13.1,0.001511647739770384,,1.0,28996.747708798583
3.0,3.0,2.0,10.252218571512534,4455.0,K2-174 b,2.1923650896036406,19.562307,,2.6,,41.43378185063153,,12.424,0.0017585292528512926,,1.0,23561.610808265195
3.0,3.0,2.0,35.95916225963432,5185.0,K2-165 d,2.2516767423207136,14.101360999999999,,2.648,,41.1857898953877,,11.331,0.005045785098070466,,1.0,8162.414588591447
3.0,3.0,2.0,31.906972775512337,4559.0,Kepler-210 c,4.885791443970109,7.972513,,3.62,,40.62395074992513,,13.804,0.002402266983583789,,1.0,16910.672721864095
3.0,3.0,2.0,15.039022637176256,4484.0,K2-90 b,2.6462616219247406,13.733314000000002,,2.6,,36.845924740149584,,13.855,0.0006098517629515459,,1.0,60417.83754436252
3.0,3.0,3.0,18.616337134173342,5528.0,HD 3167 c,2.1092751429687,29.83832,,2.86,,90.24617528577969,,8.94,0.08775351891712853,,1.0,1028.4052012889094
