radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TSM_Vmag_priority,X_priority,toi,tic,cps,disp,vetting,ao_vet,hires_prv,apf_prv,vip_rank
1,2,1,spoc,455.01,1.368307,5.358807,3562.0,7.379878999999999,420.370338,0.0,10.59,2.2452084364494644,43.26958509470039,4148.751314214001,0.010429544173075605,,1.0,455.01,98796344,GJ3193,VP,passed,passed,yes,no,2.0
1,3,1,spoc,1468.02,1.452351,1.880305,3382.0,35.733782,623.576148,0.0,12.5,2.797071106960732,14.536521955808004,15524.717980890942,0.0009363469258314844,,3.0,1468.02,243185500,T001468,VPC,passed,,yes,,
1,3,1,spoc,1693.01,1.4785469999999998,1.7668810000000001,3474.0,57.012676,700.829873,0.0,12.962,2.4890252050312243,11.490988042536353,30003.51557132188,0.0003829880540239001,,,1693.01,353475866,T001693,VPC+,passed,,,,
1,3,1,spoc,1730.02,1.440684,2.155669,3691.0,67.449404,730.91063,0.0,12.23,2.0261547027468843,9.243456248826446,23072.015244600356,0.00040063497491792495,,,1730.02,318022259,HIP34730,PC,passed,passed,,,
1,5,3,spoc,561.02,1.55421,0.446547,5391.0,4628.630447,2103.695493,0.0,10.252,2.6617643247241713,78.27658645688916,2162.178446969018,0.03620264856798418,1.0,1.0,561.02,377064495,T000561,CPC,passed,passed,yes,yes,
2,2,1,spoc,1468.01,2.333273,15.531925,3382.0,2.140013,308.477758,0.0,12.5,3.0978300659318787,88.32302789250915,12656.556228030775,0.0069784407623377075,,2.0,1468.01,243185500,T001468,VPC,passed,,yes,,
2,3,1,spoc,1730.01,2.299128,6.222236,3691.0,16.411904,513.345186,0.0,12.23,3.149983731204975,79.04770689801602,9545.839153615132,0.008280854687152322,1.0,1.0,1730.01,318022259,HIP34730,PC,passed,passed,,,
2,3,1,spoc,1695.01,2.085673,3.131463,3575.0,34.59537,618.5491910000001,0.0,12.989,3.421725091920104,68.35744145545276,16275.731052596675,0.004199961355625057,,2.0,1695.01,422756130,T001695,PC,passed,passed,,,
2,3,1,spoc,1467.01,1.827003,5.973383999999999,3834.0,18.079169,525.913556,0.0,12.293,2.277147970572103,61.002188254251436,19357.453705620934,0.003151353952949808,,5.0,1467.01,240968774,T001467,PC,passed,,,,
2,3,2,spoc,1430.01,2.229178,7.434007000000001,5064.0,72.54644,744.344144,0.0,9.19,2.0531977439794935,97.36625675264416,1366.3727024854181,0.07125892999438288,2.0,2.0,1430.01,293954617,235088,PC,passed,passed,,yes,
2,3,2,spoc,1235.01,2.1213900000000003,3.4431309999999997,3912.0,57.905584999999995,703.5579309999999,0.0,11.495,3.0379465189085058,81.93683524612635,5215.194206812025,0.01571117622793441,,,1235.01,103633434,T001235,CPC,passed,passed,yes - template,no,
2,3,2,spoc,1301.01,2.449728,6.096375,4820.4,69.86384100000001,763.0,0.0,11.337,2.7926695205285923,50.96257781687966,5335.702951637164,0.009551239692090189,,,1301.01,356867115,T001301,PC,passed,passed,,,
2,3,2,spoc,1174.01,2.43503,8.9596,5029.5,53.554056,689.950355,0.0,10.964,2.2330180829263795,46.24414500497282,5918.971568457776,0.00781286824410647,,,1174.01,154089169,T001174,PC,passed,passed,yes,yes,
2,3,2,spoc,1244.01,2.389882,6.398386,4599.0,56.459159,699.122616,0.0,11.929,2.694035157140528,38.72405978882878,9890.635928865795,0.003915224467600988,,,1244.01,219850915,T001244,PC,passed,passed,,,
2,4,2,spoc,1416.01,1.659544,1.06969,4946.0,945.862003,1414.4144820000001,0.0,9.91,2.4500815389146084,90.57711954538475,1862.3858269055168,0.0486349918673323,2.0,4.0,1416.01,158025009,HIP70705,CPC,passed,passed,wait,wait,
2,4,2,spoc,238.01,1.6765419999999998,1.272419,5024.0,753.218535,1336.13395,0.0,10.748,2.303804179822542,58.19736608559389,4557.635718617869,0.012769200892440477,,,238.01,9006668,T000238,CPC,passed,passed,,,
2,4,2,spoc,1466.01,2.491658,1.871529,4201.0,233.936214,997.4568429999999,0.0,12.189,4.650963185871936,56.8963302988536,4216.430342881734,0.013493957132460916,,,1466.01,237086564,T001466,PC,passed,,,,
2,4,2,spoc,1346.02,1.9794450000000001,1.7622330000000002,4991.6,468.54906600000004,1186.611407,0.0,11.693,2.789890838641337,47.19364823932063,7420.895437784663,0.0063595624860884985,,,1346.02,219852882,T001346,PC,passed,passed,,,
2,4,2,spoc,1757.01,2.07957,2.1256169999999996,4428.0,209.890671,970.7737710000001,0.0,12.165999999999999,3.1732940276615844,41.90994896479354,8867.681886746284,0.004726144836953671,,,1757.01,367753709,T001757,PC,do observe,,,,
2,4,2,spoc,1446.01,2.224311,6.31719,5180.0,108.319231,822.8035219999999,0.0,11.577,2.113507310456768,32.66159094700036,11620.457458966801,0.002810697518779469,,,1446.01,294471966,T001446,PC,passed,,,,
2,4,3,spoc,1473.01,2.49336,5.255294,5958.0,299.625751,1061.120081,0.0,8.844,2.3622450732321285,97.25843389213215,750.5520752014344,0.12958252612389323,3.0,3.0,1473.01,352413427,6061,PC,passed,,yes,yes,
2,4,3,spoc,1727.01,2.27447,1.8327919999999998,5566.0,989.31202,1430.385408,0.0,10.312000000000001,3.0774535420668814,61.936222035327106,1709.4158360598042,0.03623239046275002,,5.0,1727.01,241225337,T001727,PC,passed,,,,
2,4,3,spoc,1669.01,2.248112,2.6794849999999997,5550.0,692.189753,1308.205712,0.0,10.218,2.6653802829503914,52.04444941124072,2089.83679996471,0.024903595061642886,,,1669.01,428679607,T001669,PC,passed,,,,
2,4,3,spoc,266.01,2.407741,10.767807000000001,5784.0,104.770454,815.979892,0.0,10.07,2.0463466734692264,48.27115977409783,3093.658091637166,0.01560326265678335,,,266.01,164767175,HIP8152,PC,passed,passed,,,
2,5,2,spoc,1436.01,1.7178360000000001,0.867492,5011.22,1118.225214,1474.864321,0.0,12.005999999999998,2.736771759604733,45.030155839757555,10288.535828749647,0.004376731207362672,2.0,3.0,1436.01,154383539,T001436,CPC,passed,passed,yes,no,
2,5,3,spoc,1347.01,2.1061799999999997,0.8475,5300.0,1876.471285,1678.630966,0.0,11.168,3.3421720643413706,52.4413226471538,3188.4023767423123,0.016447523383398895,,,1347.01,229747848,T001347,PPC,passed,,,,
