radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TSM_Vmag_priority,X_priority,toi,tic,cps,disp,vetting,ao_vet,hires_prv,apf_prv,vip_rank
2,4,2,spoc,238.01,1.676542,1.272419,5024,753.218535,1336.13395,0,10.748,2.30380418,58.19736609,4557.635719,0.012769201,,,238.01,9006668,T000238,CPC,passed,passed,,,
2,4,3,spoc,266.01,2.407741,10.767807,5784,104.770454,815.979892,0,10.07,2.046346673,48.27115977,3093.658092,0.015603263,,,266.01,164767175,HIP8152,PC,passed,passed,,,
5,3,3,spoc,421.01,6.445067,16.068919,5718,74.824872,750.120865,0,9.931,8.544845976,117.3658921,156.1069563,0.751829994,,5,421.01,94986319,T000421,VPC,passed,passed,yes,yes,
1,2,1,spoc,455.01,1.368307,5.358807,3562,7.379879,420.370338,0,10.59,2.245208436,43.26958509,4148.751314,0.010429544,,1,455.01,98796344,GJ3193,VP,passed,passed,yes,no,2
3,3,3,spoc,469.01,3.685246,13.632935,6114,89.071512,783.527882,0,9.49,3.216821399,104.2398722,733.798527,0.142055167,3,3,469.01,33692729,42813,VPC,passed,passed,yes,no - too low dec,
3,3,3,spoc,509.01,3.073257,18.119809,5560.26,46.819522,667.154613,0,8.58,2.374869265,97.54202066,582.3060737,0.16750988,1,2,509.01,453211454,63935,PC,passed,passed,yes,yes,1
3,4,3,spoc,554.01,3.411592,7.048602,6337.87,416.682397,1152.31453,0,6.91134,1.73352546,107.5347842,235.0207917,0.457554344,2,2,554.01,407966340,25463,CPC,passed,passed,yes,yes,
3,3,3,spoc,561.01,3.772776,10.781327,5391,66.330454,727.860233,0,10.252,4.159027891,87.14310035,885.6192914,0.098397925,,4,561.01,377064495,T000561,PC,passed,passed,yes,yes,
1,5,3,spoc,561.02,1.55421,0.446547,5391,4628.630447,2103.695493,0,10.252,2.661764325,78.27658646,2162.178447,0.036202649,1,1,561.02,377064495,T000561,CPC,passed,passed,yes,yes,
3,3,3,spoc,561.03,2.842121,16.37165,5391,38.003128,633.249107,0,10.252,2.235563677,52.46088367,3065.184668,0.017115081,,,561.03,377064495,T000561,PC,passed,passed,yes,yes,
3,4,3,spoc,669.01,3.842242,3.948678,5581.9,641.234094,1283.435066,0,10.606,7.61969847,66.39005324,365.5570489,0.181613385,,4,669.01,124573851,T000669,PC,passed,passed,yes,yes,
