radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TSM_Vmag_priority,X_priority,toi,tic,cps,disp,vetting,ao_vet,hires_prv,apf_prv,vip_rank
1,2,1,spoc,455.01,1.368307,5.358807,3562,7.379879,420.370338,0,10.59,2.245208436,43.26958509,4148.751314,0.010429544,,1,455.01,98796344,GJ3193,VP,passed,passed,yes,no,2
1,3,1,spoc,1468.02,1.452351,1.880305,3382,35.733782,623.576148,0,12.5,2.797071107,14.53652196,15524.71798,0.000936347,,3,1468.02,243185500,T001468,VPC,passed,,yes,,
1,5,3,spoc,561.02,1.55421,0.446547,5391,4628.630447,2103.695493,0,10.252,2.661764325,78.27658646,2162.178447,0.036202649,1,1,561.02,377064495,T000561,CPC,passed,passed,yes,yes,
2,2,1,spoc,1468.01,2.333273,15.531925,3382,2.140013,308.477758,0,12.5,3.097830066,88.32302789,12656.55623,0.006978441,,2,1468.01,243185500,T001468,VPC,passed,,yes,,
2,3,1,spoc,1730.01,2.299128,6.222236,3691,16.411904,513.345186,0,12.23,3.149983731,79.0477069,9545.839154,0.008280855,1,1,1730.01,318022259,HIP34730,PC,passed,passed,,,
2,3,1,spoc,1695.01,2.085673,3.131463,3575,34.59537,618.549191,0,12.989,3.421725092,68.35744146,16275.73105,0.004199961,,2,1695.01,422756130,T001695,PC,passed,passed,,,
2,3,1,spoc,1467.01,1.827003,5.973384,3834,18.079169,525.913556,0,12.293,2.277147971,61.00218825,19357.45371,0.003151354,,5,1467.01,240968774,T001467,PC,passed,,,,
2,3,2,spoc,1430.01,2.229178,7.434007,5064,72.54644,744.344144,0,9.19,2.053197744,97.36625675,1366.372702,0.07125893,2,2,1430.01,293954617,235088,PC,passed,passed,,yes,
2,4,2,spoc,1416.01,1.659544,1.06969,4946,945.862003,1414.414482,0,9.91,2.450081539,90.57711955,1862.385827,0.048634992,2,4,1416.01,158025009,HIP70705,CPC,passed,passed,wait,wait,
2,4,3,spoc,1473.01,2.49336,5.255294,5958,299.625751,1061.120081,0,8.844,2.362245073,97.25843389,750.5520752,0.129582526,3,3,1473.01,352413427,6061,PC,passed,,yes,yes,
2,4,3,spoc,1727.01,2.27447,1.832792,5566,989.31202,1430.385408,0,10.312,3.077453542,61.93622204,1709.415836,0.03623239,,5,1727.01,241225337,T001727,PC,passed,,,,
