radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TSM_Vmag_priority,X_priority,toi,tic,cps,disp,vetting,ao_vet,hires_prv,apf_prv,vip_rank
1,2,1,spoc,455.01,1.368307,5.358807,3562.0,7.379878999999999,420.370338,0.0,10.59,2.2452084364494644,43.26958509470039,3982.8012616454403,0.010864108513620423,,1.0,455.01,98796344,GJ3193,VP,passed,passed,yes,no,
1,5,2,spoc,1807.01,1.525893,0.549343,4612.99,1592.916641,1611.268853,0.0,10.0,2.842960037930563,116.77470510492601,1442.6482615377922,0.0809446822335265,1.0,1.0,1807.01,180695581,HIP65469,CPC,passed,data taken,,yes,
1,5,3,spoc,561.02,1.55421,0.446547,5391.0,4628.630447,2103.695493,0.0,10.252,2.6617643247241713,78.27658645688916,2075.691309090257,0.03771109225831685,1.0,1.0,561.02,377064495,T000561,CPC,passed,passed,yes,yes,
2,2,1,spoc,1468.01,2.333273,15.531925,3382.0,2.140013,308.477758,0.0,12.5,3.0978300659318787,88.32302789250915,12150.293978909542,0.007269209127435114,,1.0,1468.01,243185500,T001468,VPC,passed,,yes,,
2,2,1,spoc,1802.01,2.506646,16.796111,3859.0,5.9204,397.839148,0.0,12.763,2.4829271372579593,38.273625732483744,24097.612506804846,0.0015882745944925366,,5.0,1802.01,138762614,T001802,PC,passed,passed,,,
2,3,1,spoc,1730.01,2.299128,6.222236,3691.0,16.411904,513.345186,0.0,12.23,3.149983731204975,79.04770689801602,9164.005587470527,0.008625890299117001,1.0,1.0,1730.01,318022259,HIP34730,PC,passed,passed,,,
2,3,1,spoc,1695.01,2.085673,3.131463,3575.0,34.59537,618.5491910000001,0.0,12.989,3.421725091920104,68.35744145545276,15624.701810492805,0.004374959745442768,2.0,2.0,1695.01,422756130,T001695,PC,passed,passed,,,
2,3,1,spoc,1467.01,1.827003,5.973383999999999,3834.0,18.079169,525.913556,0.0,12.293,2.277147970572103,61.002188254251436,18583.155557396094,0.0032826603676560503,,5.0,1467.01,240968774,T001467,PC,passed,,,,
2,3,2,spoc,1430.01,2.229178,7.434007000000001,5064.0,72.54644,744.344144,0.0,9.19,2.0531977439794935,97.36625675264416,1311.7177943860013,0.07422805207748218,1.0,1.0,1430.01,293954617,235088,PC,passed,passed,,yes,
2,3,2,spoc,1235.01,2.1213900000000003,3.4431309999999997,3912.0,57.905584999999995,703.5579309999999,0.0,11.495,3.0379465189085058,81.93683524612635,5006.586438539543,0.016365808570765014,,2.0,1235.01,103633434,T001235,P,passed,passed,yes - template,no,
