radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TSM_Vmag_priority,X_priority,toi,tic,cps,disp,vetting,ao_vet,hires_prv,apf_prv,vip_rank
1,2,1,spoc,455.01,1.368307,5.358807,3562.0,7.379878999999999,420.370338,0.0,10.59,2.2452084364494644,43.26958509470039,20192.80239654238,0.0021428221920355866,,1.0,455.01,98796344,GJ3193,VP,passed,passed,yes,no,
1,5,2,spoc,1807.01,1.525893,0.549343,4612.99,1592.916641,1611.268853,0.0,10.0,2.842960037930563,116.77470510492601,7314.226685996608,0.015965420558880963,2.0,1.0,1807.01,180695581,HIP65469,CPC,passed,data taken,,yes,
1,5,3,spoc,561.02,1.55421,0.446547,5391.0,4628.630447,2103.695493,0.0,10.252,2.6617643247241713,78.27658645688916,10523.754937087604,0.00743808525805066,3.0,2.0,561.02,377064495,T000561,CPC,passed,passed,yes,yes,
2,2,1,spoc,1468.01,2.333273,15.531925,3382.0,2.140013,308.477758,0.0,12.5,3.0978300659318787,88.32302789250915,61601.9904730714,0.0014337690586657024,,1.0,1468.01,243185500,T001468,VPC,passed,,yes,,
2,2,1,spoc,1801.01,2.170286,21.284406,3815.0,3.760847,355.17400200000003,0.0,11.58,1.8666166319635433,58.3776282293232,72710.92404171205,0.000802872869499413,,3.0,1801.01,119584412,HIP57099,PC,passed,passed,,,
2,2,1,spoc,1802.01,2.506646,16.796111,3859.0,5.9204,397.839148,0.0,12.763,2.4829271372579593,38.273625732483744,122174.89540950056,0.00031326915078748257,,,1802.01,138762614,T001802,PC,passed,passed,,,
2,3,1,spoc,1730.01,2.299128,6.222236,3691.0,16.411904,513.345186,0.0,12.23,3.149983731204975,79.04770689801602,46461.50832847557,0.0017013590333564107,1.0,1.0,1730.01,318022259,HIP34730,PC,passed,passed,,,
2,3,1,spoc,1695.01,2.085673,3.131463,3575.0,34.59537,618.5491910000001,0.0,12.989,3.421725091920104,68.35744145545276,79217.23817919854,0.000862911192395023,2.0,2.0,1695.01,422756130,T001695,PC,passed,passed,,,
2,3,1,spoc,1467.01,1.827003,5.973383999999999,3834.0,18.079169,525.913556,0.0,12.293,2.277147970572103,61.002188254251436,94216.59867599818,0.0006474675281372881,,5.0,1467.01,240968774,T001467,PC,passed,,,,
2,3,2,spoc,1430.01,2.229178,7.434007000000001,5064.0,72.54644,744.344144,0.0,9.19,2.0531977439794935,97.36625675264416,6650.409217537028,0.01464064143540082,1.0,1.0,1430.01,293954617,235088,PC,passed,passed,,yes,
2,3,2,spoc,1235.01,2.1213900000000003,3.4431309999999997,3912.0,57.905584999999995,703.5579309999999,0.0,11.495,3.0379465189085058,81.93683524612635,25383.39324339549,0.003227970132300791,,2.0,1235.01,103633434,T001235,P,passed,passed,yes - template,no,
2,3,2,spoc,260.01,1.637881,13.470018,4111.0,11.13865,465.937745,0.0,9.9,1.1999580873362834,71.23545196470022,37443.61507990957,0.0019024726061485904,,4.0,260.01,37749396,HIP1532,CPC,passed,passed,,,
2,3,2,spoc,2023.01,1.6608180000000001,11.190049,4958.0,31.192573,602.74352,0.0,9.366,1.1125961155171447,67.29925862988719,26633.905075553383,0.0025268265558121084,,3.0,2023.01,16884216,T002023,PC,do observe,,,,
2,3,2,spoc,1739.01,2.145596,8.303966,4814.0,53.680997,690.358843,0.0,10.692,1.9637157509538445,46.83587647265765,28996.973989617232,0.001615198761409652,,5.0,1739.01,159418353,T001739,PC,passed,data taken,,,
2,3,2,spoc,1798.01,2.387534,8.018944,5165.2,69.78833900000001,737.166286,0.0,11.361,2.2092790271513763,39.07427349814267,42423.72380014869,0.0009210477062837589,,,1798.01,198153540,T001798,PC,passed,passed,,,
2,3,2,spoc,1244.01,2.389882,6.398386,4599.0,56.459159,699.122616,0.0,11.929,2.694035157140528,38.72405978882878,48139.7031929756,0.0008044100237510248,,,1244.01,219850915,T001244,PC,passed,passed,,,
2,3,3,spoc,1434.01,2.029456,29.889398999999997,5393.86,12.020798,474.90099299999997,0.0,8.78,1.0293438872711045,71.52961327803821,18137.981165000245,0.003943636980727742,1.0,2.0,1434.01,138588540,102121,PC,passed,passed,yes - low cadence,yes,
2,3,3,spoc,1777.01,2.332202,14.653198999999999,5859.45,71.507681,741.665236,0.0,9.31,1.5262671254939375,52.4324658320675,13441.533731646094,0.003900779991246315,2.0,3.0,1777.01,29191624,87620,PC,passed,,,yes,
2,3,3,spoc,1742.01,2.196405,21.272109,5707.0,55.704942,696.775997,0.0,8.863,1.2488519330698213,40.94231268159555,13301.114297136166,0.0030781114850212776,,4.0,1742.01,219857012,156141,PC,passed,data taken,,yes,
2,3,3,spoc,1437.01,2.348959,18.840142999999998,6093.0,87.757866,780.622856,0.0,9.173,1.3503575628370927,35.206290923920015,15136.043389869259,0.002325990354089763,,5.0,1437.01,198356533,154840,PC,passed,passed,yes,yes,
2,4,2,spoc,1416.01,1.7707560000000002,1.069606,4946.0,945.960557,1414.451324,0.0,9.91,2.7357778081059116,98.54867957754648,7270.232195692103,0.013555093829869757,1.0,2.0,1416.01,158025009,HIP70705,CPC,passed,passed,wait,wait,
2,4,2,spoc,238.01,1.6765419999999998,1.272419,5024.0,753.218535,1336.13395,0.0,10.748,2.303804179822542,58.19736608559389,22182.924569656894,0.0026235208934172576,,5.0,238.01,9006668,T000238,CPC,passed,passed,,,
2,4,2,spoc,1466.01,2.491658,1.871529,4201.0,233.936214,997.4568429999999,0.0,12.189,4.650963185871936,56.8963302988536,20522.20976487398,0.002772427090002653,,4.0,1466.01,237086564,T001466,PC,passed,data taken,,,
2,4,2,spoc,1346.02,1.9794450000000001,1.7622330000000002,4965.0,468.54906600000004,1186.611407,0.0,11.693,2.789890838641337,46.942155522923855,36118.982274785514,0.0012996533281529902,,,1346.02,219852882,T001346,PC,passed,passed,,,
2,4,2,spoc,1757.01,2.07957,2.1256169999999996,4428.0,209.890671,970.7737710000001,0.0,12.166,3.1732940276615844,41.90994896479354,43160.781279171606,0.0009710192383616168,,,1757.01,367753709,T001757,PC,do observe,data taken,,,
2,4,3,spoc,1726.01,2.158585,7.108153,5694.11,145.56466799999998,885.8980439999999,0.0,6.92035,1.758847990372954,212.59895948834736,1120.4521452244846,0.18974389972340386,1.0,1.0,1726.01,130181866,63433,P,passed,passed,yes,yes,
2,4,3,spoc,1835.01,2.34,5.64196,5297.0,119.41711799999999,843.1141849999999,0.0,8.419,2.3358220898642665,162.3264179330453,2525.9828855756105,0.06426267527780775,2.0,3.0,1835.01,347332255,110067,PC,passed,data taken,,yes,
2,4,3,spoc,1473.01,2.49336,5.255294,5958.0,299.625751,1061.120081,0.0,8.844,2.3622450732321285,97.25843389213215,3653.08706042042,0.02662362880586236,,4.0,1473.01,352413427,6061,PC,passed,passed,yes,yes,
2,4,3,spoc,1839.01,2.470334,1.424817,5382.69,920.9755779999999,1405.017644,0.0,10.9,3.9823791938596056,74.3769889267469,8539.347865290754,0.008709914398623045,,5.0,1839.01,381714186,T001839,PC,passed,passed,,,
2,4,3,spoc,1727.01,2.27447,1.8327919999999998,5566.0,989.31202,1430.385408,0.0,10.312,3.0774535420668814,61.936222035327106,8320.068757270266,0.007444195936626824,,,1727.01,241225337,T001727,CPC,passed,,,,
2,4,3,spoc,1669.01,2.248112,2.6794849999999997,5550.0,692.189753,1308.205712,0.0,10.218,2.6653802829503914,52.04444941124072,10171.653672788236,0.005116616342382249,,,1669.01,428679607,T001669,PC,passed,,,,
2,4,3,spoc,1799.01,1.627715,7.093853,5690.0,163.466136,911.961908,0.0,8.98,1.0892193203316531,51.1830114117023,19475.080159493777,0.0026281284078182054,,,1799.01,8967242,96735,PC,passed,data taken,,yes,
2,4,3,spoc,1735.01,2.373393,10.385193,6439.0,236.20130600000002,999.862599,0.0,8.788,1.5392305453611357,49.773598488849366,8171.514955494814,0.0060911102482141145,,,1735.01,365673804,T001735,PC,passed,data taken,,yes,
2,4,3,spoc,266.01,2.407741,10.767807000000001,5784.0,104.770454,815.979892,0.0,10.07,2.0463466734692264,48.271159774097804,15057.452663616417,0.003205798540594867,,,266.01,164767175,HIP8152,PC,passed,passed,,,
2,4,3,spoc,1269.01,2.381773,4.252932,5591.0,231.205714,994.53344,0.0,11.618,3.37236624574529,38.71251946462196,23069.620942893813,0.001678073495895331,,,1269.01,198241702,T001269,PC,passed,passed,yes,no,
2,4,3,spoc,266.02,1.759371,6.191319999999999,5784.0,219.12782799999997,981.2826789999999,0.0,10.07,1.4436599352474742,38.607738517632946,30253.81300128758,0.0012761280211519067,,,266.02,164767175,HIP8152,STPC,passed,passed,,,
2,5,2,spoc,1436.01,1.7178360000000001,0.867492,5011.22,1118.225214,1474.864321,0.0,12.005999999999998,2.736771759604733,45.030155839757555,50076.36158569028,0.0008992297845501874,1.0,2.0,1436.01,154383539,T001436,CPC,passed,passed,yes,no,
2,5,3,spoc,1347.01,2.058949,0.847366,5300.0,1876.296218,1678.5918120000001,0.0,11.168,3.438757657640163,55.833759513973874,14659.082370818745,0.0038088168209709995,,4.0,1347.01,229747848,T001347,PPC,passed,data taken,,,
3,2,2,spoc,1759.01,3.234794,18.848063500000002,3960.0,2.486239,320.262031,0.0,11.93,3.539029752426844,81.01354399896313,27921.676993369503,0.00290145695826942,2.0,2.0,1759.01,408636441,T001759,PC,do observe,data taken,,,
3,2,2,spoc,1643.01,2.687783,40.158134999999994,4763.0,6.29401,403.97231600000003,0.0,9.533,1.717890999504469,71.60395422210043,13029.229010643285,0.0054956401613333195,1.0,1.0,1643.01,298647682,234571,PC,passed,data taken,,yes,
3,3,1,spoc,1732.01,2.539205,4.121356,3876.0,44.215291,657.67733,0.0,12.889,3.874242891554808,49.86192347099154,56355.49080942053,0.0008847748951315405,,,1732.01,470987100,T001732,PC,passed,,,,
3,3,2,spoc,2018.01,2.6050869999999997,7.4371149999999995,4218.9,26.068541,576.300415,0.0,10.25,3.1638730589161286,133.62191291516586,7434.843400410681,0.017972391040245037,2.0,2.0,2018.01,357501308,HIP74981,PC,do observe,,,,
3,3,2,spoc,1255.01,2.7027799999999997,10.288882000000001,5126.0,59.759255,709.1221360000001,0.0,9.92,2.536462078010803,69.48519865584359,8535.975872629697,0.008140275897293174,,4.0,1255.01,237222864,HIP97166,PC,passed,passed,,,
3,3,2,spoc,1180.01,2.8472049999999998,9.692136999999999,4738.1,35.3448,621.872185,0.0,11.017,3.0963338127176208,63.96897665366943,15733.10262147904,0.004065884408987337,,,1180.01,158002130,T001180,VPC,passed,,wait,no,
3,3,2,spoc,1803.02,3.132298,6.294392,4868.61,62.66729599999999,717.595966,0.0,11.871,4.05265663545649,56.972489398193424,20166.489635563557,0.0028251069188423637,,,1803.02,144401492,T001803,PC,passed,passed,,,
3,3,2,spoc,1758.01,3.3809489999999998,20.703854,5169.0,20.751601,544.355547,0.0,10.794,2.89492176964725,54.5497412306485,14656.70213668042,0.00372182914832732,,,1758.01,367858035,T001758,PC,do observe,,,,
3,3,2,spoc,1782.01,2.564396,4.987638,4336.0,56.046246999999994,697.840843,0.0,12.329,3.45340120164505,45.42040934366884,42346.33751188368,0.0010725935703630209,,,1782.01,160045097,T001782,CPC,do observe,data taken,,,
3,3,3,spoc,1726.02,2.63597,20.545913,5694.11,35.353393,621.909976,0.0,6.92035,1.7341366038340695,193.51186999199794,1152.6124744522574,0.16788979321428768,1.0,1.0,1726.02,130181866,63433,P,passed,passed,yes,yes,
3,3,3,spoc,1339.01,3.200173,8.880405999999999,5555.7,99.072187,804.651244,0.0,8.97,3.3111548808578206,129.04878526663188,2088.0982773867404,0.061802064904788255,2.0,2.0,1339.01,269701147,191939,CPC,passed,passed,yes,yes,
3,3,3,spoc,469.01,3.685246,13.632935,6114.0,89.071512,783.527882,0.0,9.49,3.216821398749017,104.23987215042015,3571.5441908227194,0.029186219344078192,3.0,3.0,469.01,33692729,42813,VPC,passed,passed,yes,no - too low dec,
3,3,3,spoc,561.01,3.7727760000000004,10.781327000000001,5391.0,66.330454,727.860233,0.0,10.252,4.159027891252227,87.14310034642385,4310.486214901533,0.020216536140439674,,5.0,561.01,377064495,T000561,VPC,passed,passed,yes,yes,
3,3,3,spoc,1774.01,2.739662,16.710042,5853.7,73.760947,747.440061,0.0,8.25,1.9208739400510442,86.38537683194846,3196.7759328987595,0.027022656152699536,,4.0,1774.01,4897275,85426,PC,passed,,,yes,
3,3,3,spoc,1339.02,3.067978,28.579356,5555.7,20.850938,545.005831,0.0,8.97,2.087501950589936,82.74272156854298,5253.589633060827,0.01574974966598899,,,1339.02,269701147,191939,PC,passed,passed,yes,yes,
3,3,3,spoc,1339.03,3.16,38.35,5555.7,14.8,499.0,0.0,8.97,1.9901011194581752,77.95502568659799,5780.423237111543,0.013486041158043617,,,1339.03,269701147,191939,PC,passed,passed,yes,yes,
3,3,3,spoc,1247.01,2.800653,15.923848999999999,5711.85,70.932692,740.169798,0.0,9.08,2.079049330412356,63.348239758913245,5861.116285789743,0.01080822093779317,,,1247.01,232540264,135694,PC,passed,passed,yes,yes,
3,3,3,spoc,1691.01,3.7467019999999995,16.731638,5759.0,59.350052000000005,707.905076,0.0,10.134,3.3301104840987588,62.196824316918935,6031.046004845251,0.010312775639076694,,,1691.01,268334473,T001691,CPC,passed,data taken,,,
3,3,3,spoc,1723.01,3.1569700000000003,13.716057000000001,5777.0,91.580168,788.987475,0.0,9.664,2.652551656471938,58.42112442501675,6165.69767209679,0.009475184728794736,,,1723.01,71431780,T001723,PC,passed,passed,,yes,
3,3,3,spoc,561.03,2.842121,16.37165,5391.0,38.003128000000004,633.249107,0.0,10.252,2.2355636769673803,52.46088367085281,14918.8668147561,0.003516412092302096,,,561.03,377064495,T000561,PC,passed,passed,yes,yes,
3,4,2,spoc,1410.01,2.943638,1.216835,4634.6,565.541505,1243.757952,0.0,11.111,6.752780605842531,117.90818926749516,3606.9875749552907,0.03268882601264759,1.0,1.0,1410.01,199444169,T001410,VPC,passed,passed,yes,,
3,4,2,spoc,2016.02,2.815373,2.459355,5175.0,386.192195,1130.6303070000001,0.0,11.162,4.293579502860598,70.0169162783137,9351.276709664136,0.007487417863055456,,3.0,2016.02,219508169,T002016,PC,do observe,,,,
3,4,2,spoc,1246.02,3.001516,4.307412,5141.0,196.477935,954.8786779999999,0.0,11.632,4.0271652480936835,44.18116354696633,16387.436624839924,0.0026960387129733843,,4.0,1246.02,230127302,T001246,VPC-,passed,passed,yes,no,
3,4,3,spoc,1797.01,3.213549,3.645428,5922.0,535.519147,1226.9122439999999,0.0,9.182,4.13258563120389,118.4136733302651,1629.5444202687888,0.07266673547366882,3.0,3.0,1797.01,368435330,93963,PC,passed,data taken,,yes,
3,4,3,spoc,509.01,2.9363,9.059881535,5560.26,135.5821,948.478,0.0,8.58,2.7690196222898686,115.82370582276435,2084.7686111674047,0.055557103652815805,2.0,5.0,509.01,453211454,63935,VPC,passed,passed,yes,yes,
3,4,3,spoc,554.01,3.4115919999999997,7.048602000000001,6337.87,416.68239700000004,1152.31453,0.0,6.911339999999999,1.733525460205819,107.53478417053556,1143.8931971682937,0.09400771368930054,1.0,1.0,554.01,407966340,25463,CPC,passed,passed,yes,yes,
3,4,3,spoc,1136.02,3.00227,6.256742,5729.0,210.125477,971.045159,0.0,9.534,3.1762260361718453,87.25756807056337,3814.934829994643,0.022872623507093015,,,1136.02,142276270,T001136,CPC,passed,passed,yes,yes,
3,4,3,spoc,1736.01,3.7022559999999998,7.074152000000001,5656.0,349.144817,1102.481091,0.0,8.953,4.437209045165409,86.14251492692374,1144.6959518890994,0.07525362065338151,,2.0,1736.01,408618999,T001736,PC,passed,,,yes,
3,4,3,spoc,669.01,3.8422419999999997,3.9486779999999997,5581.9,641.234094,1283.435066,0.0,10.606,7.619698469818915,66.39005324059086,1779.2392685054413,0.03731372975842559,,,669.01,124573851,T000669,PPC,passed,passed,yes,yes,
