radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TSM_Vmag_priority,X_priority,toi,tic,cps,disp,vetting,ao_vet,hires_prv,apf_prv,vip_rank
1,2,1,spoc,455.01,1.368307,5.358807,3562,7.379879,420.370338,0,10.59,2.245208436,43.26958509,4148.751314,0.010429544,,1,455.01,98796344,GJ3193,VP,passed,passed,yes,no,
1,3,1,spoc,1827.01,1.333326,1.467126,3297,39.491955,639.362128,0,11.39,2.877132842,44.55804352,5278.504606,0.008441414,1,1,1827.01,390651552,GJ486,PC,do observe,,,,
1,5,2,spoc,1807.01,1.525893,0.549343,4612.99,1592.916641,1611.268853,0,10,2.842960038,116.7747051,1502.758606,0.077706895,2,1,1807.01,180695581,HIP65469,CPC,do observe,,,,
2,2,1,spoc,1468.01,2.333273,15.531925,3382,2.140013,308.477758,0,12.5,3.097830066,88.32302789,12656.55623,0.006978441,,1,1468.01,243185500,T001468,VPC,passed,,yes,,
2,3,1,spoc,1730.01,2.299128,6.222236,3691,16.411904,513.345186,0,12.23,3.149983731,79.0477069,9545.839154,0.008280855,1,1,1730.01,318022259,HIP34730,PC,passed,passed,,,
2,3,2,spoc,1430.01,2.229178,7.434007,5064,72.54644,744.344144,0,9.19,2.053197744,97.36625675,1366.372702,0.07125893,1,1,1430.01,293954617,235088,PC,passed,passed,,yes,
2,4,3,spoc,1726.01,2.158585,7.108153,5694.11,145.564668,885.898044,0,6.92035,1.75884799,212.5989595,230.2046649,0.923521509,1,1,1726.01,130181866,63433,P,passed,,yes,yes,
3,2,2,spoc,1643.01,2.687783,40.158135,4763,6.29401,403.972316,0,9.533,1.717891,71.60395422,2676.945474,0.02674838,1,1,1643.01,298647682,234571,PC,passed,,,yes,
3,3,3,spoc,1726.02,2.63597,20.545913,5694.11,35.353393,621.909976,0,6.92035,1.734136604,193.51187,236.8122277,0.817153202,1,1,1726.02,130181866,63433,P,passed,,yes,yes,
3,4,2,spoc,1410.01,2.943638,1.216835,4634.6,565.541505,1243.757952,0,11.111,6.752780606,117.9081893,741.0806162,0.159103054,1,1,1410.01,199444169,T001410,VPC,passed,passed,yes,,
3,4,3,spoc,554.01,3.411592,7.048602,6337.87,416.682397,1152.31453,0,6.91134,1.73352546,107.5347842,235.0207917,0.457554344,1,1,554.01,407966340,25463,CPC,passed,passed,yes,yes,
4,3,2,spoc,1728.01,4.699432,3.491567,3907,57.019625,700.851229,0,12.39,11.65389018,134.9152249,808.144258,0.166944482,1,1,1728.01,285048486,T001728,VPC+,passed,,,,
4,3,3,spoc,1471.01,4.282738,20.772024,5625.56,81.617867,766.595136,0,9.2,3.969217285,102.6214883,368.9954288,0.278110459,1,1,1471.01,306263608,12572,PC,passed,,yes,yes,
4,5,2,spoc,1713.01,4.65369,0.557201,5097.6,3415.825831,1949.816221,0,11.436,16.90635223,156.0775983,159.4890635,0.978610037,1,1,1713.01,15863518,T001713,PPC,passed,,,,
5,3,3,spoc,421.01,6.445067,16.068919,5718,74.824872,750.120865,0,9.931,8.544845976,117.3658921,156.1069563,0.751829994,,1,421.01,94986319,T000421,VPC,passed,passed,yes,yes,
1,5,3,spoc,561.02,1.55421,0.446547,5391,4628.630447,2103.695493,0,10.252,2.661764325,78.27658646,2162.178447,0.036202649,2,2,561.02,377064495,T000561,CPC,passed,passed,yes,yes,
2,3,1,spoc,1695.01,2.085673,3.131463,3575,34.59537,618.549191,0,12.989,3.421725092,68.35744146,16275.73105,0.004199961,2,2,1695.01,422756130,T001695,PC,passed,passed,,,
2,3,2,spoc,1235.01,2.12139,3.443131,3912,57.905585,703.557931,0,11.495,3.037946519,81.93683525,5215.194207,0.015711176,,2,1235.01,103633434,T001235,P,passed,passed,yes - template,no,
2,3,3,spoc,1434.01,2.029456,29.889399,5393.86,12.020798,474.900993,0,8.78,1.029343887,71.52961328,3726.574039,0.01919447,1,2,1434.01,138588540,102121,PC,passed,passed,yes - low cadence,yes,
2,4,2,spoc,1416.01,1.770756,1.069606,4946,945.960557,1414.451324,0,9.91,2.735777808,98.54867958,1493.719633,0.065975353,1,2,1416.01,158025009,HIP70705,CPC,passed,passed,wait,wait,
2,5,2,spoc,1436.01,1.717836,0.867492,5011.22,1118.225214,1474.864321,0,12.006,2.73677176,45.03015584,10288.53583,0.004376731,1,2,1436.01,154383539,T001436,CPC,passed,passed,yes,no,
3,2,2,spoc,1759.01,3.234794,37.696127,3960,2.486239,320.262031,0,11.93,2.808929776,64.30049248,9106.447122,0.007060986,2,2,1759.01,408636441,T001759,PC,do observe,,,,
3,3,3,spoc,1339.01,3.200173,8.880406,5555.7,99.072187,804.651244,0,8.97,3.311154881,129.0487853,429.0142746,0.30080301,3,2,1339.01,269701147,191939,CPC,passed,passed,yes,yes,
3,4,2,spoc,1246.02,3.001516,4.307412,5141,196.477935,954.878678,0,11.632,4.027165248,44.18116355,3366.912522,0.01312216,,2,1246.02,230127302,T001246,VPC-,passed,,yes,no,
3,4,3,spoc,1736.01,3.702256,7.074152,5656,349.144817,1102.481091,0,8.953,4.437209045,86.14251493,235.1857232,0.366274422,,2,1736.01,408618999,T001736,PC,passed,,,yes,
3,5,3,spoc,1681.01,3.26185,1.537559,5672.5,1160.699357,1488.674282,0,10.97,5.910641209,86.45972529,849.4963929,0.101777625,2,2,1681.01,321041369,T001681,PC,passed,passed,,,
4,3,3,spoc,1744.01,4.333054,22.342014,6179,62.906016,718.27838,0,9.543,3.536877208,65.54003035,637.3687541,0.102829061,,2,1744.01,229455001,T001744,PC,do observe,,,,
5,3,3,spoc,1775.01,8.07481,10.240374,5251,60.479059,711.247913,0,11.648,15.86499126,122.3231216,220.1664092,0.555593935,1,2,1775.01,9348006,T001775,VPC,do observe,,,,
5,4,2,spoc,1264.01,7.809021,2.744165,5040,418.583168,1153.62641,0,11.471,24.30526068,180.9298813,79.69483338,2.270283702,,2,1264.01,416195870,T001264,VPC-,passed,passed,,,
5,4,3,spoc,1194.01,8.860766,2.310602,5339.9,640.67934,1283.15739,0,11.302,29.94829159,214.438844,44.92484918,4.773279108,2,2,1194.01,147950620,T001194,VPC+,passed,passed,yes,yes,
2,2,1,spoc,1801.01,2.170286,21.284406,3815,3.760847,355.174002,0,11.58,1.866616632,58.37762823,14938.96368,0.003907743,,3,1801.01,119584412,HIP57099,PC,do observe,,,,
2,3,2,spoc,260.01,1.637881,13.470018,4111,11.13865,465.937745,0,9.9,1.199958087,71.23545196,7693.050436,0.009259715,,3,260.01,37749396,HIP1532,CPC,passed,passed,,,
2,3,3,spoc,1777.01,2.332202,14.653199,5859.45,71.507681,741.665236,0,9.31,1.526267125,52.43246583,2761.656339,0.018985876,2,3,1777.01,29191624,87620,PC,do observe,,,,
2,4,3,spoc,1473.01,2.49336,5.255294,5958,299.625751,1061.120081,0,8.844,2.362245073,97.25843389,750.5520752,0.129582526,,3,1473.01,352413427,6061,PC,passed,,yes,yes,
3,3,2,spoc,1255.01,2.70278,10.288882,5126,59.759255,709.122136,0,9.92,2.536462078,69.48519866,1753.77545,0.039620351,,3,1255.01,237222864,HIP97166,PC,do observe,passed,,,
3,3,3,spoc,1835.02,2.539899,9.6,5297,48.400623,672.717133,0,8.419,2.249125487,151.2595817,559.7619321,0.270221273,2,3,1835.02,347332255,110067,PC,do observe,,,,
3,4,3,spoc,1797.01,3.213549,3.645428,5922,535.519147,1226.912244,0,9.182,4.132585631,118.4136733,334.801204,0.353683535,3,3,1797.01,368435330,93963,PC,do observe,,,,
4,3,3,spoc,1136.03,4.037327,26.321864,5729,30.94004,601.519853,0,9.534,3.25549507,71.37382049,746.0993296,0.095662625,,3,1136.03,142276270,T001136,PC,passed,passed,yes,yes,
4,4,2,spoc,1694.01,5.480027,3.77013,5058,195.28817,953.419593,0,11.446,11.92651542,116.0485018,323.4473415,0.358786383,,3,1694.01,396740648,T001694,VPC,passed,,,,
