# TESS Object of Interest
# File Created: 2019-10-29
# Sectors: S0001-S0015
# Date of previous TOI list release: 2019-10-17
Source Pipeline,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Orbital Epoch Value,Orbital Epoch Uncertainty,Orbital Period Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Edited
spoc,144065872,105.01,KP,337.457199,-48.003087,9.480000,0.020000,1326.505990,0.000156,2.184659,0.000023,2.869426,0.012752,11836.691220,46.940147,1,WASP-95,4.377590,0.000000,1,1.130000,0.000000,12.514586,0.056125,1429.144596,5630.000000,0.000000,985.883704,0.886027,False,5,5,5,5,5,5,5,2018-09-05T18:49:20+00:00,2019-10-17 00:41:47.471372+00:00
qlp,147203645,166.01,PC,323.195894,-44.017794,10.696000,0.018000,1326.384240,0.002100,5.061870,0.000940,1.247000,0.243000,12335.000000,197.000000,1,,4.450000,0.360000,1,1.050000,0.060000,12.825400,1.792470,857.000000,5254.000000,152.900000,89.939500,32.000000,False,3,4,3,3,4,4,4,2018-09-05T18:52:24+00:00,2019-10-17 00:41:46.780732+00:00
spoc,231670397,104.01,KP,319.949611,-58.148876,9.848000,0.018000,1327.673462,0.000842,4.087445,0.000239,5.590140,0.066407,3586.196984,48.804030,1,WASP-73,3.933590,0.000000,1,2.070000,0.000000,12.652102,0.221452,1630.958624,6036.000000,0.000000,1672.217546,0.808662,False,5,5,5,5,5,5,5,2018-09-05T18:49:20+00:00,2019-10-17 00:41:44.380089+00:00
qlp,271893367,150.01,PC,112.965695,-73.606125,10.865000,0.019000,1326.278380,0.001390,5.857580,0.000530,5.818000,0.107000,7385.780000,0.981000,1,,4.100000,0.110000,1,1.580000,0.020000,14.973800,0.259698,1313.239275,5766.000000,37.300000,702.904709,36.000000,False,3,4,3,3,4,4,4,2018-09-05T18:34:59+00:00,2019-10-18 21:38:54.240261+00:00
qlp,260985861,149.01,PC,76.635855,-80.768181,10.140000,0.018000,1327.402260,0.002000,3.340240,0.000490,4.077000,0.323000,5082.390000,2.680000,1,Source is apparently 260985864- which may be a planet depending on host star size.,,,1,,,,,1247.616290,5095.600000,1193.100000,572.591832,13.000000,False,1,4,1,1,4,4,4,2018-09-05T18:35:00+00:00,2019-10-18 21:39:04.252414+00:00
qlp,183120439,169.01,PC,16.778300,-75.198873,11.742000,0.018000,1327.437970,0.001030,2.255960,0.000140,1.134000,0.053000,6550.060000,5.510000,1,,4.330000,2.000000,1,1.270000,0.170000,11.275600,1.520490,1016.000000,5780.600000,401.100000,177.223000,34.000000,False,3,4,3,3,4,4,4,2018-09-05T18:52:24+00:00,2019-10-18 21:38:52.302039+00:00
qlp,176984236,405.01,PC,101.909386,-66.328353,10.539000,0.018000,1326.545650,0.000690,1.756170,0.000020,1.784000,0.239000,2693.730000,1.446870,4,possible EB on 176984248; small possible secondary eclipse,4.280000,2.010000,1,,,,,1977.000000,6249.000000,338.700000,2540.940000,76.000000,False,3,4,3,3,4,4,4,2019-01-16T19:24:29+00:00,2019-10-17 00:41:48.138378+00:00
qlp,382302241,151.01,PC,83.348955,-58.745231,10.976000,0.018000,1326.049260,0.003310,1.597830,0.000340,1.490000,0.296000,1713.690000,4.560000,1,Large with possible synchronization,4.720000,0.200000,1,0.790000,0.020000,3.599950,0.207255,1548.000000,5037.600000,64.800000,955.676000,10.000000,False,3,4,3,3,4,4,4,2018-09-05T18:34:59+00:00,2019-10-17 00:41:50.417236+00:00
spoc,279740441,273.01,PC,51.504634,-64.548553,11.461000,0.060000,1386.095087,0.001413,0.741859,0.000089,1.502696,0.119604,2983.625732,173.750930,3,still can be a planet on 279740439,4.570000,0.120000,1,0.661740,0.097453,6.023835,7.466215,0.000000,4304.600000,64.000000,0.000000,16.765955,True,3,4,3,3,4,4,4,2018-11-30T22:06:25+00:00,2019-10-17 00:41:47.960747+00:00
qlp,389525208,154.01,PC,313.261485,-38.594870,10.044000,0.019000,1329.359960,0.001110,6.747090,0.000670,2.343000,0.136000,19520.900000,1570.000000,1,,3.590000,0.540000,1,2.690000,0.150000,41.339600,11.942200,1271.000000,5910.700000,162.800000,433.263000,40.000000,False,3,4,3,3,4,4,4,2018-09-05T18:52:24+00:00,2019-10-17 00:41:42.646573+00:00
qlp,300810086,385.01,PC,116.814028,-69.030700,8.983000,0.017000,1326.061830,0.001730,0.667970,0.000040,0.769000,0.241000,512.633000,4.457220,2,maybe not on target,3.500000,0.380000,1,3.650000,0.170000,9.080740,0.945348,3161.938390,5070.600000,118.200000,23622.976367,15.000000,False,3,4,3,3,4,4,4,2018-10-01T16:12:38+00:00,2019-10-17 00:41:43.305090+00:00
spoc,267263253,135.01,PC,7.328937,-76.304075,9.213000,0.019000,1325.783759,0.000208,4.126904,0.000057,4.492686,0.016126,10068.554370,33.411810,1,,4.234160,0.355654,1,1.547900,0.205971,15.947767,2.122716,1574.936764,6888.000000,204.000000,1454.030397,0.777657,False,3,4,3,3,4,4,4,2018-09-05T18:51:57+00:00,2019-10-17 00:41:47.519735+00:00
spoc,38846515,106.01,KP,68.959732,-64.027040,10.307000,0.019000,1326.745077,0.000179,2.849380,0.000006,3.776111,0.013790,7452.432687,25.309372,"5, 6, 4, 3, 2, 1",WASP-100b,4.438000,0.000000,1,1.000000,0.000000,9.061380,0.027050,1534.801917,6900.000000,0.000000,1311.385368,278.009500,False,5,5,5,5,5,5,5,2019-05-07T17:42:35+00:00,2019-10-18 21:38:49.609601+00:00
spoc,382188882,276.01,PC,81.352974,-55.019917,10.615000,0.018000,1387.759868,0.001184,4.800523,0.000607,2.058526,0.087929,5388.911854,300.225200,3,likely EB,4.162170,0.475360,1,1.547530,0.339098,14.952258,5.252722,1422.793962,6366.000000,197.000000,968.476430,27.180143,False,3,4,3,3,4,4,4,2018-11-30T22:06:26+00:00,2019-10-18 21:38:58.478776+00:00
spoc,410153553,136.01,PC,340.492100,-69.169000,11.877000,0.064000,1325.726030,0.000322,0.462910,0.000011,0.520794,0.106125,4681.643995,178.904200,1,Level 1 target. Potential short period small planet around an M dwarf.,5.097070,0.426694,1,0.179000,0.032000,1.267697,0.366063,723.126924,3043.000000,63.000000,64.621812,0.817114,False,2,4,1,1,4,4,4,2018-09-05T18:51:57+00:00,2019-10-28 09:33:31.628175+00:00
spoc,25155310,114.01,KP,63.373890,-69.226789,10.555000,0.018000,1327.520924,0.000203,3.288776,0.000007,3.410191,0.019658,7125.315013,28.905638,"5, 6, 4, 3, 2, 1",,4.280040,0.000000,1,1.270000,0.000000,10.835677,0.075686,1359.857377,5800.000000,0.000000,808.154597,240.635350,False,5,5,5,5,5,5,5,2019-05-07T17:42:34+00:00,2019-10-18 21:38:49.294111+00:00
spoc,336732616,103.01,KP,312.457438,-24.428796,11.464000,0.018000,1327.252560,0.000586,3.547854,0.000149,3.494333,0.049205,10424.371800,123.359314,1,HATS-3,4.228960,0.000000,1,1.400000,0.000000,14.581841,0.196435,1504.858953,6351.000000,0.000000,1212.004376,0.800299,False,5,5,5,5,5,5,5,2018-09-05T18:49:20+00:00,2019-10-17 00:41:47.999819+00:00
spoc,25375553,143.01,PC,328.767654,-22.612566,9.772000,0.019000,1325.582490,0.000343,2.310894,0.000055,3.422324,0.025078,6939.353936,46.406292,1,,3.948070,0.439603,1,1.981960,0.395184,17.627707,3.516223,2055.414257,6371.000000,197.000000,4218.115431,0.873101,False,3,4,3,3,4,4,4,2018-09-05T18:51:57+00:00,2019-10-17 00:41:41.901626+00:00
spoc,89020549,132.01,PC,338.399420,-43.436628,10.803000,0.018000,1326.903983,0.001768,2.109307,0.000250,2.068328,0.357938,1379.431961,84.678190,1,Possible centroid shift toward faint star to the SE,4.553830,0.418900,1,0.879240,0.176641,3.307084,1.646429,1305.950446,5673.000000,188.000000,687.428912,0.845486,False,2,4,1,1,4,4,4,2018-09-05T18:51:57+00:00,2019-10-17 00:41:45.729005+00:00
qlp,265612438,145.01,PC,333.174746,-55.978763,11.635000,0.019000,1327.049530,0.003170,5.129440,0.001320,4.832000,0.202000,3376.100000,2.320000,1,Some confusion about whether source is this star or the close pair of equal brightness stars to the NE (260985864)- but difference image seems to indicate source is more likely to be this star.,4.400000,2.000000,1,1.620000,0.040000,10.357000,0.365187,1319.000000,5430.700000,64.500000,502.844000,22.000000,False,3,4,3,3,4,4,4,2018-09-05T18:52:24+00:00,2019-10-17 00:41:41.158493+00:00
spoc,238176110,116.01,KP,357.845260,-70.152863,10.991000,0.019000,1326.689274,0.000260,2.798594,0.000049,2.366459,0.022664,16879.449840,101.113580,1,WASP-91,4.493710,0.000000,1,0.860000,0.000000,11.293845,0.108967,1050.906681,4920.000000,0.000000,288.255508,0.808503,False,5,5,5,5,5,5,5,2018-09-05T18:49:20+00:00,2019-10-17 00:41:44.353455+00:00
spoc,234519192,196.01,PC,14.551711,-64.761619,8.050000,0.018000,1354.307510,0.001705,1.163088,0.000126,1.805261,0.100137,595.248779,31.477335,2,v-shaped,3.320480,0.371256,1,4.175890,0.646514,17.734995,16.675673,3794.903884,6495.000000,198.000000,49014.448980,14.799333,False,3,4,3,3,4,4,4,2018-11-03T00:53:39+00:00,2019-10-17 00:41:47.456970+00:00
spoc,51912829,180.01,KP,14.298400,-67.496272,9.481000,0.020000,1325.897913,0.000328,0.835398,0.000009,1.480314,0.020716,2689.072814,65.369890,"2, 1",Likely EB,3.776540,0.330820,1,2.286680,0.344444,14.870042,2.317963,3012.824178,6082.000000,193.000000,19472.250749,49.261066,False,5,5,5,5,5,5,5,2018-11-03T00:36:48+00:00,2019-10-17 00:41:47.580297+00:00
