radius_bin,insol_bin,st_Teff_bin,Source Pipeline,TIC,Full TOI ID,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Orbital Epoch Value,Orbital Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Alerted,Updated,Stellar Mass,Target,RA,Dec,V mag,J mag,H mag,K mag,Ars,pl_masses,K_amp,TSM,radius_bin,insol_bin,st_Teff_bin,priority,highestp
1,1,1,,,TRAPPIST-1 g,,-5.041274,,,,,12.35294,,,,,,,,,,,0.12,,1.127,,,2559.0,,0.2724318332652806,,,,,0.08,,,,18.8,11.354000000000001,,,80.77149720056944,1.34,2.000039379990636,15.211928663404153,1,1,1,1.0,1
1,1,2,,,Kepler-62 f,,45.349865,,,,,267.291,,,,,,,,,,,0.64,,1.41,,,4925.0,,0.41925124759507293,,,,,0.69,,,,,12.255999999999998,,,241.16916274324785,35.0,4.457496960643534,0.02947903724249285,1,1,2,1.0,1
1,2,1,,,L 98-59 d,,-68.313,,,,,7.45086,,,,,,,,,,,0.31,,1.57,,,3367.0,,4.333919473688327,,,,,0.31,,,,,7.933,,,35.05841694765457,3.0916,2.213726100074113,170.9601080842954,1,2,1,3.0,3
1,2,1,spoc,259168516.0,1680.01,292.313381,65.974367,13.3081,0.007294,1687.2644870000001,0.002589,4.802445,0.000307,1.06063,0.55571,5067.139948,739.81616,14 15 16,low SNR; flare-like event in spoc s19,5.04064,0.021914,1.0,0.213459,0.006402,1.5320340000000001,1.1224379999999998,370.461326,3231.0,157.0,4.451358,7.279317999999999,,2020-01-30 21:16:42+0000,2020-01-25 01:12:02+0000,0.18234622970214906,259168516.0,292.313979,65.973802,15.87,11.637,11.137,10.821,31.831361946058767,2.9655873874895833,3.501675663413784,63.88963963592665,1,2,1,2.0,2
1,2,1,,,LTT 1445 A b,,-16.593372,,,,,5.35882,,,,,,,,,,,0.28,,1.38,,,3337.0,,5.952523004359193,,,,,0.26,,,,11.22,7.294,,,29.383827101049025,2.2,1.976975297453957,43.8166474776237,1,2,1,1.0,1
1,2,1,spoc,98796344.0,455.01,45.4642,-16.5934,8.64,0.018000000000000002,1412.708786,0.00091,5.358807,0.00035099999999999997,1.364837,0.188153,2498.0792309999997,168.20533999999998,4,two stars on the same pixel; could also be 98796342,4.97389,0.060229,1.0,0.271,0.008,1.368307,0.364177,420.370338,3562.0,83.0,7.379878999999999,13.6348,False,2019-02-08 19:54:07+0000,2019-02-08 19:54:07+0000,0.2520324311245873,98796344.0,45.462478000000004,-16.594496,10.59,7.294,6.774,6.496,30.046283329359706,2.4471831448666963,2.2452084364494644,43.26958509470039,1,2,1,0.0,0
1,2,1,,,TRAPPIST-1 b,,-5.041274,,,,,1.51087081,,,,,,,,,,,0.12,,1.0859999999999999,,,2559.0,,4.487266411365477,,,,,0.08,,,,18.8,11.354000000000001,,,19.901972980609724,0.85,2.555840069790413,43.22837206908054,1,2,1,0.0,0
1,2,1,,,Kepler-445 b,,46.498552000000004,,,,,2.984151,,,,,,,,,,,0.21,,1.58,,,3157.0,,7.481043354726912,,,,,0.18,,,,,13.542,,,23.45927389349641,3.1252,4.361873480557736,32.52577864239614,1,2,1,0.0,0
1,2,1,,,LHS 1140 c,,-15.271532,,,,,3.777931,,,,,,,,,,,0.21,,1.2819999999999998,,,3216.0,,5.882343324791919,,,,,0.18,,,,14.18,9.612,,,27.453858038128686,1.81,2.3352286741476003,26.025546783527805,1,2,1,0.0,0
1,2,1,spoc,92226327.0,256.02,11.247108,-15.271294000000001,11.238,0.07,1389.2932759999999,0.002136,3.778378,0.000784,1.028338,0.2879,3334.77603,300.73107999999996,3,LHS-1140c,5.05701,0.0,2.0,0.19,0.0,1.136554,0.410558,379.011837,3131.0,0.0,4.876768,10.993546,False,2018-11-30 22:06:23+0000,2018-11-30 22:06:23+0000,0.1500185794852764,92226327.0,11.248632,-15.274109,14.15,9.612001,9.092,8.821,28.55798186215832,1.5367009593449479,2.2385907884165857,24.90757083134978,1,2,1,0.0,0
