radius_bin,insol_bin,st_Teff_bin,Source Pipeline,TIC,Full TOI ID,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Orbital Epoch Value,Orbital Epoch Uncertainty,Orbital Period Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Alerted,Edited,Stellar Mass,Unnamed: 0,Target,RA,Dec,Teff (K),Stellar Radius (R_Sun),Stellar Mass (M_Sun),V mag,J mag,H mag,K mag,Ars,pl_masses,K_amp,TSM,radius_bin,insol_bin,st_Teff_bin,priority,highestp
1,2,1,,,LTT 1445 A b,,-16.593372,,,,,5.35882,,,,,,,,,,,0.28,,1.38,,,3337.0,,5.952523004359193,,,,,0.26,,,,,,,,11.22,7.294,,,29.383827101049025,2.2,1.976975297453957,43.8166474776237,1,2,1,2.0,2
1,2,1,spoc,98796344.0,455.01,45.4642,-16.5934,8.64,0.018,1412.708786,0.00091,5.358807,0.00035099999999999997,1.364837,0.188153,2498.0792309999997,168.20533999999998,4,two stars on the same pixel; could also be 98796342,4.97389,0.060229,1.0,0.271,0.008,1.368307,0.364177,420.370338,3562.0,83.0,7.379878999999999,13.6348,False,2019-02-08T19:54:07+00:00,2019-10-17 00:41:41.598875+00:00,0.2520324311245873,193.0,98796344.0,45.462478,-16.594496,3384.0,0.275953,0.249439,10.59,7.294,6.774,6.496,30.046283329359706,2.4471831448666963,2.2452084364494644,43.26958509470039,1,2,1,1.0,1
1,2,1,,,LHS 1140 c,,-15.271532,,,,,3.777931,,,,,,,,,,,0.21,,1.2819999999999998,,,3216.0,,5.882343324791919,,,,,0.18,,,,,,,,14.18,9.612,,,27.453858038128686,1.81,2.3352286741476003,26.025546783527805,1,2,1,3.0,3
1,2,1,spoc,92226327.0,256.02,11.247108,-15.271294000000001,11.238,0.07,1389.2932759999999,0.002136,3.778378,0.000784,1.028338,0.2879,3334.77603,300.73107999999996,3,LHS-1140c,5.05701,0.0,2.0,0.19,0.0,1.136554,0.410558,379.011837,3131.0,0.0,4.876768,10.993547,False,2018-11-30T22:06:23+00:00,2019-10-17 00:41:41.198487+00:00,0.1500185794852764,184.0,92226327.0,11.248632,-15.274109,3166.0,0.215535,0.184589,14.15,9.612001,9.092,8.821,28.55798186215832,1.5367009593449479,2.2385907884165857,24.90757083134978,1,2,1,0.0,0
1,2,1,,,K2-88 b,,19.120178,,,,,4.6122,,,,,,,,,,,0.26,,1.23,,,3537.0,,7.912769457289613,,,,,0.26,,,,,,,,15.475999999999999,12.037,,,28.632043895086582,2.0417,1.9288161635147418,4.686236441845276,1,2,1,0.0,0
1,3,1,,,LHS 3844 b,,-69.168986,,,,,0.46292913,,,,,,,,,,,0.19,,1.3030000000000002,,,3036.0,,70.95811494111821,,,,,0.15,,,,,,,,15.26,10.046,,,7.044480762432862,2.252,6.605715937686038,40.94242250412242,1,3,1,3.0,3
1,3,1,,,EPIC 212081533.01,,21.668695,,,,,3.355854,,,,,,,,,,,0.55,,1.6,,,3860.0,,45.026655284111875,,,,,0.5785664231158542,,,,,,,,13.444,10.495999999999999,,,14.295068916481073,3.192702191958362,1.9674593022745095,30.69911698397491,1,3,1,2.0,2
1,3,1,,,GJ 357 b,,-21.660797,,,,,3.93072,,,,,,,,,,,0.34,,1.217,,,3505.0,,13.504001738062446,,,,,0.34,,,,,,,,10.92,7.337000000000001,,,21.522429298673355,1.84,1.5331748714812619,29.320883886830114,1,3,1,1.0,1
1,3,1,spoc,36724087.0,732.01,154.6464,-11.7167,10.534,0.058,1543.91148,0.001189,0.768418,6.7e-05,0.816472,0.266768,1252.849899,105.63316,9,,4.94957,0.423263,1.0,0.3,0.054,1.134371,0.5733229999999999,770.585234,3329.0,72.0,83.330451,11.443317,False,2019-06-06T16:40:58+00:00,2019-10-17 00:41:48.757745+00:00,0.29203866627776565,72.0,36724087.0,154.644903,-11.717801,3331.0,0.374139,0.362023,13.14,9.007,8.439,8.204001,7.8100361839768615,1.5261604950211944,2.424885913180149,26.8688144524825,1,3,1,0.0,0
1,3,1,,,K2-133 c,,25.010006,,,,,4.86784,,,,,,,,,,,0.46,,1.6030000000000002,,,3655.0,,17.967165100874894,,,,,0.46,,,,,,,,14.288,11.084000000000001,,,20.289973093626426,3.2029,2.03162357517205,26.6712713124459,1,3,1,0.0,0
1,3,1,spoc,181804752.0,736.02,165.6915,-16.4062,13.508,0.059,1543.557852,0.0017460000000000002,0.947973,0.00011599999999999999,0.546439,0.477087,4555.5499039999995,710.959,9,low SNR,5.14315,0.410207,2.0,0.15,0.026,1.037152,1.150304,524.8313860000001,2940.0,67.0,17.930822,7.734158,False,2019-06-06T16:40:58+00:00,2019-10-17 00:41:48.779149+00:00,0.11401457298691307,384.0,181804752.0,165.690484,-16.406444,2949.0,0.17143,0.14169,16.91,11.559,10.993,10.644,13.131731778995057,1.1073699126717294,3.071173397587999,23.80547884157583,1,3,1,0.0,0
1,3,1,spoc,27649847.0,521.01,123.3438,12.2217,12.429,0.168,1492.722769,0.00257,1.542131,0.000295,1.112434,0.28130900000000003,2384.3998920000004,289.33447,7,Small star; marginal transit,4.97486,0.43607399999999996,1.0,0.268,0.047,1.449216,0.393694,613.364239,3439.0,69.0,33.449899,8.542186000000001,False,2019-03-22T22:54:00+00:00,2019-10-17 00:41:48.206167+00:00,0.24703440068838525,43.0,27649847.0,123.344257,12.222108,3465.0,0.420028,0.413895,14.691,10.921,10.357,10.089,13.155106190603664,2.698241044094161,3.8000199986685907,13.09099413115445,1,3,1,0.0,0
1,3,1,,,TOI 270 b,,-51.956233000000005,,,,,3.36008,,,,,,,,,,,0.38,,1.247,,,3386.0,,16.249631192469227,,,,,0.4,,,,,,,,12.62,9.099,,,18.31043412162858,2.0899,1.6464662129914107,10.343866279787362,1,3,1,0.0,0
1,3,1,,,K2-91 b,,24.205112,,,,,1.419549,,,,,,,,,,,0.28,,1.1,,,3622.0,,45.15217220530415,,,,,0.29,,,,,,,,15.572000000000001,11.433,,,12.569096354989956,1.367,1.7784305239462674,8.811066916415907,1,3,1,0.0,0
1,3,1,,,K2-151 b,,9.501381,,,,,3.835476,,,,,,,,,,,0.45,,1.49,,,3695.0,,24.327259343935143,,,,,0.47,,,,,,,,14.14,10.93,,,17.82086502080099,2.8286,1.9149189298135858,4.4253833355056065,1,3,1,0.0,0
1,3,1,,,K2-133 b,,25.010006,,,,,3.07133,,,,,,,,,,,0.46,,1.34,,,3655.0,,33.201622663760375,,,,,0.46,,,,,,,,14.288,11.084000000000001,,,14.925936706116039,2.3617,1.7466043266658744,3.714746555946093,1,3,1,0.0,0
1,3,2,,,HD 219134 c,,57.168354,,,,,6.76458,,,,,,,,,,,0.78,,1.511,,,4699.0,,62.41196282246517,,,,,0.81,,,,,,,,5.57,3.9810000000000003,,,17.99382354544934,4.36,1.6995477910743408,205.21871411488715,1,3,2,1.0,1
1,3,2,,,K2-83 b,,15.558886,,,,,2.74697,,,,,,,,,,,0.42,,1.244,,,3910.0,,40.88909967668503,,,,,0.48,,,,,,,,14.514000000000001,11.599,,,15.39204160385028,2.0814,1.5529611942654145,3.361818449728564,1,3,2,2.0,2
1,4,1,,,K2-147 b,,-28.497833,,,,,0.961917,,,,,,,,,,,0.55,,1.38,,,3672.0,,194.7908672424409,,,,,0.58,,,,,,,,14.019,10.835,,,6.21967278644949,2.4828,2.3166533747966,4.712242701999268,1,4,1,1.0,1
1,4,2,,,HD 219134 b,,57.168354,,,,,3.092926,,,,,,,,,,,0.78,,1.6019999999999999,,,4699.0,,177.18607382272282,,,,,0.81,,,,,,,,5.57,3.9810000000000003,,,10.679295048284052,4.74,2.398367164714751,292.0180441092127,1,4,2,1.0,1
1,4,2,,,GJ 9827 b,,-1.286273,,,,,1.2089819,,,,,,,,,,,0.6,,1.577,,,4340.0,,322.49014540587,,,,,0.61,,,,,,,,10.25,7.984,,,6.7525486651180575,4.91,4.10492776887484,83.54539226882837,1,4,2,2.0,2
1,4,2,,,EPIC 228952747.01,,-2.342222,,,,,1.055785,,,,,,,,,,,0.59,,1.52,,,4315.0,,339.1095167063343,,,,,0.6812897738318553,,,,,,,,12.850999999999999,10.270999999999999,,,6.509357123912915,2.9260957908697622,2.3775298627603734,45.856985169543364,1,4,2,3.0,3
