# 2019-10-29 13:12:31
# This file was produced by the Exoplanet Follow-up 
# Observing Program (ExoFOP) operated by the NASA Exoplanet 
# Science Institute, California Institute of Technology.
#
# Search Parameters:
# Target in (387079085,406941612,136274063,361034196,451599528,426077080,343648136,270341214,144440290,70797900,47525799,47484268,2760710,47316976,201233610,201292545,124543547,381979901,128463355,130415266,146261607,405454160,219345200,458589703,55652896,279741379,309792357,350618622,144138509,388624270,382331352,129319156,28230919,69679391,142276270,147950620,154089169,154840461,154872375,158002130,158324245,159510109,230088370,233087860,258777137,287196418,349827430,375542276,458478250,16740101,148914726,198213332,232967440,232967666,320525204,341544930,459970307,229510866,294176967,359496368,13419950,16102323,41330864,254113311,79748331,273985865,23434737,30037565,50312495,389924075,399144800,451606970,453260209,467666275,141527965,150428703,177115354,248092710,287776397,294781547,294981566,319259194,349095149,360156606,364393429,374997123,382437043,295541511,89643259,24364065,69068526,92677094,203189770,99869022,288185138,302518439,101929303,1717732429,30329585,169177766,83210867,289539327,372757221,15247229,112026224,237185205,138361973,161450762,117256577,147576037,379931600,48188920,89510024,267489265,69997672,122220263,89389197,110428269,202563254,284450803,160268701,350995812,21755546,288391628,117789567,237184773,409934330,311890977,271581073,295599256,412014494,446549905,274151135,379286801,290348382,318608749,369864738,351603103,384513078,90919952,261369656,143257766,24094603,304774444,469782185,128790976,80166433,405862830,269450900,425721385,91576611,287156968,31858844,31858843,375225453,360630575,468148930,383390264,380783252,380589029,379240073,370133522,369960846,366989877,360742636,351601843,327301957,323132914,322270620,320004517,299799658,290348383,261108236,259863352,253990973,253728991,201642601,201604954,161032923,158297421,120247528,112395568,101230735,31553893,7088246,6663331,260647166,55652896,278683844,425997655,120896927,300871545,154716798,158170594,158561566,159107668,198212955,219698776,219850915,229781583,230127302,230127302,232540264,232612416,232976128,233059608,233120979,233211762,233684822,236714379,237222864,274762761,278348461,288132261,288735205,355867695,355867695,356311210,365938305,406672232,416195870,424865156,467179528,142394656,198186769,198241702,199688472,202504234,219015370,219852584,219854185,229536616,237104103,237200747,258777134,286923464,293687315,356867115,417948359,441797803,445859771,459969957,13499636,43064903,153949511,163539739,224297258,230017324,232971294,236445129,266593143,267561446,274662200,277507814,352764091,365733349,408203470,417676622,185405474,186000935,232679662,233735068,236815160,277014266,287190564,294179389,378159598,405904232,11111899,136848581,137284119,15565627,165523947,167092385,167098530,167403519,195199644,240450679,256886630,266688542,274942910,275111900,312083267,330332501,345996087,357457104,387664866,387664868,395171208,42123111,89759617,92783821,90504905,103633434,120757718,120960812,153951307,254113311,79748331,142276270,158276040)
# 
#
# 245 results (245 unique targets)

Target,RA,Dec,Teff (K),Stellar Radius (R_Sun),Stellar Mass (M_Sun),V mag,J mag,H mag,K mag
2760710,356.527357,-16.691464,3176,.241339,.211546,18.44,12.126,11.504,11.25
11111899,303.824831,36.651807,7273,1.7904,,9.846,9.348,9.202,9.187
13499636,320.201905,28.055829,5518,.824734,.969,11.234,9.921,9.553001,9.484
15247229,306.730853,38.932270,8263,1.58394,2.031,10.02,9.662,9.645001,9.631
15565627,307.016647,39.877130,6555.54,2.34997,1.36,10.73,9.804,9.586,9.575
16740101,307.859900,39.938916,9550,2.28773,2.431,7.55,7.458,7.492,7.482
23434737,168.226736,-34.406937,5742.22,1.17321,1.03,8.59,7.411,7.102,6.997
28230919,297.710176,48.081864,4777.56,.759854,.77,9.46,7.608,7.131,7.009
30037565,73.541918,-70.379109,5914,1.55953,1.08,10.048,9.126,8.85,8.786
30329585,289.238688,31.323574,6229,1.27456,1.203,10.645,9.61,9.396,9.314
31553893,288.911772,-31.790813,5846,3.44756,1.06,10.09,8.706,8.398,8.312
31858843,289.479212,-32.860124,5737,1.22026,1.025,11.03,9.799,9.457,9.362001
41330864,301.710466,38.431023,6220,1.49567,1.199,11.018,9.822,9.577,9.517
43064903,302.669134,40.668628,3145,.211257,.180245,15.48,10.795,10.216,9.941
47316976,340.307693,-28.032657,6530,2.02087,1.346,9.359,8.513,8.347,8.33
47484268,342.967188,-24.787780,3339,.388469,.378406,15.46,10.854,10.22,9.941
47525799,343.880390,-24.409733,4880,.710768,.796,12.061,10.173,9.67,9.564
48188920,282.420810,48.098942,6592.19,2.08204,1.37,10.074,9.092,8.916,8.877
50312495,31.178933,-73.126759,5572.9,1.1393,.98,10.471,9.263,8.916,8.874
55652896,73.980013,-63.260330,5025.77,.801736,.84,12.324,10.759,10.332,10.218
69068526,291.707693,17.808736,6689,2.05935,1.417,10.922,9.734,9.551,9.557
69679391,294.661413,31.219200,9032,1.61744,2.282,7.59,7.424,7.446,7.415
69997672,294.824079,31.958037,6244,2.19683,1.21,9.56,8.556,8.361,8.311
79748331,296.003935,-47.562030,4656,.737189,.74,10.938,9.097,8.628,8.467
80166433,298.287708,-46.369991,8271,2.50273,2.03,8.181,7.838,7.801,7.771
83210867,297.459433,34.829667,5997,1.73248,1.105,10.527,9.358,9.066,8.998
89643259,301.410880,33.049205,7505,1.87353,,10.568,10.036,9.937,9.893
89759617,301.564685,35.588396,7965,2.35327,1.92,10.646,10.134,10.091,10.061
90504905,290.572230,26.319493,3443,.411471,.404369,16.27,12.174,11.566,11.328
91576611,284.157959,-29.398357,7101.94,2.31936,1.577,9.114,8.4,8.316,8.233
92677094,293.268320,15.736136,7649,2.1241,1.788,11.079,9.82,9.592,9.517
92783821,303.017318,35.524628,7396,2.45232,1.69,10.527,9.81,9.765,9.698
