

"TIC ID","TOI","Previous CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ACWG priority","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","# PCs","Source","RA (degrees)","Dec (degrees)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Epoch (BJD)","Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Sectors","Comments","Date Created","Date Modified"
"440801822","1008.01","","1","4","1","1","1","4","4","","PC","","8.7690001","0.035","1","qlp","109.382956","13.39521","-17.9","1.1","1.3","1","2458492.52135","0.00579","2.04936","0.00105","2.234","0.401","0.270925","0.000612","249.5","0.564034","1.71607","0.318238","2107.05","1887","12","144.297","","6699","201","4.1981802","1.9022599","1.57195","1.48437","7","","2019-03-26","2019-07-31"
"114018671","1011.01","","1","4","1","1","1","4","4","","PC","","8.2159996","0.018","1","qlp","113.984737","-32.84198","145.243","0.095","-134.677","0.098","2458492.44438","0.0073","2.46992","0.00137","2.151","0.387","0.181744","0.000886","167.378","0.816388","1.3397","0.096679","509.063","1323","9","51.918385","1.0080301","5413.6802","33.159401","4.3699999","0.11","1.1788599","0.104706","7","","2019-03-26","2019-07-31"
"140706664","1020.01","","1","4","1","1","1","1","1","","PC","","10.559","0.019","1","qlp","128.381977","-43.828422","-6.458","1.272","5.039","0.881","2458521.29108","0.00241","3.28892","0.00066","3.793","0.202","11.481242","0.576253","10518.9","530.608","","","29832.6","3661","32","588.59302","","7963","219","4.1045399","1.4506201","2.0327699","1.45974","8","slightly V shaped; possibly off target to N","2019-04-01","2019-07-25"
"278683844","119.01","","1","5","5","5","2","1","4","","PC","","9.2340002","0.018","2","spoc","99.238408","-58.016125","51.559","0.214","-205.527","0.213","2458327.615791","0.002023","5.541143","0.000132","3.03471","0.132389","0.679699","0.032176","625.829742","29.63431","2.468596","0.314115","140.124869","877.502889","20.64339","66.169197","1.59949","5332","184","4.56429","0.272717","0.82976198","0.100432","1,2,3,4,5,6","CPC","2018-08-30","2019-06-13"
"52368076","125.01","","1","5","5","5","4","1","2","","PC","CP","10.138","0.017","3","spoc","23.593467","-66.676332","-120.164","0.605","-122.689","0.724","2458327.432906","0.001879","4.653811","0.000289","2.921928","0.288457","1.094846","0.054923","1007.882466","50.584927","2.863905","1.099036","188.043192","944.46127","17.438063","110.60889","4.60357","5154","182","4.4707198","0.28501001","0.89927","0.116155","1,2","","2018-09-05","2019-06-13"
"52368076","125.03","","1","4","1","5","4","4","1","","PC","","10.138","0.017","3","spoc","23.593467","-66.676332","-120.164","0.605","-122.689","0.724","2458342.851835","0.003286","19.981866","0.004595","2.991231","0.720831","1.136504","0.121919","1046.211139","112.284874","2.899664","2.696121","26.945604","581.087764","10.261628","110.60889","4.60357","5154","182","4.4707198","0.28501001","0.89927","0.116155","1,2","period is likely correct but possibly two independent single transits","2018-10-19","2019-03-11"
"391949880","128.01","","1","5","5","1","4","4","4","","PC","","7.9000001","0.017","1","spoc","79.520982","-80.96439","-49.058","0.091","45.56","0.094","2458328.129344","0.001912","4.940663","0.000654","2.202493","0.278214","0.432821","0.030868","398.563168","28.429855","2.766351","0.943072","596.247661","1260.307212","0.854549","67.953827","1.7203799","6086","193","4.2626901","0.26143","1.3075","0.145464","1","There is a nearby (2arcsec) comoving dMag~2.5 star. If the signal originates from either the target star or nearby star it could still be a small planet.","2018-09-05","2019-03-11"
"263003176","130.01","","1","4","1","5","2","3","4","","PC","","7.4260001","0.019","1","spoc","12.546602","-83.743771","139.521","0.061","30.396","0.058","2458336.559583","0.002205","14.339928","0.003271","4.653356","0.530555","0.446679","0.026551","411.321986","24.453753","2.36279","1.131195","115.245191","835.651991","0.805803","56.869556","1.20113","6295.7002","56.480999","","","1.1436599","0.10287","1","Centroid shift is almost a pixel away but there is no corresponding star in that position. There are two nearby stars Gmag=13 close to the NW and Gmag=18 to the SE. If the transit signal is on target it is a small planet around a bright star.","2018-09-05","2019-06-13"
"89020549","132.01","","1","4","1","2","2","4","4","","PC","","10.803","0.018","1","spoc","338.399656","-43.436865","34.968","0.955","-53.891","1.391","2458326.903983","0.001768","2.109307","0.00025","2.068328","0.357938","1.498733","0.091942","1379.431961","84.67819","3.307084","1.646429","687.428912","1305.950446","0.845486","155.59264","16.441099","5673","188","4.5538301","0.41890001","0.87923998","0.176641","1","Possible centroid shift toward faint star to the SE","2018-09-05","2019-06-13"
"219338557","133.01","","1","4","1","2","2","4","4","","PC","","9.8830004","0.018","1","spoc","354.397321","-58.955064","196.801","0.583","-103.153","0.549","2458327.291396","0.002752","8.1952","0.001473","2.309555","0.457632","1.028066","0.089231","946.435776","82.18145","2.160801","1.917926","24.583945","567.914087","0.821221","49.013435","0.92327201","4028","170","4.55902","0.20110799","0.70894498","0.059907801","1","","2018-09-05","2019-06-13"
"234994474","134.01","","1","5","5","5","2","1","4","","PC","","9.1689997","0.019","1","spoc","350.028681","-60.065711","-319.951","0.122","-127.654","0.136","2458326.033176","0.001456","1.401461","0.000137","1.264937","0.207902","0.614161","0.041098","565.503282","37.851494","1.583888","0.360332","151.581705","894.914298","0.823193","31.32925","0.162046","3794","69","4.6640902","0.104989","0.616","0.029999999","1","Level 1 candidate","2018-09-05","2019-06-13"
"410153553","136.01","","1","5","5","5","4","1","4","","PC","CP","11.877","0.064","1","spoc","340.492305","-69.169144","342.02","2","-723.83","2","2458325.72603","0.000322","0.46291","0.000011","0.520794","0.106125","5.094966","0.19426","4681.643995","178.9042","1.267697","0.366063","64.621812","723.126924","0.817114","","","3043","63","5.0970702","0.42669401","0.17900001","0.032000002","1","Level 1 target. Potential short period small planet around an M dwarf.","2018-09-05","2019-06-13"
"62483237","139.01","","1","4","1","5","4","3","1","","PC","","9.2950001","0.02","1","spoc","336.40241","-34.909709","26.495","0.137","-30.294","0.104","2458334.896388","0.001811","11.058421","0.00257","2.136519","0.327214","1.48535","0.109118","1367.122742","100.4967","2.687866","1.814681","24.043659","564.767748","0.888537","42.050365","0.50868201","4356","173","4.5349102","0.3608","0.738419","0.12585901","1","Level 1 candidate","2018-09-05","2019-06-13"
"403224672","141.01","","1","5","5","5","4","1","2","","PC","CP","7.3579998","0.018","1","spoc","338.983747","-59.864817","-108.407","0.04","-84.301","0.045","2458325.538528","0.001209","1.007908","0.000085","1.534232","0.161406","0.239317","0.011465","220.394479","10.559796","1.974088","0.429755","2928.328886","1876.180909","0.795608","48.318748","0.94286102","5795.29","44.580399","","","1.1894701","0.106891","1","","2018-09-05","2019-07-31"
"261136679","144.01","","1","5","5","5","4","1","1","","PC","CP","5.0970001","0.063","2","spoc","84.299019","-80.46475","310.712","0.022","1049.66","0.021","2458325.505054","0.001062","6.267726","0.000099","2.934834","0.265566","0.314561","0.019027","289.67936","17.524027","1.72231","0.876033","253.454047","1017.640909","13.214754","18.233269","0.168421","5992.1001","9.1633797","4.4310699","0.0147435","1.38196","0.119255","1,4","PI Men c","2018-09-05","2019-05-17"
"369457671","168.01","","1","4","4","1","2","3","4","","PC","","11.419","0.018","1","qlp","311.643588","-37.904397","16.6","4.418","-8.211","4.418","2458326.49996","0.00403","2.31257","0.00078","1.459","0.202","2.444233","0.007578","2248.69","6.98","3.38244","0.258351","148.536","972","9","","","4553","169","","","","","1","","2018-09-05","2019-07-20"
"425997655","174.01","","1","4","1","1","4","4","4","","PC","CP","8.6968699","0.018","4","spoc","55.459062","-62.76726","-102.403","0.107","-44.049","0.124","2458325.325892","0.002248","17.66831","0.000607","2.695974","0.258669","0.793525","0.044359","730.596785","40.85522","2.008408","0.848007","24.24749","565.960924","17.71134","","","4813","111","4.3800001","0.20999999","0.73439199","0.0824963","1,2,3,4","HD 23472 b","2018-10-11","2019-06-06"
"425997655","174.02","","1","4","1","5","4","4","4","","PC","CP","8.6968699","0.018","4","spoc","55.459062","-62.76726","-102.403","0.107","-44.049","0.124","2458340.303919","0.00224","29.796715","0.001249","2.945885","0.34046","0.693793","0.045825","638.80257","42.205654","1.836502","1.229716","12.079129","475.476056","14.497121","","","4813","111","4.3800001","0.20999999","0.73439199","0.0824963","1,2,3,4","HD 23472 c","2018-10-19","2019-05-17"
"425997655","174.03","","1","4","1","2","2","4","4","","PC","","8.6968699","0.018","4","spoc","55.459062","-62.76726","-102.403","0.107","-44.049","0.124","2458335.751351","0.003668","12.160999","0.000985","2.902685","0.441298","0.339315","0.043887","312.472088","40.42018","1.329708","1.221559","39.899533","641.005422","8.132967","","","4813","111","4.3800001","0.20999999","0.73439199","0.0824963","1,2,3,4","low MES","2018-12-04","2019-06-13"
"425997655","174.04","","1","4","1","2","2","4","4","","PC","","8.6968699","0.018","4","spoc","55.459062","-62.76726","-102.403","0.107","-44.049","0.124","2458326.0332","0.003027","3.975995","0.00021","1.560981","0.192923","0.189425","0.024035","174.45126","22.136805","0.990529","1.111368","177.146417","930.471001","7.80942","","","4813","111","4.3800001","0.20999999","0.73439199","0.0824963","1,2,3,4","low MES","2018-12-04","2019-06-13"
"307210830","175.01","","1","5","5","1","4","2","4","","PC","CP","9.3929996","0.009","3","spoc","124.532824","-68.314418","96.472","2.774","-340.083","2.544","2458356.203945","0.000532","3.690604","0.000029","1.273675","0.1121","2.009227","0.064364","1848.855089","59.27924","1.404443","0.196318","12.655953","481.053592","29.476826","24.512554","0.101709","3469","68","4.88061","0.39058301","0.37099999","0.061999999","2,5","","2018-10-11","2019-06-06"
"262530407","177.01","","1","5","5","1","2","4","4","","PC","","9.4379997","0.016","1","spoc","20.438451","-46.714712","-111.111","0.113","-79.889","0.111","2458356.153","0.000649","2.853133","0.000066","1.264674","0.13067","1.727654","0.063627","1589.963199","58.600864","2.175406","0.400998","42.954622","652.938423","25.673399","32.675709","0.25405699","3703","66","4.7712798","0.106649","0.51599997","0.026000001","2,3","known TOI","2018-10-11","2019-06-13"
"251848941","178.01","","1","4","1","1","4","4","4","","PC","","10.351","0.017","3","spoc","7.301987","-30.454104","149.649","1.582","-88.468","0.758","2458360.242325","0.00238","6.558054","0.00129","2.233632","0.32997","1.588193","0.126341","1461.710128","116.35722","2.773247","1.134474","35.846215","624.066076","11.100334","59.691158","","4111","171","4.5552802","0.449348","0.70120198","0.15216599","2","","2018-10-11","2019-03-11"
"251848941","178.02","","1","4","1","5","4","4","4","","PC","","10.351","0.017","3","spoc","7.301987","-30.454104","149.649","1.582","-88.468","0.758","2458354.55219","0.004083","10.354252","0.003165","2.236524","0.274134","1.800631","0.484506","1657.067907","446.14713","3.751004","1.518233","19.497772","535.939787","9.537692","59.691158","","4111","171","4.5552802","0.449348","0.70120198","0.15216599","2","similar period to candidate 3","2018-10-11","2019-03-11"
